block,sample,spec,xvar,outcome,coef,se,t,p,sig,N,N_city,mean_y
time_placebo,all,provyr_baseyr_fe,x_lead5,ln1p_new_patents,.0637872376616046,.063916825,.99797261,.31912461,,3192,291,5.048696470589268
time_placebo,all,provyr_baseyr_fe,x_lead5,ln1p_total_patents,.0418047862306136,.054835103,.76237267,.44645724,,3192,291,5.855987913898485
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,org_new_share,.0139648557160713,.010442243,1.3373425,.1821588,,4647,291,.3660945196468086
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,org_new_share_org,.0123587567447255,.010361359,1.1927738,.23393296,,4632,291,.3672800600341327
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,org_patent_share_total,-.024318512961711,.014465356,-1.6811554,.093809336,*,4647,291,.7186110884651179
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_org_new_applicants,.0482741519360415,.037940048,1.2723798,.20425746,,4647,291,3.932873191743421
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_org_new_patents,.0681703729888787,.048632842,1.4017353,.16206366,,4647,291,4.685723359697168
org_quality,all,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_org_total_patents,.0373720448726809,.047923122,.77983326,.43612498,,4647,291,5.840900489662149
pubyear_quality,inv_app_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.0263834557114774,.012536501,2.104531,.036192581,**,4061,291,.4569968438271912
pubyear_quality,inv_app_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.1012882847552361,.040439006,2.5047174,.012803641,**,4061,291,4.49257504903585
pubyear_quality,inv_app_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.1192792412797227,.045665968,2.611994,.0094703501,***,4061,291,5.13568294377303
pubyear_quality,inv_app_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0517737512796482,.042590033,1.2156307,.2251143,,4061,291,5.999248915167606
pubyear_quality,inv_app_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.023657433885568,.011130989,2.1253669,.03440119,**,4643,291,.4366919070694474
pubyear_quality,inv_app_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.1099132548581906,.037764281,2.9105084,.0038881085,***,4643,291,4.578488192823826
pubyear_quality,inv_app_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.1224398291922232,.042975347,2.8490713,.0046986514,***,4643,291,5.201349608116658
pubyear_quality,inv_app_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0684560289028013,.041531995,1.648272,.10037977,,4643,291,6.122502119393588
pubyear_quality,inv_grant_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.018428754949324,.01374237,1.3410172,.18096423,,4047,291,.4735265991757734
pubyear_quality,inv_grant_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.032093045269703,.040259812,.79714847,.42601699,,4047,291,3.512319556315938
pubyear_quality,inv_grant_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.0598224463674216,.046706457,1.2808175,.20128115,,4047,291,3.777321519982043
pubyear_quality,inv_grant_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0475433036618628,.056276515,.84481603,.39890999,,4047,291,4.6438622461663
pubyear_quality,inv_grant_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.0201588856013909,.013104709,1.5382932,.12506728,,4629,291,.4542498420982418
pubyear_quality,inv_grant_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.0577391685918135,.040224321,1.4354292,.15224248,,4629,291,3.629521599126857
pubyear_quality,inv_grant_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.0855385733990649,.045151111,1.8944955,.059154011,*,4629,291,3.905375296484549
pubyear_quality,inv_grant_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0681979524463476,.054884102,1.2425811,.21502601,,4629,291,4.821583033770923
pubyear_quality,all_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.0133703563447026,.0078443391,1.7044593,.089366354,*,4074,291,.4010144118109232
pubyear_quality,all_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.0605666517268516,.03562025,1.7003433,.090138473,*,4074,291,5.521537986180326
pubyear_quality,all_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.0565563924316103,.041855156,1.3512408,.17767152,,4074,291,6.414224768473439
pubyear_quality,all_pub_le2021,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0248534587257356,.03510135,.70804852,.47948381,,4074,291,7.384539577435763
pubyear_quality,all_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,new_applicant_share,.0139057007125245,.0072341422,1.9222322,.055556078,*,4656,291,.3872592197864588
pubyear_quality,all_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_applicants,.0637700289597843,.034172449,1.8661239,.06303335,*,4656,291,5.62737914935532
pubyear_quality,all_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_new_patents,.0612881866745785,.040041685,1.5306096,.12695599,,4656,291,6.518331784294429
pubyear_quality,all_pub_le2023,provyr_baseyr_fe,ln1p_idc_scope_stock_l1,ln1p_total_patents,.0353973424391306,.034100927,1.0380169,.30012685,,4656,291,7.529615927413233
