sample,scope,outcome,coef,se,p,sig,N,N_city,mean_y
y2022,inv_grant_cited_appyear,ln1p_new_patents,0.0788098586884035,0.053876717,0.14461386,,4122,290,2.603697305283314
y2022,inv_grant_cited_appyear,ln1p_total_patents,0.0485489241907831,0.053489342,0.36482608,,4122,290,3.223996890217218
y2022,inv_grant_cited_appyear,ln1p_incumbent_patents,0.0668301958135976,0.064918593,0.30413088,,4122,290,2.416620500337675
y2023,inv_grant_cited_appyear,new_applicant_share,0.0035507450576984,0.015291655,0.81654584,,4343,290,0.5741366869970498
y2023,inv_grant_cited_appyear,ln1p_new_applicants,0.0897689464334628,0.049912781,0.073138617,*,4343,290,2.464232918928626
y2023,inv_grant_cited_appyear,ln1p_new_patents,0.092737563839999,0.053456128,0.083836153,*,4343,290,2.569094335804706
y2023,inv_grant_cited_appyear,ln1p_total_patents,0.0621057952093997,0.051953979,0.23291071,,4343,290,3.179906717082317
y2023,inv_grant_cited_appyear,ln1p_incumbent_patents,0.0731008764625035,0.062018618,0.2394902,,4343,290,2.371360904344163
y2020,inv_grant_familycited_appyear,new_applicant_share,0.0145176639441775,0.011830985,0.22078459,,3763,291,0.4549803041740671
y2020,inv_grant_familycited_appyear,ln1p_new_applicants,0.0680590743045558,0.039652057,0.087155387,*,3763,291,3.594371285123466
y2020,inv_grant_familycited_appyear,ln1p_new_patents,0.0919973333737484,0.046578497,0.049204599,**,3763,291,3.884808772965322
y2020,inv_grant_familycited_appyear,ln1p_total_patents,0.0815051133535828,0.053237248,0.12686466,,3763,291,4.796177151437145
y2020,inv_grant_familycited_appyear,ln1p_incumbent_patents,0.0514175402089703,0.062211707,0.40920395,,3763,291,4.141298031241518
y2021,inv_grant_familycited_appyear,new_applicant_share,0.0153425505808432,0.011386329,0.17888598,,4054,291,0.4456754442203564
y2021,inv_grant_familycited_appyear,ln1p_new_applicants,0.089979510178376,0.040242441,0.026116675,**,4054,291,3.597638925618811
y2021,inv_grant_familycited_appyear,ln1p_new_patents,0.1145968502589537,0.047077935,0.015528495,**,4054,291,3.881321736163441
y2021,inv_grant_familycited_appyear,ln1p_total_patents,0.0996697064613504,0.052997965,0.061023895,*,4054,291,4.817516348275765
y2021,inv_grant_familycited_appyear,ln1p_incumbent_patents,0.0684829576592811,0.06115216,0.26369238,,4054,291,4.179934937613451
y2022,inv_grant_familycited_appyear,new_applicant_share,0.0132707415175985,0.011200132,0.23703748,,4342,291,0.4365873107571255
y2022,inv_grant_familycited_appyear,ln1p_new_applicants,0.1022214902972421,0.041010559,0.013240462,**,4342,291,3.571088390030461
y2022,inv_grant_familycited_appyear,ln1p_new_patents,0.1256057234018818,0.047545969,0.0086948173,***,4342,291,3.845987525596974
y2022,inv_grant_familycited_appyear,ln1p_total_patents,0.1167285262695045,0.053338204,0.029433675,**,4342,291,4.806420214295433
y2022,inv_grant_familycited_appyear,ln1p_incumbent_patents,0.0885576246819559,0.061058566,0.14803556,,4342,291,4.186121801201984
y2023,inv_grant_familycited_appyear,new_applicant_share,0.0144534730927252,0.010972851,0.18881038,,4618,291,0.4314701790356348
y2023,inv_grant_familycited_appyear,ln1p_new_applicants,0.116204697640342,0.041203924,0.0051297639,***,4618,291,3.529741652276172
y2023,inv_grant_familycited_appyear,ln1p_new_patents,0.1406984371396849,0.047797218,0.0035059152,***,4618,291,3.797852908490056
y2023,inv_grant_familycited_appyear,ln1p_total_patents,0.127408929416076,0.05392307,0.018797981,**,4618,291,4.768713744942912
y2023,inv_grant_familycited_appyear,ln1p_incumbent_patents,0.0968416910069654,0.061476815,0.11628772,,4618,291,4.159738440309289
