sample,scope,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
matched_2012_2022,inv_app_pub,top5_share,ln1p_idc_stock_l1,.0158961160945824,.0084706564,1.8766098,.06157564,*,3198,291,.7586387412016078,.32208928
matched_2012_2022,inv_app_pub,top5_share,ln1p_idc_stock,.019820256077408,.0087874774,2.2555115,.024846546,**,3198,291,.7590631268748333,.32208928
matched_2012_2022,inv_app_pub,top5_share,ln1p_idc_new_l1,.0037817086894216,.0059342622,.63726687,.52445382,,3198,291,.7577863316290583,.32208928
matched_2012_2022,inv_app_pub,top5_share,ln1p_idc_new,.002542714329509,.0057730838,.44044301,.65994442,,3198,291,.7577631825793594,.32208928
matched_2012_2022,inv_app_pub,top10_share,ln1p_idc_stock_l1,.0220523742928579,.0088025164,2.5052352,.012785319,**,3198,291,.7998689382382488,.42254221
matched_2012_2022,inv_app_pub,top10_share,ln1p_idc_stock,.0269877813188762,.0091074938,2.9632502,.0032964332,***,3198,291,.8004464999808302,.42254221
matched_2012_2022,inv_app_pub,top10_share,ln1p_idc_new_l1,.0076484452666898,.0064156279,1.1921585,.23417372,,3198,291,.7986323368196863,.42254221
matched_2012_2022,inv_app_pub,top10_share,ln1p_idc_new,.0071018240169003,.0061424249,1.1561922,.24855413,,3198,291,.7986125034069507,.42254221
matched_2012_2022,inv_app_pub,ln_effective_applicants,ln1p_idc_stock_l1,-.0378036713032412,.053263728,-.70974511,.47843248,,3198,291,.7850017129653706,3.4981272
matched_2012_2022,inv_app_pub,ln_effective_applicants,ln1p_idc_stock,-.0606500645399228,.0547514,-1.1077354,.26889399,,3198,291,.7851924285509714,3.4981272
matched_2012_2022,inv_app_pub,ln_effective_applicants,ln1p_idc_new_l1,.000953759036048,.041778889,.022828732,.98180258,,3198,291,.7848694518475577,3.4981272
matched_2012_2022,inv_app_pub,ln_effective_applicants,ln1p_idc_new,.0179454096475,.039494853,.45437336,.64990002,,3198,291,.7848939075796574,3.4981272
matched_2012_2022,inv_app_pub,ln1p_active_applicants,ln1p_idc_stock_l1,.0501841758589128,.028528644,1.7590803,.079618432,*,3198,291,.9704262656086334,5.3468623
matched_2012_2022,inv_app_pub,ln1p_active_applicants,ln1p_idc_stock,.0449353740607709,.028856678,1.5571915,.12051563,,3198,291,.9703960379291592,5.3468623
matched_2012_2022,inv_app_pub,ln1p_active_applicants,ln1p_idc_new_l1,.0290663282707313,.020060912,1.4489037,.14844492,,3198,291,.9703351907538039,5.3468623
matched_2012_2022,inv_app_pub,ln1p_active_applicants,ln1p_idc_new,.0255484081211339,.017980453,1.420899,.15642045,,3198,291,.9703269918485539,5.3468623
matched_2012_2022,inv_app_pub,ln1p_new_applicants,ln1p_idc_stock_l1,.0565595035322815,.031221161,1.8115759,.071086146,*,3198,291,.9568608159537478,4.8425179
