eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_3,provyr_baseyr_fe,base_top_share,es_0,0,.0067368359,.010189389,.66116196,.5090521,,.2291626747181027,.87605339,4487,281,46,.1958330482243027
scope_ge_3,provyr_baseyr_fe,base_top_share,es_p1,1,-.0049435687,.01392343,-.35505393,.72281647,,.2291626747181027,.87605339,4487,281,46,.1958330482243027
scope_ge_3,provyr_baseyr_fe,base_top_share,es_p2,2,-.012933541,.017075121,-.75744939,.44941765,,.2291626747181027,.87605339,4487,281,46,.1958330482243027
scope_ge_3,provyr_baseyr_fe,base_top_share,es_p3,3,-.017103778,.018574184,-.92083603,.35792872,,.2291626747181027,.87605339,4487,281,46,.1958330482243027
scope_ge_3,provyr_baseyr_fe,base_top_share,es_p4,4,-.016202262,.022345388,-.72508305,.4690066,,.2291626747181027,.87605339,4487,281,46,.1958330482243027
scope_ge_3,province_year_fe,base_mid_inc_share,es_m4,-4,.047520362,.017376937,2.7346802,.0066423919,***,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_m3,-3,.005710993,.015194182,.3758671,.70730031,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_m2,-2,.017739678,.012544736,1.4141132,.15843959,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_0,0,-.0011602144,.015486682,-.074916914,.94033432,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_p1,1,-.020933175,.019091951,-1.0964398,.27382842,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_p2,2,-.0038833481,.025685549,-.15118805,.87993628,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_p3,3,.0094377929,.024375904,.38717717,.69891918,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,province_year_fe,base_mid_inc_share,es_p4,4,-.0045050299,.023810975,-.18919973,.85007334,,3.985231892087325,.0083743138,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_m4,-4,.018173994,.016858082,1.0780582,.28193566,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_m3,-3,-.0074896314,.01492275,-.50189352,.61613685,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_m2,-2,.012284954,.012921144,.95076364,.34254432,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_0,0,.0014231083,.017358726,.0819823,.93471938,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_p1,1,-.015903963,.021262722,-.74797404,.45510358,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_p2,2,.010710075,.029062575,.36851773,.71276569,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_p3,3,.02234111,.026364297,.84740013,.39749587,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_3,provyr_baseyr_fe,base_mid_inc_share,es_p4,4,.023398846,.026988314,.86699921,.38668483,,1.603411020121827,.18880385,4487,281,46,.3920251739209425
scope_ge_5,province_year_fe,ln1p_new_applicants,es_m4,-4,.010026108,.10316444,.097185694,.92264795,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_m3,-3,-.093466118,.093138732,-1.003515,.31647274,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_m2,-2,.022250276,.042066373,.52893257,.59726828,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_0,0,.023249693,.038276237,.60741842,.54406208,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_p1,1,.0093716392,.0479878,.19529212,.84530491,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_p2,2,.065314554,.053886063,1.2120861,.22649397,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_p3,3,.050065167,.065942787,.75922126,.44835433,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,ln1p_new_applicants,es_p4,4,.065948844,.067994364,.96991628,.33291936,,1.433532768741054,.23319307,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_m4,-4,-.11502775,.11179136,-1.0289502,.30438477,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_m3,-3,-.11325596,.09565942,-1.1839499,.23742989,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_m2,-2,.013868814,.040650811,.34116942,.73323011,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_0,0,.024505839,.039924141,.61381006,.53983569,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_p1,1,.014655286,.050812121,.28842106,.77323633,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_p2,2,.081658259,.058512539,1.3955685,.16394235,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_p3,3,.087516375,.073496118,1.1907618,.23474847,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,provyr_baseyr_fe,ln1p_new_applicants,es_p4,4,.10223337,.07995978,1.2785599,.20210333,,.799916089907216,.49478555,4519,283,32,4.528354417739315
scope_ge_5,province_year_fe,new_applicant_share,es_m4,-4,-.049730916,.023432819,-2.1222761,.034686126,**,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_m3,-3,-.022582823,.026493434,-.85239315,.39471924,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_m2,-2,.00081387529,.025977254,.031330306,.97502828,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_0,0,.0027237523,.019984553,.13629287,.89168698,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_p1,1,-.01452318,.021394849,-.67881662,.49781075,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_p2,2,.003047158,.021076415,.14457668,.88514841,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_p3,3,.00066369411,.021295484,.031165956,.97515923,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,new_applicant_share,es_p4,4,-.001356799,.022417247,-.060524784,.95178056,,2.899812284368041,.035379715,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_m4,-4,-.022747958,.029083766,-.78215313,.43478081,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_m3,-3,-.014420846,.030213865,-.47729233,.63352364,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_m2,-2,.0038242328,.027805779,.13753375,.89070708,,.8628395490086,.4607828,4519,283,32,.4389042909489195
