eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_m4,-4,-.0060715661,.10035481,-.060500998,.95180869,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_m3,-3,-.022518545,.069674864,-.32319468,.74683893,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_m2,-2,-.022315344,.063969426,-.34884387,.72752291,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_0,0,.0045410953,.071515016,.06349849,.94942421,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_p1,1,-.033800613,.071151048,-.47505432,.63519514,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_p2,2,.047773127,.083628051,.57125723,.56837827,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_p3,3,-.041388854,.10701424,-.38676026,.69928819,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_patents,es_p4,4,-.10584883,.097425483,-1.0864593,.27840337,,.0812845171059381,.97014821,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_m4,-4,-.084442876,.10144246,-.83242142,.40602717,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_m3,-3,-.04718766,.071981952,-.65554851,.51276422,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_m2,-2,-.045047779,.0638799,-.70519489,.48139635,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
