variable,mean_old2000,mean_new1985,mean_diff,min_diff,max_diff,changed_rows
new_applicants,236.02244267360547,235.3846153846154,-0.6378272889900797,-51.0,0.0,1561
new_patents,626.6506749064889,625.8838835583022,-0.766791348186697,-165.0,688.0,1605
new_applicant_share,0.47166896834579997,0.46930607778167716,-0.0023628905641228434,-1.0,0.017786561264822143,1625
total_patents,2554.8521710847294,2555.7575215482193,0.9053504634899984,-215.0,1781.0,162
active_applicants,435.0050414701577,435.0050414701577,0.0,0.0,0.0,0
