spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,mean_y
province_year_fe,new_applicant_share,es_p1,-.0160924668941886,.012551391,-1.2821262,.20146573,,1.406619664186603,.24244194,2855,179,.4727124830661
province_year_fe,new_applicant_share,es_p2,-.0090803497313495,.014089465,-.64447796,.52009523,,1.406619664186603,.24244194,2855,179,.4727124830661
province_year_fe,new_applicant_share,es_p3,-.0045849904851379,.012747732,-.35967109,.7195195,,1.406619664186603,.24244194,2855,179,.4727124830661
province_year_fe,new_applicant_share,es_p4,-.0111680625207714,.012474809,-.89524919,.37186289,,1.406619664186603,.24244194,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_m4,.0039999352724334,.016219342,.24661513,.80549026,,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_m3,-.0081191064914335,.016201219,-.50114173,.61689055,,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_m2,-.0270411878537973,.012450146,-2.1719575,.031181546,**,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_0,-.0143977079702134,.013655917,-1.0543201,.29316539,,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_p1,-.0263932441883511,.012336212,-2.1394935,.033758081,**,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_p2,-.0164579301878574,.013398682,-1.2283245,.22094679,,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_p3,-.0112085051397439,.012152543,-.92231762,.35761136,,1.837811296221369,.1419687,2855,179,.4727124830661
provyr_baseyr_fe,new_applicant_share,es_p4,-.0136885943069322,.01180311,-1.1597446,.24770606,,1.837811296221369,.1419687,2855,179,.4727124830661
city_year_fe,hhi,es_m4,-.011175940738684,.0083655166,-1.3359535,.18326998,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_m3,-.0079490022845388,.0087175407,-.91184002,.36308619,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_m2,-.0002119385675546,.0084391227,-.025113814,.97999233,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_0,-.0044397151237382,.0068621021,-.64699054,.51847154,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_p1,.0004801732536195,.0063517881,.075596549,.939825,,1.666996710516616,.17580803,2855,179,.0717806843489644
