eventdef,spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
stock_ge_1,province_year_fe,hhi,es_p2,.0065253706143715,.0097098444,.67203653,.50243175,,1.546174026161782,.20423639,2855,179,95,.0717806843489644
stock_ge_1,province_year_fe,hhi,es_p3,.0110151766344629,.0084717497,1.3002245,.19520506,,1.546174026161782,.20423639,2855,179,95,.0717806843489644
stock_ge_1,province_year_fe,hhi,es_p4,.0203496148742773,.0097319633,2.0910082,.037947208,**,1.546174026161782,.20423639,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_m4,-.0073106112089122,.009767672,-.74844968,.45517674,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_m3,-.0092529392044938,.010564194,-.87587738,.3822771,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_m2,.0002071143180325,.010465622,.019789968,.98423308,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_0,-.0036160033186385,.0091973981,-.39315504,.69467545,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_p1,.0022494258522136,.0091059273,.24702874,.80517066,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_p2,.0033196651814253,.0095070982,.34917757,.72736871,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_p3,.0082789824842137,.0085865194,.96418381,.33626187,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,provyr_baseyr_fe,hhi,es_p4,.0157242412552312,.0096508311,1.6293148,.10501485,,1.124826975692222,.34043682,2855,179,95,.0717806843489644
stock_ge_1,province_year_fe,top10_share,es_m4,-.0086127380980043,.012381339,-.69562256,.48757243,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_m3,.0094046436485415,.01490151,.6311202,.52877152,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_m2,.0161646271457302,.015221379,1.0619687,.28968862,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_0,-.0016706962255672,.013446654,-.12424624,.9012605,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_p1,.0017028671160626,.01360419,.12517226,.90052843,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_p2,.014129841315012,.01503389,.93986601,.34855998,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_p3,.0073960099795007,.015136665,.48861557,.62571532,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,top10_share,es_p4,.0225077860056091,.015178479,1.4828749,.13987601,,1.607420579048336,.18932222,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_m4,-.0055028507036219,.013319884,-.41313052,.68000823,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_m3,.0098257195467556,.014881362,.66027021,.50993395,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_m2,.0143375060642338,.014409709,.99498928,.32109213,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_0,-.0071844445828917,.013850743,-.51870465,.60461098,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_p1,-.0026582575771416,.013010627,-.20431435,.8383413,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_p2,.0082022535110508,.01507633,.54404843,.58708894,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_p3,-.0012481811228254,.015649937,-.079756305,.9365207,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,provyr_baseyr_fe,top10_share,es_p4,.0114785937695575,.015512986,.7399345,.46031454,,1.072549720293495,.36211693,2855,179,95,.4959449697761117
stock_ge_1,province_year_fe,base_top_share,es_m4,-.0077288909541314,.019131096,-.40399626,.6867004,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_m3,.0081478738635541,.018971717,.42947477,.66809714,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_m2,.0129792877922746,.016751064,.77483362,.43946606,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_0,.0107935277888113,.01383529,.78014469,.43634185,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_p1,.0179965426559447,.013749952,1.308844,.19227447,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_p2,.0109736050938668,.01409736,.77841562,.43735754,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_p3,.0089348436492235,.012030501,.74268258,.45865285,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_top_share,es_p4,.015319477495711,.01087513,1.4086707,.16067694,,.6975737991131704,.55468124,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_m4,-.0027796010691888,.018978516,-.1464604,.88372368,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_m3,.0047244841752717,.02001147,.23608881,.81363517,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_m2,.0087070021111687,.016500639,.52767664,.59838092,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_0,.0053991156733572,.014568483,.37060246,.71137428,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_p1,.0100535217846929,.013551955,.74185026,.45915577,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_p2,-.0007323590131355,.014633667,-.050046172,.96014172,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_p3,-.0003806815522771,.012664379,-.030059235,.97605348,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,provyr_baseyr_fe,base_top_share,es_p4,.0053468474626296,.010897545,.49064699,.62428045,,.3258384197444074,.80667871,2855,179,95,.1901461423308682
stock_ge_1,province_year_fe,base_mid_inc_share,es_m4,.0096311110291966,.012006683,.80214584,.42353824,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_m3,.0048928630382615,.014211405,.3442913,.73103362,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_m2,.0229354081457846,.012987589,1.7659481,.079118878,*,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_0,.0082894008529265,.014632784,.56649512,.57177079,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_p1,.0083110386610663,.016530683,.50276434,.61575145,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_p2,.0083959387279618,.01703226,.49294332,.62266022,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_p3,.005746968416349,.01364802,.4210844,.67420143,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,province_year_fe,base_mid_inc_share,es_p4,.0062812130141868,.01183389,.53078175,.59623164,,1.229473321157757,.30048093,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m4,.0043378069979897,.013263904,.32703847,.74402303,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m3,.0006943228084408,.015025837,.046208594,.9631958,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m2,.0239870060140906,.014162347,1.693717,.092068218,*,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_0,.0105862949491813,.014714227,.71945983,.47280118,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p1,.0179250043586748,.016746361,1.0703821,.2858966,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p2,.0187396675137149,.016678067,1.1236115,.26269102,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p3,.0130572780475499,.012992399,1.0049937,.31626415,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p4,.0097717883088595,.011948926,.81779635,.41456681,,1.306722529576902,.2737619,2855,179,95,.3726418262394285
stock_ge_3,province_year_fe,ln1p_new_applicants,es_m4,-.0219844975133649,.040164296,-.54736418,.58463091,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_m3,.0204219654755603,.036548331,.55876601,.57683599,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_m2,.0474729832901307,.037768193,1.2569567,.20997615,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_0,-.0197543826405148,.034637913,-.57031101,.56899375,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_p1,-.0133361469674354,.037714317,-.35360968,.72393805,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_p2,-.0273698331969605,.037119646,-.73734093,.46162641,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_p3,-.0233724510552663,.039821021,-.58693755,.55779058,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,province_year_fe,ln1p_new_applicants,es_p4,.0052700905830604,.048137441,.10948008,.91291207,,.9480999930054912,.41800097,3895,244,73,4.398005928335387
stock_ge_3,provyr_baseyr_fe,ln1p_new_applicants,es_m4,-.0410703408609802,.035031341,-1.1723884,.24218921,,1.249410436316059,.29246259,3895,244,73,4.398005928335387
