family,outcome_type,sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
sustained_entry,share_rate_ols,min20,provyr_base_policy,surv3_applicant_rate,-.0073464012699968,.008879615,-.82733327,.40874279,,3515,285,.29239583,1
sustained_entry,share_rate_ols,min20,city_year,surv2_entry_pat_share_new,-.0002287332515872,.0066568786,-.034360435,.97261345,,3874,290,.32299295,1
sustained_entry,share_rate_ols,min20,provyr_base,surv2_entry_pat_share_new,-.0135699789461015,.0083851963,-1.6183257,.10669854,,3801,286,.32299295,1
sustained_entry,share_rate_ols,min20,provyr_base_policy,surv2_entry_pat_share_new,-.0158989761281612,.009092343,-1.7486115,.081434838,*,3801,286,.32299295,1
sustained_entry,share_rate_ols,min20,city_year,surv3_entry_pat_share_new,5.25122230152e-06,.0072287475,.00072643603,.99942088,,3584,289,.37002397,1
sustained_entry,share_rate_ols,min20,provyr_base,surv3_entry_pat_share_new,-.0182358130809583,.0098876134,-1.8443089,.066179529,*,3515,285,.37002397,1
sustained_entry,share_rate_ols,min20,provyr_base_policy,surv3_entry_pat_share_new,-.0195233943323995,.010134656,-1.9263994,.055052362,*,3515,285,.37002397,1
sustained_entry,share_rate_ols,min20,city_year,surv2_entry_pat_share_total,.0087016163239064,.0038773413,2.2442224,.025574902,**,3874,290,.13970913,1
sustained_entry,share_rate_ols,min20,provyr_base,surv2_entry_pat_share_total,.0027823267104347,.005116371,.54380864,.58699828,,3801,286,.13970913,1
sustained_entry,share_rate_ols,min20,provyr_base_policy,surv2_entry_pat_share_total,.001161946293775,.0054381709,.2136649,.83096117,,3801,286,.13970913,1
sustained_entry,share_rate_ols,min20,city_year,surv3_entry_pat_share_total,.0109322198302003,.0043798224,2.4960418,.013118044,**,3584,289,.16307901,1
sustained_entry,share_rate_ols,min20,provyr_base,surv3_entry_pat_share_total,.0024457965955493,.0055181226,.44322982,.65793693,,3515,285,.16307901,1
sustained_entry,share_rate_ols,min20,provyr_base_policy,surv3_entry_pat_share_total,.000908449186062,.0056263474,.16146339,.87184322,,3515,285,.16307901,1
top_mobility,share_rate_ols,min20,city_year,top10_turnover_prev_share,.0156906805935087,.010129125,1.5490658,.12246026,,4216,290,.58734405,1
top_mobility,share_rate_ols,min20,provyr_base,top10_turnover_prev_share,.0137739430416336,.012460385,1.1054188,.26991045,,4142,286,.58734405,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_turnover_prev_share,.0173339445194818,.013587128,1.2757622,.20307839,,4142,286,.58734405,1
top_mobility,share_rate_ols,min20,city_year,top20_turnover_prev_share,-.0066202637816565,.0082749175,-.80003989,.42434484,,4216,290,.63419819,1
top_mobility,share_rate_ols,min20,provyr_base,top20_turnover_prev_share,.0026148555295934,.010163703,.25727391,.797153,,4142,286,.63419819,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_turnover_prev_share,.0054614952154698,.010070169,.54234391,.58800542,,4142,286,.63419819,1
top_mobility,share_rate_ols,min20,city_year,top10_turnover_base_share,.0171438113556591,.0071124756,2.4103858,.016560115,**,4452,290,.74824774,1
top_mobility,share_rate_ols,min20,provyr_base,top10_turnover_base_share,.0074388169067286,.0097050788,.76648706,.44402099,,4371,286,.74824774,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_turnover_base_share,.0150608188298854,.010399084,1.4482833,.14863707,,4371,286,.74824774,1
top_mobility,share_rate_ols,min20,city_year,top20_turnover_base_share,.0137834297248885,.0059258784,2.3259726,.020711811,**,4452,290,.77277386,1
top_mobility,share_rate_ols,min20,provyr_base,top20_turnover_base_share,.0049765230228342,.0079411026,.62667906,.53137124,,4371,286,.77277386,1
