sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2023,inv_grant_appyear,province_year_fe,ln1p_new_applicants,.0391014658572434,.030942235,1.2636924,.20735537,,4634,291,3.784776839108692
y2023,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0997121104561777,.040390834,2.4686816,.014137732,**,4634,291,3.784776839108692
y2023,inv_grant_appyear,province_year_fe,ln1p_new_patents,.0429504920123511,.037075117,1.1584722,.2476245,,4634,291,4.110175834278747
y2023,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_patents,.124540070414681,.048503865,2.567632,.010740812,**,4634,291,4.110175834278747
y2023,inv_grant_appyear,province_year_fe,ln1p_total_patents,.029162037414736,.042306755,.68929976,.49118578,,4634,291,5.123410353231492
y2023,inv_grant_appyear,provyr_baseyr_fe,ln1p_total_patents,.1073317564432942,.052693143,2.0369208,.042565942,**,4634,291,5.123410353231492
y2023,inv_grant_appyear,province_year_fe,ln1p_incumbent_patents,-.1106244728124361,.052457426,-2.1088428,.035815448,**,4634,291,4.532179859620617
y2023,inv_grant_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0805452544436294,.060244564,1.3369713,.18227981,,4634,291,4.532179859620617
y2023,inv_grant_appyear,province_year_fe,hhi,.0166152948753884,.0082258927,2.0198774,.044315495,**,4634,291,.1005574290292533
y2023,inv_grant_appyear,provyr_baseyr_fe,hhi,.0003927837220886,.0086685289,.045311466,.96389025,,4634,291,.1005574290292533
y2023,inv_grant_appyear,province_year_fe,top10_share,.0349669766823432,.012601943,2.774729,.0058835316,***,4634,291,.571797999973078
y2023,inv_grant_appyear,provyr_baseyr_fe,top10_share,-.0063137209665406,.012946927,-.48766175,.62615788,,4634,291,.571797999973078
y2020,inv_grant_grantyear,province_year_fe,new_applicant_share,.0478746610709185,.01264997,3.7845671,.00018709045,***,3756,291,.480897051270355
y2020,inv_grant_grantyear,provyr_baseyr_fe,new_applicant_share,.0186020326508521,.014016597,1.3271433,.1855052,,3756,291,.480897051270355
y2020,inv_grant_grantyear,province_year_fe,ln1p_new_applicants,-.0146895249245647,.033674754,-.43621776,.66300333,,3756,291,3.450342126462186
y2020,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_applicants,.0157724641841897,.039557897,.39871848,.69039404,,3756,291,3.450342126462186
y2020,inv_grant_grantyear,province_year_fe,ln1p_new_patents,.0112932225379442,.040113062,.28153479,.77850103,,3756,291,3.696607383783038
y2020,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_patents,.0485226796870671,.045819797,1.0589894,.29048586,,3756,291,3.696607383783038
y2020,inv_grant_grantyear,province_year_fe,ln1p_total_patents,.0259696401098447,.048195623,.53883815,.59041196,,3756,291,4.543866898511243
y2020,inv_grant_grantyear,provyr_baseyr_fe,ln1p_total_patents,.035646279133982,.055878378,.63792616,.52402514,,3756,291,4.543866898511243
y2020,inv_grant_grantyear,province_year_fe,ln1p_incumbent_patents,-.0958018039643816,.065475419,-1.4631721,.14450328,,3756,291,3.844987989023284
y2020,inv_grant_grantyear,provyr_baseyr_fe,ln1p_incumbent_patents,-.0089761463893518,.075480163,-.11892059,.9054206,,3756,291,3.844987989023284
y2020,inv_grant_grantyear,province_year_fe,hhi,.0314689174779169,.011688407,2.6923189,.0075082551,***,3756,291,.115596108284939
y2020,inv_grant_grantyear,provyr_baseyr_fe,hhi,.0085626416762534,.012052274,.71045858,.47799078,,3756,291,.115596108284939
y2020,inv_grant_grantyear,province_year_fe,top10_share,.06080621322473,.015471771,3.9301391,.00010621527,***,3756,291,.6124512257845927
y2020,inv_grant_grantyear,provyr_baseyr_fe,top10_share,-.0023481554790551,.014307692,-.16411839,.86975229,,3756,291,.6124512257845927
y2021,inv_grant_grantyear,province_year_fe,new_applicant_share,.047231453525057,.012485451,3.7829192,.00018827493,***,4047,291,.4737890572337013
y2021,inv_grant_grantyear,provyr_baseyr_fe,new_applicant_share,.0176337193201678,.013700954,1.2870432,.19910555,,4047,291,.4737890572337013
y2021,inv_grant_grantyear,province_year_fe,ln1p_new_applicants,-.0071498444990152,.033562761,-.21302909,.83145392,,4047,291,3.512339581250967
y2021,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_applicants,.0304273298839457,.040435452,.75249135,.45236596,,4047,291,3.512339581250967
y2021,inv_grant_grantyear,province_year_fe,ln1p_new_patents,.0141855321119421,.040053885,.35416117,.72347546,,4047,291,3.763738897419488
y2021,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_patents,.0566966587518191,.046958335,1.2073822,.22826879,,4047,291,3.763738897419488
y2021,inv_grant_grantyear,province_year_fe,ln1p_total_patents,.0302483263006862,.048118517,.62862134,.53009176,,4047,291,4.628790856537738
y2021,inv_grant_grantyear,provyr_baseyr_fe,ln1p_total_patents,.0448651486394258,.056009725,.80102426,.42377338,,4047,291,4.628790856537738
y2021,inv_grant_grantyear,province_year_fe,ln1p_incumbent_patents,-.0900255439959199,.065063529,-1.383656,.16752788,,4047,291,3.942769626408173
y2021,inv_grant_grantyear,provyr_baseyr_fe,ln1p_incumbent_patents,.002433440039128,.074792504,.032535881,.97406709,,4047,291,3.942769626408173
y2021,inv_grant_grantyear,province_year_fe,hhi,.0305286351633741,.011537437,2.64605,.0085882861,***,4047,291,.1138912795991583
y2021,inv_grant_grantyear,provyr_baseyr_fe,hhi,.0080413222624677,.01188367,.6766699,.49915478,,4047,291,.1138912795991583
y2021,inv_grant_grantyear,province_year_fe,top10_share,.0627485603883475,.015643975,4.0110369,.000076976423,***,4047,291,.6060591328778047
y2021,inv_grant_grantyear,provyr_baseyr_fe,top10_share,-.0039911869340548,.014464371,-.27593228,.78279662,,4047,291,.6060591328778047
y2022,inv_grant_grantyear,province_year_fe,new_applicant_share,.0485905972529062,.012372589,3.9272783,.00010742126,***,4338,291,.4647968678431922
y2022,inv_grant_grantyear,provyr_baseyr_fe,new_applicant_share,.0187215473307954,.013458623,1.3910449,.16527815,,4338,291,.4647968678431922
y2022,inv_grant_grantyear,province_year_fe,ln1p_new_applicants,.0004515125458145,.032989547,.013686534,.98908949,,4338,291,3.570489159131176
y2022,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_applicants,.0445653492705532,.040422991,1.1024753,.27116919,,4338,291,3.570489159131176
y2022,inv_grant_grantyear,province_year_fe,ln1p_new_patents,.0195491904981525,.038946841,.5019455,.61608672,,4338,291,3.827832218176754
y2022,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_patents,.0709890996368568,.046110328,1.5395488,.12476077,,4338,291,3.827832218176754
y2022,inv_grant_grantyear,province_year_fe,ln1p_total_patents,.0360062377349279,.047182027,.7631346,.44600347,,4338,291,4.715563538008667
y2022,inv_grant_grantyear,provyr_baseyr_fe,ln1p_total_patents,.055985112629308,.055438697,1.0098562,.31340602,,4338,291,4.715563538008667
y2022,inv_grant_grantyear,province_year_fe,ln1p_incumbent_patents,-.0873441407408386,.064072676,-1.3632042,.17387559,,4338,291,4.045523789540493
y2022,inv_grant_grantyear,provyr_baseyr_fe,ln1p_incumbent_patents,.01149672515298,.07415206,.15504256,.87689561,,4338,291,4.045523789540493
y2022,inv_grant_grantyear,province_year_fe,hhi,.0296784800671481,.011270903,2.6331947,.0089121833,***,4338,291,.111882593659987
y2022,inv_grant_grantyear,provyr_baseyr_fe,hhi,.00640726826949,.011541701,.55514073,.57922637,,4338,291,.111882593659987
y2022,inv_grant_grantyear,province_year_fe,top10_share,.0648226672527828,.015841195,4.0920315,.000055473745,***,4338,291,.5997572269386837
y2022,inv_grant_grantyear,provyr_baseyr_fe,top10_share,-.0054853706835547,.01453725,-.37733209,.70620281,,4338,291,.5997572269386837
y2023,inv_grant_grantyear,province_year_fe,new_applicant_share,.0519036621342756,.012210511,4.2507362,.000028758586,***,4629,291,.4544322659442593
y2023,inv_grant_grantyear,provyr_baseyr_fe,new_applicant_share,.0193696277964281,.013089527,1.4797806,.1400173,,4629,291,.4544322659442593
y2023,inv_grant_grantyear,province_year_fe,ln1p_new_applicants,.0074299167510019,.033105526,.22443131,.82257974,,4629,291,3.629536225532878
y2023,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_applicants,.0560882250942701,.040364366,1.3895481,.16573203,,4629,291,3.629536225532878
y2023,inv_grant_grantyear,province_year_fe,ln1p_new_patents,.0262061863177547,.038781874,.67573285,.49974874,,4629,291,3.890324146150846
y2023,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_patents,.082994157649162,.045415029,1.8274602,.068658136,*,4629,291,3.890324146150846
y2023,inv_grant_grantyear,province_year_fe,ln1p_total_patents,.037708355938255,.046425026,.81224203,.417319,,4629,291,4.805376945974035
y2023,inv_grant_grantyear,provyr_baseyr_fe,ln1p_total_patents,.0661924776122999,.054568641,1.2130132,.22611193,,4629,291,4.805376945974035
y2023,inv_grant_grantyear,province_year_fe,ln1p_incumbent_patents,-.0922464137422283,.062953927,-1.4653003,.14392231,,4629,291,4.153790795264457
y2023,inv_grant_grantyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0206254455800094,.072879896,.28300598,.77737415,,4629,291,4.153790795264457
y2023,inv_grant_grantyear,province_year_fe,hhi,.0294227412516169,.011156588,2.6372526,.0088087749,***,4629,291,.109118486704191
y2023,inv_grant_grantyear,provyr_baseyr_fe,hhi,.0065055069946253,.011294455,.57599121,.56506783,,4629,291,.109118486704191
