block,variant,applicant_sample,event_term,outcome,coef,se,t,p,sig,N,N_city
event_ddd_scope_ge_2,broad,all,ev_m4,ln1p_city_new_applicants_field,-0.41226838428318,0.07096627689592057,-5.809356250826213,6.271351425268132e-09,***,4647,291
event_ddd_scope_ge_2,broad,all,ev_m3,ln1p_city_new_applicants_field,-0.11114980581111586,0.08537636872789098,-1.3018802212749199,0.19295733473974258,,4647,291
event_ddd_scope_ge_2,broad,all,ev_m2,ln1p_city_new_applicants_field,-0.08154080167420893,0.05892510438026216,-1.3838041108591101,0.16641844397157055,,4647,291
event_ddd_scope_ge_2,broad,all,ev_0,ln1p_city_new_applicants_field,-0.004194268189696579,0.062270541346687115,-0.06735557615189611,0.9462986339280395,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p1,ln1p_city_new_applicants_field,-0.03233542957544101,0.06380341454130288,-0.5067977914333849,0.6122967061531602,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p2,ln1p_city_new_applicants_field,-0.05289007216344516,0.06742867507779038,-0.7843854577066437,0.4328139687856209,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p3,ln1p_city_new_applicants_field,0.06175116025138715,0.07111696168092504,0.8683042524853816,0.385227794813796,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p4,ln1p_city_new_applicants_field,0.16538542870631762,0.06506540351380169,2.5418335978080275,0.01102726586977812,**,4647,291
event_ddd_scope_ge_2,broad,all,ev_m4,ln1p_city_new_patents_field,-0.42760978008729617,0.09258645454475849,-4.618491788996839,3.865392726671379e-06,***,4647,291
event_ddd_scope_ge_2,broad,all,ev_m3,ln1p_city_new_patents_field,-0.08355921173829145,0.11089895893599017,-0.7534715613202558,0.45116659438341716,,4647,291
event_ddd_scope_ge_2,broad,all,ev_m2,ln1p_city_new_patents_field,-0.04339559246871107,0.08080947761425078,-0.5370111743063445,0.5912598954134574,,4647,291
event_ddd_scope_ge_2,broad,all,ev_0,ln1p_city_new_patents_field,0.023887430619959543,0.07742541575894911,0.3085218256280212,0.7576852952383593,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p1,ln1p_city_new_patents_field,-0.0415011895611027,0.07533212055919106,-0.5509096153544991,0.5816956357076373,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p2,ln1p_city_new_patents_field,-0.07689133917566227,0.0848975395472517,-0.9056957314159453,0.3650969224768706,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p3,ln1p_city_new_patents_field,0.09810368126126703,0.08914547953952617,1.1004896913226978,0.2711188187139954,,4647,291
event_ddd_scope_ge_2,broad,all,ev_p4,ln1p_city_new_patents_field,0.23924569650031838,0.07696815455486207,3.108372519569592,0.0018812078412835677,***,4647,291
event_ddd_scope_ge_2,broad,all,ev_m4,city_new_share_total_field,-0.009964146802583479,0.03132637308990555,-0.3180753409910154,0.7504277880732875,,4119,291
event_ddd_scope_ge_2,broad,all,ev_m3,city_new_share_total_field,-0.007109942928988536,0.03870331014946945,-0.18370374269101114,0.8542458726380209,,4119,291
event_ddd_scope_ge_2,broad,all,ev_m2,city_new_share_total_field,0.019898646352642102,0.037242514878085664,0.5342992120102747,0.593134537311009,,4119,291
event_ddd_scope_ge_2,broad,all,ev_0,city_new_share_total_field,0.047093521263170623,0.037470344888174606,1.2568211315832598,0.20881841234909732,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p1,city_new_share_total_field,0.0012081226236977305,0.03318149831970878,0.03640952593693285,0.9709558186176673,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p2,city_new_share_total_field,0.007905144059778045,0.03059320634927147,0.2583954087560454,0.796101759601619,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p3,city_new_share_total_field,0.02468726507596031,0.03200451969030985,0.7713680853468637,0.4404887863569977,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p4,city_new_share_total_field,0.045706912503325876,0.030157590416318724,1.5156022703522487,0.12961995264322312,,4119,291
event_ddd_scope_ge_2,broad,all,ev_m4,field_new_share_total_field,-0.0029302288044223542,0.032398860758464446,-0.09044234074362661,0.9279357114916252,,4119,291
event_ddd_scope_ge_2,broad,all,ev_m3,field_new_share_total_field,0.016211190733825206,0.03399297955588334,0.4768981991465191,0.6334346144140888,,4119,291
event_ddd_scope_ge_2,broad,all,ev_m2,field_new_share_total_field,0.021895152767596585,0.028557969896759045,0.7666914996671874,0.4432649587784359,,4119,291
event_ddd_scope_ge_2,broad,all,ev_0,field_new_share_total_field,0.022098288096182528,0.02859930244411348,0.772686261819332,0.4397080791067285,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p1,field_new_share_total_field,0.011016222989378939,0.032821426236330144,0.33564120309875645,0.737141449068909,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p2,field_new_share_total_field,0.02271004176155006,0.02585790333902905,0.878263077396236,0.37980096806581554,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p3,field_new_share_total_field,0.026810239615395214,0.030902970079682023,0.8675619057412969,0.385634208336825,,4119,291
event_ddd_scope_ge_2,broad,all,ev_p4,field_new_share_total_field,0.050038779184415044,0.02512748150207067,1.9913965186002234,0.046437311691794186,**,4119,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m4,ln1p_city_new_applicants_field,-0.5481845507994911,0.08510086878074605,-6.441585834004049,1.1823155238249558e-10,***,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m3,ln1p_city_new_applicants_field,-0.1354068726325884,0.08820697133244958,-1.5351039785987406,0.12475828917247642,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m2,ln1p_city_new_applicants_field,-0.12967742713049604,0.06971354438113836,-1.860146809083795,0.06286475813249019,*,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_0,ln1p_city_new_applicants_field,-0.04928920788049636,0.07345723829620468,-0.6709918453746577,0.5022257244198305,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p1,ln1p_city_new_applicants_field,-0.030571579532557527,0.0780626600355371,-0.3916287187579847,0.6953325650568223,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p2,ln1p_city_new_applicants_field,-0.05020126282070704,0.08389138478638797,-0.5984078454365028,0.549567832183133,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p3,ln1p_city_new_applicants_field,0.1260731378390107,0.08122824408750107,1.5520849829426524,0.120641890687861,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p4,ln1p_city_new_applicants_field,0.29319944336457154,0.0769439302276472,3.810559747820371,0.0001386524961090501,***,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m4,ln1p_city_new_patents_field,-0.5817559951788662,0.10233919737246958,-5.684586259373628,1.311297249177025e-08,***,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m3,ln1p_city_new_patents_field,-0.07391730673511598,0.11154385534909243,-0.6626748421397235,0.5075388256173915,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m2,ln1p_city_new_patents_field,-0.06588710651922883,0.08833713797693807,-0.7458596466689897,0.45575220405603306,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_0,ln1p_city_new_patents_field,0.0013222868751786993,0.08838135032516009,0.014961152667547276,0.9880631725918713,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p1,ln1p_city_new_patents_field,-0.05244089785775022,0.09122205995897309,-0.5748707920138548,0.5653786848825746,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p2,ln1p_city_new_patents_field,-0.02520951206995757,0.10148640822907698,-0.24840284043804367,0.8038227360915347,,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p3,ln1p_city_new_patents_field,0.1790107929848816,0.10530986793529809,1.6998482335469742,0.08915947618966495,*,4647,291
