block,variant,applicant_sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
ddd_rescue,broad,no_individual,ppml_offset_total_policy_x_high,field_new_applicants_field,.0641434932057966,.048246108,1.329506,.18368107,,7480,291,106.47655,1
ddd_rescue,broad,no_individual,ppml_offset_active,field_new_applicants_field,-.0477943843891533,.013101929,-3.6478891,.00026440367,***,7480,291,106.47655,1
ddd_rescue,broad,no_individual,ppml_offset_active_policy_x_high,field_new_applicants_field,-.049356763671335,.015704326,-3.1428769,.0016729619,***,7480,291,106.47655,1
ddd_rescue,broad,no_individual,ppml_offset_total,field_new_patents_field,.0096755791674265,.052174076,.18544802,.85287762,,7480,291,298.48386,1
ddd_rescue,broad,no_individual,ppml_offset_total_policy_x_high,field_new_patents_field,-.0003722921289236,.061474554,-.0060560363,.99516803,,7480,291,298.48386,1
ddd_rescue,broad,no_individual,ppml_offset_active,field_new_patents_field,-.0866629757371279,.051317126,-1.688773,.091262937,*,7480,291,298.48386,1
ddd_rescue,broad,no_individual,ppml_offset_active_policy_x_high,field_new_patents_field,-.1234040096766675,.058146205,-2.1223056,.033812091,**,7480,291,298.48386,1
ddd_rescue,broad,no_individual,ols_rate_share,city_new_applicant_rate_active,.0020141866911127,.015103171,.13336185,.8939997,,7482,291,.48237532,1
ddd_rescue,broad,no_individual,ols_rate_share_policy_x_high,city_new_applicant_rate_active,-.0052464937569474,.018427044,-.28471705,.77606416,,7482,291,.48237532,1
ddd_rescue,broad,no_individual,ols_rate_share,field_new_applicant_rate_active,.014329703334927,.014507377,.98775291,.32409707,,7482,291,.58655339,1
ddd_rescue,broad,no_individual,ols_rate_share_policy_x_high,field_new_applicant_rate_active,-.0105988532781285,.018359523,-.57729459,.56418836,,7482,291,.58655339,1
ddd_rescue,broad,no_individual,ols_rate_share,city_new_share_total_field,.0148338892823952,.014435774,1.0275784,.30500451,,7482,291,.33414683,1
ddd_rescue,broad,no_individual,ols_rate_share_policy_x_high,city_new_share_total_field,.009399702141166,.017990638,.52247745,.60173684,,7482,291,.33414683,1
ddd_rescue,broad,no_individual,ols_rate_share,field_new_share_total_field,.0485228170391577,.017561598,2.7630069,.0060933088,***,7482,291,.40933794,1
ddd_rescue,broad,no_individual,ols_rate_share_policy_x_high,field_new_share_total_field,.0182417699151567,.022477085,.8115719,.41770291,,7482,291,.40933794,1
ddd_rescue,broad,no_individual,ols_any_entry,any_city_new_applicants,-.1498769694016333,.025511131,-5.8749638,1.1585042e-08,***,9294,291,.8392511,1
ddd_rescue,broad,no_individual,ols_any_entry,any_city_new_patents,-.1498769694016333,.025511131,-5.8749638,1.1585042e-08,***,9294,291,.8392511,1
ddd_rescue,broad,no_individual,ols_any_entry,any_field_new_applicants,-.1538281253025892,.022974055,-6.6957321,1.1104170e-10,***,9294,291,.87615669,1
ddd_rescue,broad,no_individual,ols_any_entry,any_field_new_patents,-.1538281253025892,.022974055,-6.6957321,1.1104170e-10,***,9294,291,.87615669,1
ddd_rescue,broad,no_oneshot,ppml_offset_total,city_new_applicants_field,.0400769442055671,.049789619,.80492568,.42086256,,7914,289,92.952553,1
ddd_rescue,broad,no_oneshot,ppml_offset_total_policy_x_high,city_new_applicants_field,.0877842091658162,.043817639,2.0033989,.045134488,**,7914,289,92.952553,1
ddd_rescue,broad,no_oneshot,ppml_offset_active,city_new_applicants_field,-.0321798503374638,.012632505,-2.5473847,.010853373,**,7914,289,92.952553,1
ddd_rescue,broad,no_oneshot,ppml_offset_active_policy_x_high,city_new_applicants_field,-.0243698242775595,.015163573,-1.6071295,.10802598,,7914,289,92.952553,1
ddd_rescue,broad,no_oneshot,ppml_offset_total,city_new_patents_field,.043486189358328,.043848436,.99173862,.32132503,,7914,289,333.70657,1
ddd_rescue,broad,no_oneshot,ppml_offset_total_policy_x_high,city_new_patents_field,.0184664858565858,.060311429,.30618551,.75946337,,7914,289,333.70657,1
ddd_rescue,broad,no_oneshot,ppml_offset_active,city_new_patents_field,-.0455664406338035,.055135328,-.82644725,.40855044,,7914,289,333.70657,1
ddd_rescue,broad,no_oneshot,ppml_offset_active_policy_x_high,city_new_patents_field,-.1122469803026899,.060118604,-1.8670923,.061888706,*,7914,289,333.70657,1
ddd_rescue,broad,no_oneshot,ppml_offset_total,field_new_applicants_field,.0082200509328874,.054361124,.15121195,.87980855,,7918,290,101.09845,1
ddd_rescue,broad,no_oneshot,ppml_offset_total_policy_x_high,field_new_applicants_field,.0443377094176573,.044429366,.99793708,.31830987,,7918,290,101.09845,1
ddd_rescue,broad,no_oneshot,ppml_offset_active,field_new_applicants_field,-.066362677113991,.013580816,-4.8865013,1.0264356e-06,***,7918,290,101.09845,1
ddd_rescue,broad,no_oneshot,ppml_offset_active_policy_x_high,field_new_applicants_field,-.0673835817948919,.016165029,-4.168479,.000030663938,***,7918,290,101.09845,1
ddd_rescue,broad,no_oneshot,ppml_offset_total,field_new_patents_field,.0192226890965456,.042838477,.44872487,.65363014,,7918,290,350.64902,1
ddd_rescue,broad,no_oneshot,ppml_offset_total_policy_x_high,field_new_patents_field,.0045418558547871,.055595763,.081694283,.93488985,,7918,290,350.64902,1
ddd_rescue,broad,no_oneshot,ppml_offset_active,field_new_patents_field,-.0724175420419691,.049154408,-1.4732665,.1406792,,7918,290,350.64902,1
ddd_rescue,broad,no_oneshot,ppml_offset_active_policy_x_high,field_new_patents_field,-.1244796442066376,.053367808,-2.3324857,.019675158,**,7918,290,350.64902,1
ddd_rescue,broad,no_oneshot,ols_rate_share,city_new_applicant_rate_active,.0036487735959679,.013476039,.27076009,.78676885,,7920,290,.42708999,1
ddd_rescue,broad,no_oneshot,ols_rate_share_policy_x_high,city_new_applicant_rate_active,.0050245087490514,.016325628,.30776817,.75848043,,7920,290,.42708999,1
ddd_rescue,broad,no_oneshot,ols_rate_share,field_new_applicant_rate_active,-.002629365756261,.013163503,-.19974665,.84181917,,7920,290,.54033035,1
ddd_rescue,broad,no_oneshot,ols_rate_share_policy_x_high,field_new_applicant_rate_active,-.0042807955104864,.015448963,-.27709273,.78190702,,7920,290,.54033035,1
ddd_rescue,broad,no_oneshot,ols_rate_share,city_new_share_total_field,.0189783658306233,.013640205,1.3913548,.16518795,,7920,290,.33671331,1
ddd_rescue,broad,no_oneshot,ols_rate_share_policy_x_high,city_new_share_total_field,.0204441093436836,.016135802,1.2670029,.20617428,,7920,290,.33671331,1
ddd_rescue,broad,no_oneshot,ols_rate_share,field_new_share_total_field,.0344088106352345,.015623543,2.2023692,.028428817,**,7920,290,.41689548,1
ddd_rescue,broad,no_oneshot,ols_rate_share_policy_x_high,field_new_share_total_field,.0277612838715079,.017396789,1.5957705,.11163294,,7920,290,.41689548,1
ddd_rescue,broad,no_oneshot,ols_any_entry,any_city_new_applicants,-.1430223547860802,.02270619,-6.2988267,1.1093768e-09,***,9294,291,.86141598,1
ddd_rescue,broad,no_oneshot,ols_any_entry,any_city_new_patents,-.1430223547860802,.02270619,-6.2988267,1.1093768e-09,***,9294,291,.86141598,1
ddd_rescue,broad,no_oneshot,ols_any_entry,any_field_new_applicants,-.1533222680499382,.020946976,-7.3195419,2.4583308e-12,***,9294,291,.89982784,1
ddd_rescue,broad,no_oneshot,ols_any_entry,any_field_new_patents,-.1533222680499382,.020946976,-7.3195419,2.4583308e-12,***,9294,291,.89982784,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total,city_new_applicants_field,.0552415372873714,.058668129,.94159365,.34640071,,7314,286,68.752525,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total_policy_x_high,city_new_applicants_field,.0899183384374584,.049768101,1.8067464,.070801839,*,7314,286,68.752525,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active,city_new_applicants_field,-.0338671867547139,.014926895,-2.2688701,.023276219,**,7314,286,68.752525,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active_policy_x_high,city_new_applicants_field,-.0242527574686809,.017433796,-1.3911346,.16418463,,7314,286,68.752525,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total,city_new_patents_field,.0259068757609154,.05464403,.47410259,.63542676,,7314,286,252.63449,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total_policy_x_high,city_new_patents_field,.0048886117408522,.067537509,.07238365,.94229662,,7314,286,252.63449,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active,city_new_patents_field,-.0701239548731595,.06027218,-1.1634548,.24464504,,7314,286,252.63449,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active_policy_x_high,city_new_patents_field,-.1218835426316203,.066071898,-1.8447107,.065079637,*,7314,286,252.63449,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total,field_new_applicants_field,.0294161889462599,.064193271,.45824409,.64677709,,7344,290,75.798363,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total_policy_x_high,field_new_applicants_field,.0483076045541792,.050510287,.95639139,.33887452,,7344,290,75.798363,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active,field_new_applicants_field,-.0660909411388146,.017500786,-3.7764556,.00015907589,***,7344,290,75.798363,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active_policy_x_high,field_new_applicants_field,-.0696395711512857,.019074995,-3.6508303,.00026139399,***,7344,290,75.798363,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total,field_new_patents_field,.0076985470078416,.055205021,.13945374,.88909161,,7344,290,267.80569,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_total_policy_x_high,field_new_patents_field,-.0068522187865665,.066237137,-.10344981,.917606,,7344,290,267.80569,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active,field_new_patents_field,-.0969971115109603,.055991091,-1.7323668,.08320827,*,7344,290,267.80569,1
ddd_rescue,broad,no_individual_no_oneshot,ppml_offset_active_policy_x_high,field_new_patents_field,-.1389837331854093,.062748246,-2.214942,.026764043,**,7344,290,267.80569,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share,city_new_applicant_rate_active,-.0050527132245437,.015321353,-.32978246,.74180323,,7348,290,.39389095,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share_policy_x_high,city_new_applicant_rate_active,-.0106396589302508,.018482821,-.57565123,.56529891,,7348,290,.39389095,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share,field_new_applicant_rate_active,.0121672095465367,.015859354,.76719451,.44359216,,7348,290,.5085811,1
