block,variant,applicant_sample,city_sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_diff_y,policy_controls
ddd_robustness,broad,all,min50,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.040472649293348505,0.016843486038643024,2.4028665562754927,0.016267122296191535,**,3950,289,0.11162925584715543,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,all,diff_city_year_fe,ln1p_city_new_applicants_field,0.382374784114867,0.041970975350581106,9.110457427327164,8.203535247635246e-20,***,4647,291,-2.3402377156875733,
ddd_robustness,broad,no_individual,all,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.18918062417974338,0.044256130601658096,4.274676109453083,1.9141535408420092e-05,***,4647,291,-2.3402377156875733,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,all,diff_city_year_fe,ln1p_city_new_patents_field,0.41525953619195205,0.05273514043901828,7.874436907438386,3.4228087565230876e-15,***,4647,291,-2.7656711075268725,
ddd_robustness,broad,no_individual,all,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.1704533133202052,0.053781254643503244,3.169381496398316,0.0015276373847894979,***,4647,291,-2.7656711075268725,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,all,diff_city_year_fe,city_new_share_total_field,0.016925844413831315,0.01504307964806531,1.125158199638207,0.26052200262162734,,3741,291,-0.04169066360538665,
ddd_robustness,broad,no_individual,all,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.01068954988388539,0.018770374138997466,0.5694905069407595,0.569023311227798,,3741,291,-0.04169066360538665,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,all,diff_city_year_fe,field_new_share_total_field,0.04435477066479767,0.01855447876764244,2.3905155849567126,0.016824735057524104,**,3741,291,0.12111428046570126,
ddd_robustness,broad,no_individual,all,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.01542601807019454,0.023530707676584474,0.6555696616615169,0.5121010511006363,,3741,291,0.12111428046570126,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min20,diff_city_year_fe,ln1p_city_new_applicants_field,0.3208241658761704,0.04074247421075778,7.874439932552229,3.4227259469599047e-15,***,4453,291,-2.4047751337985863,
