eventdef,spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,top10_share,es_m4,-.0174393345196739,.0133877,-1.3026386,.19398974,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_m3,-.0098376098933263,.017100308,-.57528841,.56565374,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_m2,-.0056601065754708,.016684266,-.33924818,.73472965,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_0,-.0006361076970702,.014672345,-.043354198,.96545649,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p1,-.005798710222028,.014717611,-.39399803,.69394439,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p2,-.0019102794049311,.01579277,-.12095911,.90382814,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p3,-.0037127636962081,.013861431,-.26784852,.78905392,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p4,.01170144844399,.013227945,.88460064,.37728792,,.6947727209005712,.55607694,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_m4,-.0092456102600077,.01442975,-.64073253,.52232885,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_m3,-.0028971079981895,.016962839,-.17079145,.86453658,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_m2,.0005706642379957,.017055318,.033459608,.97333682,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_0,-.0002996201694059,.014753205,-.020308821,.98381448,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_p1,-.0067719430345679,.015103965,-.44835532,.65431523,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_p2,-.0043654493245008,.016363351,-.2667821,.7898739,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_p3,-.0107507880656645,.014073275,-.76391512,.44569403,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_p4,.0027780644425744,.01261,.22030647,.82582623,,.2343463848335386,.87238371,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,base_top_share,es_m4,-.0055226441091633,.02041677,-.2704955,.78701955,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_m3,.0161909196384724,.019421874,.83364356,.40533933,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_m2,.0370488855449013,.018797776,1.9709187,.049922008,**,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_0,.0266414206712597,.015618698,1.705739,.089395039,*,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_p1,.0171325602627598,.015431295,1.1102477,.2680417,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_p2,.009541364152075,.014830356,.64336717,.5206213,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_p3,.0125862321649186,.012286612,1.0243859,.30671993,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_top_share,es_p4,.0113519723048347,.011002278,1.0317838,.30324781,,1.986005591187331,.11681028,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_m4,.0039294855951513,.020621225,.19055539,.84904057,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_m3,.0099328952642373,.021311954,.46607155,.64160156,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_m2,.0259901286442602,.019713683,1.3183801,.18867651,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_0,.018332298086177,.015383849,1.1916587,.23461266,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_p1,.0074238917503118,.014941461,.49686515,.61975461,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_p2,-.0038570784244919,.013812734,-.27924076,.78030884,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_p3,-.0000312656841071,.01164923,-.0026839271,.99786085,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,provyr_baseyr_fe,base_top_share,es_p4,.0001399760415459,.010469703,.013369628,.98934436,,.9801850082145949,.40280381,3719,233,79,.1930823432292725
scope_ge_1,province_year_fe,base_mid_inc_share,es_m4,.0083172572597708,.013535907,.6144588,.5395143,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_m3,.0030568835809232,.016286982,.18768875,.85128468,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_m2,-.0013186607007641,.013733651,-.096016765,.92359012,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_0,.0005297838329566,.015716506,.033708755,.97313839,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_p1,.0013702313672642,.016841656,.081359655,.93522608,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_p2,-.0115353818436403,.017495627,-.65932941,.51033819,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_p3,-.006584700680198,.012322475,-.53436512,.59360063,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,province_year_fe,base_mid_inc_share,es_p4,.0003504485353589,.010893946,.032169111,.97436488,,.2384522300981561,.86948329,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m4,-.0043952455421351,.013330746,-.32970741,.74191856,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m3,-.0086229220849214,.017344618,-.4971526,.61955225,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_m2,-.0056810762865597,.01513515,-.37535644,.70773834,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_0,.0012604909096378,.015718108,.080193557,.93615246,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p1,.0050204393007877,.017138431,.2929346,.76983398,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p2,-.0054919193885084,.017484577,-.31410077,.75372678,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p3,-.000873126773578,.012062383,-.072384268,.94235849,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_1,provyr_baseyr_fe,base_mid_inc_share,es_p4,.0054766919915707,.01120277,.48886943,.62539595,,.0829898285934713,.96925104,3719,233,79,.3825758892680844
scope_ge_2,province_year_fe,ln1p_new_applicants,es_m4,-.0549986693492785,.048453171,-1.1350892,.25732991,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_m3,-.0644568117503492,.055438884,-1.1626644,.24597733,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_m2,-.0699751699775307,.052297071,-1.3380322,.1819953,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_0,-.0305964451291969,.038501136,-.79468942,.42748198,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_p1,-.0065752721137713,.045289781,-.14518225,.88467371,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_p2,-.0099835859220952,.043452412,-.22975907,.81845039,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_p3,-.0624929561312437,.045094516,-1.3858216,.16692826,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,ln1p_new_applicants,es_p4,-.0188310419983716,.039159216,-.48088405,.6309827,,.6240986272428849,.59996629,4391,275,66,4.477666743832106
