sample,outcome,xvar,coef,se,t,p,sig,N,N_city,r2_within,abs_t
2012_2022,ln1p_nonlisted_invgrant_proxy,ln1p_idc_stock_l1,.1223303456529749,.041373789,2.9567113,.0033597359,***,3196,297,.5712413122342639,2.9567113
2012_2022,diff_nl_ls_inv,ln1p_idc_stock_l1,-.1790922623127365,.075183101,-2.3820813,.017846679,**,3196,297,.0151719496950936,2.3820813
2012_2022,diff_ls_city_inv,ln1p_idc_stock_l1,.1708004424776652,.061885476,2.759944,.0061416612,***,3196,297,.0221222238526385,2.759944
2012_2022,listed_share_invgrant_clean,ln1p_idc_stock_l1,.0072387776107787,.0097072748,.74570644,.45643651,,3196,297,.0273802420145906,.74570644
2012_2022,listed_share_apply_clean,ln1p_idc_stock_l1,.0037841058176765,.0044230353,.85554504,.39294147,,3252,297,.0176083631963334,.85554504
2012_2022,listed_share_grant_clean,ln1p_idc_stock_l1,.0035745016070645,.0046180603,.77402663,.43953282,,3251,297,.006071553494291,.77402663
2012_2022,ln1p_city_invgrant,ln1p_idc_new_l1,.0414258274548191,.021247067,1.9497198,.052153558,*,3196,297,.6567231268605009,1.9497198
2012_2022,ln1p_listed_invgrant,ln1p_idc_new_l1,.1450185591642841,.042765811,3.3909926,.00079104665,***,3196,297,.3464008345535038,3.3909926
2012_2022,ln1p_nonlisted_invgrant_proxy,ln1p_idc_new_l1,.042641534314056,.022326736,1.9098866,.057114214,*,3196,297,.5674996383892439,1.9098866
2012_2022,diff_nl_ls_inv,ln1p_idc_new_l1,-.1023770248090979,.045562577,-2.2469542,.025379689,**,3196,297,.0107639470657064,2.2469542
2012_2022,diff_ls_city_inv,ln1p_idc_new_l1,.1035927349924758,.040626384,2.5498881,.011279688,**,3196,297,.0169658982966699,2.5498881
2012_2022,listed_share_invgrant_clean,ln1p_idc_new_l1,.0008508074665702,.0047197412,.18026571,.85706735,,3196,297,.02667071875806,.18026571
2012_2022,listed_share_apply_clean,ln1p_idc_new_l1,.0036901498286864,.0030292107,1.2181886,.22412241,,3252,297,.0174476528954244,1.2181886
2012_2022,listed_share_grant_clean,ln1p_idc_new_l1,.0030106223528183,.0034198784,.8803302,.37939462,,3251,297,.0058250503553937,.8803302
