family,outcome_type,sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
sustained_entry,count_ppml,min20,provyr_base,surv2_applicants,0.0820708807219554,0.048738625,1.6838982,0.092201352,*,3801,286,84.565308,1
sustained_entry,count_ppml,min20,provyr_base_policy,surv2_applicants,0.0549562652338221,0.048564371,1.131617,0.25779551,,3801,286,84.565308,1
sustained_entry,count_ppml,min50,city_year,surv2_applicants,0.0447292094691276,0.048617799,0.92001718,0.35756376,,3583,286,91.075829,1
sustained_entry,count_ppml,min50,provyr_base,surv2_applicants,0.0824731408573533,0.048902258,1.6864893,0.091701575,*,3497,281,91.075829,1
sustained_entry,count_ppml,min50,provyr_base_policy,surv2_applicants,0.054445300637064,0.048620626,1.1197984,0.26279965,,3497,281,91.075829,1
sustained_entry,count_ppml,all,city_year,surv3_applicants,0.0153458157952424,0.045502275,0.33725381,0.73592556,,3768,291,88.343155,1
sustained_entry,count_ppml,all,provyr_base,surv3_applicants,0.0582011623166302,0.04609381,1.2626675,0.20670867,,3706,286,88.343155,1
sustained_entry,count_ppml,all,provyr_base_policy,surv3_applicants,0.0298674504757892,0.044965349,0.66423261,0.50654149,,3706,286,88.343155,1
sustained_entry,count_ppml,min20,city_year,surv3_applicants,0.0192404846422477,0.045680389,0.42119789,0.67361057,,3584,289,92.781593,1
sustained_entry,count_ppml,min20,provyr_base,surv3_applicants,0.0588599062970276,0.046206266,1.2738513,0.20271614,,3515,285,92.781593,1
sustained_entry,count_ppml,min20,provyr_base_policy,surv3_applicants,0.0304637529981425,0.045074239,0.67585731,0.49913123,,3515,285,92.781593,1
sustained_entry,count_ppml,min50,city_year,surv3_applicants,0.0272148124995605,0.046128143,0.58998287,0.55520213,,3298,285,100.40006,1
sustained_entry,count_ppml,min50,provyr_base,surv3_applicants,0.0591618492762613,0.046384733,1.2754595,0.20214665,,3217,280,100.40006,1
