route,sample,outcome,xvar,coef,se,t,p,n,firms,clusters,r2,mean_y
B_strict_ai,clean_2011_2024,ln1p_strict_ai_inv,ln1p_idc_stock,.0007505596970898,.00031178756,2.4072793,.016703205,49859,5532,288,.26151401,.0014032358
B_strict_ai,clean_2012_2022,ln1p_strict_ai_inv,ln1p_idc_stock_l1,.0002979134564243,.00024597469,1.2111548,.22683588,37439,5163,287,.3440761,.00072380155
B_strict_ai,clean_2011_2024,ln1p_strict_ai_inv,ln1p_idc_stock_l1,.0008144995388088,.00035576979,2.2894006,.022782121,49859,5532,288,.26152641,.0014032358
B_strict_ai,clean_2012_2022,ln1p_strict_ai_inv,ln1p_idc_new,.0002065357988456,.0002427923,.85066867,.39566505,37439,5163,287,.34407285,.00072380155
B_strict_ai,clean_2011_2024,ln1p_strict_ai_inv,ln1p_idc_new,-.0002174046889687,.00026421054,-.82284641,.41127852,49859,5532,288,.26146603,.0014032358
B_strict_ai,clean_2012_2022,ln1p_strict_ai_inv,ln1p_idc_new_l1,.0004024700842782,.00022121087,1.8193955,.069896579,37439,5163,287,.34412357,.00072380155
B_strict_ai,clean_2011_2024,ln1p_strict_ai_inv,ln1p_idc_new_l1,.0003051353079752,.00024808923,1.2299417,.21972616,49859,5532,288,.26147449,.0014032358
B_strict_ai,clean_2012_2022,has_strict_ai_inv,ln1p_idc_stock,.000352809181762,.00032140993,1.0976923,.2732622,37439,5163,287,.29284775,.00090814393
B_strict_ai,clean_2011_2024,has_strict_ai_inv,ln1p_idc_stock,.0009224619438029,.00035449784,2.6021652,.0097446293,49859,5532,288,.24895106,.0015844682
B_strict_ai,clean_2012_2022,has_strict_ai_inv,ln1p_idc_stock_l1,.0003175218406068,.00030704981,1.0341053,.30196053,37439,5163,287,.29284495,.00090814393
B_strict_ai,clean_2011_2024,has_strict_ai_inv,ln1p_idc_stock_l1,.0009870121457691,.00038599508,2.5570588,.011070605,49859,5532,288,.24896541,.0015844682
B_strict_ai,clean_2012_2022,has_strict_ai_inv,ln1p_idc_new,.000267414934903,.00031263469,.85535914,.39306834,37439,5163,287,.2928479,.00090814393
B_strict_ai,clean_2011_2024,has_strict_ai_inv,ln1p_idc_new,-.0001616226995555,.00029109308,-.55522686,.57917202,49859,5532,288,.24887848,.0015844682
B_strict_ai,clean_2012_2022,has_strict_ai_inv,ln1p_idc_new_l1,.000512115290059,.00028603183,1.7904136,.074445054,37439,5163,287,.29290256,.00090814393
B_strict_ai,clean_2011_2024,has_strict_ai_inv,ln1p_idc_new_l1,.0003972725074963,.00030241345,1.3136735,.19000526,49859,5532,288,.2488997,.0015844682
B_ai_compute,clean_2012_2022,ln1p_ai_compute_inv,ln1p_idc_stock,.000935676448046,.00057048636,1.6401381,.1020758,37439,5163,287,.43618894,.0046668658
B_ai_compute,clean_2011_2024,ln1p_ai_compute_inv,ln1p_idc_stock,.0016279057569494,.00071175577,2.287169,.022913778,49859,5532,288,.38602129,.0053340206
B_ai_compute,clean_2012_2022,ln1p_ai_compute_inv,ln1p_idc_stock_l1,.0013790629815986,.00053945527,2.5563991,.011092958,37439,5163,287,.43621251,.0046668658
B_ai_compute,clean_2011_2024,ln1p_ai_compute_inv,ln1p_idc_stock_l1,.002012982964973,.00075638248,2.6613295,.0082216868,49859,5532,288,.38605517,.0053340206
B_ai_compute,clean_2012_2022,ln1p_ai_compute_inv,ln1p_idc_new,-.0004995182400312,.00077196705,-.64707196,.51810437,37439,5163,287,.43617937,.0046668658
B_ai_compute,clean_2011_2024,ln1p_ai_compute_inv,ln1p_idc_new,-.0005378233849774,.00077865028,-.69071239,.49030453,49859,5532,288,.38597408,.0053340206
B_ai_compute,clean_2012_2022,ln1p_ai_compute_inv,ln1p_idc_new_l1,.0007624081961154,.00068490545,1.1131583,.26657513,37439,5163,287,.43619567,.0046668658
B_ai_compute,clean_2011_2024,ln1p_ai_compute_inv,ln1p_idc_new_l1,.0008366628047892,.00076023932,1.1005256,.27202538,49859,5532,288,.38599053,.0053340206
B_ai_compute,clean_2012_2022,has_ai_compute_inv,ln1p_idc_stock,.0010577205630533,.000467215,2.2638841,.024330324,37439,5163,287,.36485443,.0045674299
B_ai_compute,clean_2011_2024,has_ai_compute_inv,ln1p_idc_stock,.0017867500212312,.00055073097,3.2443244,.0013164743,49859,5532,288,.3192974,.0051745921
B_ai_compute,clean_2012_2022,has_ai_compute_inv,ln1p_idc_stock_l1,.0014409514101475,.0004139407,3.4810576,.00057741319,37439,5163,287,.36488155,.0045674299
B_ai_compute,clean_2011_2024,has_ai_compute_inv,ln1p_idc_stock_l1,.0021294361872257,.00054791215,3.8864555,.00012638311,49859,5532,288,.31933919,.0051745921
B_ai_compute,clean_2012_2022,has_ai_compute_inv,ln1p_idc_new,-.0001330487614965,.00066063565,-.20139508,.84053284,37439,5163,287,.36482537,.0045674299
B_ai_compute,clean_2011_2024,has_ai_compute_inv,ln1p_idc_new,-.0001478918390126,.00069176103,-.21379036,.83086234,49859,5532,288,.3192102,.0051745921
B_ai_compute,clean_2012_2022,has_ai_compute_inv,ln1p_idc_new_l1,.0010347375129656,.00065903238,1.5700861,.11750074,37439,5163,287,.36488277,.0045674299
B_ai_compute,clean_2011_2024,has_ai_compute_inv,ln1p_idc_new_l1,.0010562075982877,.00070930313,1.4890779,.13756488,49859,5532,288,.31926385,.0051745921
