estimator,eventdef,spec,outcome,term,rel,coef,se,t,p,sig,N,N_city,N_treated_city,pre_p
bjs,scope_ge_2,bjs_provyr_baseyr,ln1p_total_patents,tau3,3,.075536914,.062721625,1.2043202,.22846586,,4647,291,82,.2327056886478394
bjs,scope_ge_2,bjs_provyr_baseyr,ln1p_total_patents,tau4,4,.12996495,.06752789,1.9246113,.054278005,*,4647,291,82,.2327056886478394
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tm3,-3,.052163452,.036450241,1.4310865,.1524054,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tm2,-2,-.075464107,.045180615,-1.6702762,.094864726,*,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tm1,-1,.04224816,.033498283,1.2612038,.20723546,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tp0,0,.077888682,.035497252,2.1942172,.028219793,**,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tp1,1,.14220299,.045806039,3.1044593,.0019062719,***,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tp2,2,.14430346,.056446545,2.5564623,.010574256,**,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tp3,3,.07765729,.065897226,1.1784607,.23861301,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,ln1p_total_patents,Tp4,4,.12779692,.071003802,1.7998604,.071882695,*,4647,291,82,
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,pre3,-3,-.018134734,.016849989,-1.076246,.28181726,,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,pre2,-2,-.0098960716,.014830776,-.66726595,.50460231,,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,pre1,-1,-.0097391121,.017544243,-.55511725,.57881445,,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,tau0,0,-.013547215,.012963763,-1.0450064,.29602003,,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,tau1,1,.049925398,.015625639,3.1950948,.0013978492,***,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,tau2,2,.076557152,.015615658,4.9025888,9.4581725e-07,***,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,tau3,3,.066876478,.016538968,4.04357,.000052643412,***,4647,291,82,.7615836421305027
bjs,scope_ge_2,bjs_provyr_baseyr,new_applicant_share,tau4,4,.067851461,.014593669,4.6493764,3.3293993e-06,***,4647,291,82,.7615836421305027
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tm3,-3,-.016045313,.017300565,-.9274444,.35369584,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tm2,-2,.0046297465,.016208164,.28564289,.77515167,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tm1,-1,-.0016471571,.013555846,-.12150899,.90328789,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tp0,0,-.0035397266,.013698338,-.25840557,.79609394,,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tp1,1,.059178222,.021719396,2.7246716,.0064365468,***,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tp2,2,.086844608,.027075469,3.2075014,.0013389339,***,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tp3,3,.077834278,.026842933,2.8996189,.0037361663,***,4647,291,82,
csdid,scope_ge_2,csdid_reg_notyet,new_applicant_share,Tp4,4,.07788112,.02804986,2.7765243,.005494351,***,4647,291,82,
