spec,sample,outcome,y_version,xvar,coef,se,t,p,n,firms,clusters,r2
nocontrol_full,2008_2024,企业创新韧性3,winsor,ln1p_idc_new,.012601372612134,.24565402,.05129724,.9591276,41126,5232,264,.15891975
nocontrol_ctrlsample,2008_2024,企业创新韧性3,winsor,ln1p_idc_new,.0117879268200581,.24460444,.048191797,.96159995,40505,4992,264,.15041506
controls,2008_2024,企业创新韧性3,winsor,ln1p_idc_new,.0147352738395056,.24095516,.061153594,.95128334,40505,4992,264,.15146902
nocontrol_full,2012_2022,企业创新韧性3,winsor,ln1p_idc_new_l1,.2963867587276673,.29028091,1.0210342,.30818006,28132,4548,263,.22061443
nocontrol_ctrlsample,2012_2022,企业创新韧性3,winsor,ln1p_idc_new_l1,.294150306843624,.29083964,1.0113832,.31276619,27920,4412,263,.21167991
controls,2012_2022,企业创新韧性3,winsor,ln1p_idc_new_l1,.3086107470391624,.28012758,1.1016792,.27161217,27920,4412,263,.21291274
nocontrol_full,2008_2024,企业创新韧性3,winsor,ln1p_idc_new_l1,.028599231732729,.31441292,.090960734,.92759305,41126,5232,264,.15892003
nocontrol_ctrlsample,2008_2024,企业创新韧性3,winsor,ln1p_idc_new_l1,-.0595288134662878,.31314847,-.19009773,.84937918,40505,4992,264,.15041652
controls,2008_2024,企业创新韧性3,winsor,ln1p_idc_new_l1,-.0451393272399877,.31224373,-.14456441,.88516551,40505,4992,264,.15146981
nocontrol_full,2012_2022,企业创新韧性4,raw,ln1p_idc_stock,.0103508452239796,.011572768,.89441401,.37186861,28598,4600,281,.22101636
nocontrol_ctrlsample,2012_2022,企业创新韧性4,raw,ln1p_idc_stock,.0103216598571734,.01155101,.89357203,.3723183,28376,4458,281,.21947218
controls,2012_2022,企业创新韧性4,raw,ln1p_idc_stock,.0100313168655937,.011442292,.87668777,.38140777,28376,4458,281,.21975222
nocontrol_full,2008_2024,企业创新韧性4,raw,ln1p_idc_stock,.0226541693560321,.0098666511,2.2960343,.022407467,41903,5270,283,.55123854
nocontrol_ctrlsample,2008_2024,企业创新韧性4,raw,ln1p_idc_stock,.0224048674873031,.010012241,2.2377474,.026021224,41266,5030,282,.54379529
controls,2008_2024,企业创新韧性4,raw,ln1p_idc_stock,.0211583669967993,.0097644897,2.1668687,.031085093,41266,5030,282,.54401356
nocontrol_full,2012_2022,企业创新韧性4,raw,ln1p_idc_stock_l1,.0139455747453383,.011249217,1.2396929,.21612698,28598,4600,281,.22104608
nocontrol_ctrlsample,2012_2022,企业创新韧性4,raw,ln1p_idc_stock_l1,.0138255539251897,.011222001,1.2320043,.21898107,28376,4458,281,.21950109
controls,2012_2022,企业创新韧性4,raw,ln1p_idc_stock_l1,.0133609282715515,.011103603,1.2032967,.22987795,28376,4458,281,.21977864
nocontrol_full,2008_2024,企业创新韧性4,raw,ln1p_idc_stock_l1,.0239154962482979,.0093297176,2.5633676,.01088507,41903,5270,283,.55125594
nocontrol_ctrlsample,2008_2024,企业创新韧性4,raw,ln1p_idc_stock_l1,.0237129091743492,.0094513437,2.5089459,.012672304,41266,5030,282,.54381329
controls,2008_2024,企业创新韧性4,raw,ln1p_idc_stock_l1,.0224190033552198,.0092221005,2.4310083,.01568244,41266,5030,282,.54402983
nocontrol_full,2012_2022,企业创新韧性4,raw,ln1p_idc_new,.0193703543475385,.0082806982,2.3392174,.020027403,28598,4600,281,.22119576
nocontrol_ctrlsample,2012_2022,企业创新韧性4,raw,ln1p_idc_new,.019422676506136,.0082311416,2.3596575,.018978175,28376,4458,281,.21965329
