spec,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
city_trend,top10_share,ln1p_idc_stock,-.0088492675010231,.012954077,-.68312603,.49507257,,4647,291,.8580373812334509,.45441911
city_year_fe,roll_top_share,ln1p_idc_stock_l1,-.0243578782746148,.0068351896,-3.5635993,.00042756411,***,4647,291,.6159473647120147,.25762016
province_year_fe,roll_top_share,ln1p_idc_stock_l1,-.0219615706094944,.0081852209,-2.6830761,.0077136769,***,4647,291,.695067076303411,.25762016
provyr_baseyr_fe,roll_top_share,ln1p_idc_stock_l1,-.0119225875622856,.008979762,-1.3277175,.18531558,,4647,291,.7105622992157181,.25762016
city_trend,roll_top_share,ln1p_idc_stock_l1,-.0115452998375715,.011009296,-1.0486865,.29519561,,4647,291,.7032417066560954,.25762016
city_year_fe,roll_top_share,ln1p_idc_stock,-.0227395667651038,.0072255526,-3.1471043,.0018205927,***,4647,291,.6154885528275109,.25762016
province_year_fe,roll_top_share,ln1p_idc_stock,-.017889608283898,.0086182719,-2.0757766,.038795665,**,4647,291,.6944703241701633,.25762016
provyr_baseyr_fe,roll_top_share,ln1p_idc_stock,-.0066683091025144,.0092760799,-.71887147,.47279894,,4647,291,.7102829092046895,.25762016
city_trend,roll_top_share,ln1p_idc_stock,-.0070173356650285,.011985984,-.5854618,.55869251,,4647,291,.7031564569089257,.25762016
city_year_fe,roll_mid_inc_share,ln1p_idc_stock_l1,.0089090154996737,.005431104,1.6403692,.10201258,,4647,291,.6728340407946778,.31004429
province_year_fe,roll_mid_inc_share,ln1p_idc_stock_l1,.0010451113106482,.005484269,.19056529,.8489995,,4647,291,.7453269589653149,.31004429
provyr_baseyr_fe,roll_mid_inc_share,ln1p_idc_stock_l1,.0072018533662679,.0064602024,1.1148031,.26585782,,4647,291,.7555459829767663,.31004429
city_trend,roll_mid_inc_share,ln1p_idc_stock_l1,-.0042737853958553,.0086682634,-.49303824,.62235868,,4647,291,.751474094513032,.31004429
city_year_fe,roll_mid_inc_share,ln1p_idc_stock,.0079022473950581,.0055871424,1.4143629,.15832809,,4647,291,.6727042811318554,.31004429
province_year_fe,roll_mid_inc_share,ln1p_idc_stock,.0003002831972762,.0056298883,.053337328,.95749986,,4647,291,.7453220791971963,.31004429
provyr_baseyr_fe,roll_mid_inc_share,ln1p_idc_stock,.0061735698159795,.0066532637,.92790097,.35423055,,4647,291,.7554936627709864,.31004429
city_trend,roll_mid_inc_share,ln1p_idc_stock,-.0047730881113521,.00883999,-.53994274,.58965093,,4647,291,.7514810182292443,.31004429
city_year_fe,base_top_share,ln1p_idc_stock_l1,.0370099823842999,.0079025887,4.6832733,4.3433424e-06,***,4647,291,.7021124080739918,.19880301
province_year_fe,base_top_share,ln1p_idc_stock_l1,.0254459531863919,.0090203574,2.8209474,.0051186746,***,4647,291,.7904370261529136,.19880301
provyr_baseyr_fe,base_top_share,ln1p_idc_stock_l1,-.0057231523424544,.0087146526,-.65672749,.51187694,,4647,291,.8381489366138725,.19880301
city_trend,base_top_share,ln1p_idc_stock_l1,-.0257859413431268,.011823967,-2.1808197,.030000176,**,4647,291,.8171812414524047,.19880301
city_year_fe,base_top_share,ln1p_idc_stock,.0389931991651661,.0081129288,4.8063035,2.4714141e-06,***,4647,291,.7026129414026063,.19880301
province_year_fe,base_top_share,ln1p_idc_stock,.0261371051405383,.008903564,2.9355779,.0035957263,***,4647,291,.7905254001961307,.19880301
provyr_baseyr_fe,base_top_share,ln1p_idc_stock,-.0034613321897455,.0086433552,-.40046161,.68911141,,4647,291,.8381056146652694,.19880301
city_trend,base_top_share,ln1p_idc_stock,-.0197368532037263,.011202519,-1.7618228,.079152852,*,4647,291,.8169815790421341,.19880301
city_year_fe,base_mid_inc_share,ln1p_idc_stock_l1,-.0187530975196855,.0062671197,-2.9922993,.003006933,***,4647,291,.7751258996740424,.39628655
province_year_fe,base_mid_inc_share,ln1p_idc_stock_l1,-.0190504082515768,.0071824403,-2.6523588,.0084332367,***,4647,291,.8132284913237792,.39628655
provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_stock_l1,.0028838075920809,.0080213184,.3595179,.71946931,,4647,291,.8262073076977142,.39628655
city_trend,base_mid_inc_share,ln1p_idc_stock_l1,-.0057409280473885,.010792573,-.53193325,.5951795,,4647,291,.8356141710981856,.39628655
city_year_fe,base_mid_inc_share,ln1p_idc_stock,-.0187711933770519,.0062814509,-2.9883533,.0030448413,***,4647,291,.7751049714798269,.39628655
province_year_fe,base_mid_inc_share,ln1p_idc_stock,-.0173115307551787,.0072049168,-2.4027386,.016901165,**,4647,291,.8130459758584188,.39628655
provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_stock,.0045547594486994,.0082044033,.55516034,.57921296,,4647,291,.8262349991680105,.39628655
city_trend,base_mid_inc_share,ln1p_idc_stock,-.005725848464439,.011444244,-.50032562,.61722529,,4647,291,.8356146461075211,.39628655
