block,variant,applicant_sample,spec,outcome,coef,se,z,p,sig,N,N_city,mean_y,converged
ppml_ddd,no_h04,all,ppml_hdfe,city_new_patents_field,-.1092088046695818,.051272348,-2.1299748,.033173695,**,9278,291,395.24875,1
ppml_ddd,no_h04,all,ppml_hdfe_policy_x_high,city_new_patents_field,-.0986613374330164,.056457613,-1.7475294,.080545552,*,9278,291,395.24875,1
ppml_ddd,no_h04,all,ppml_hdfe,field_new_applicants_field,-.1366873286800261,.030923538,-4.4201713,9.8622731e-06,***,9278,291,162.23015,1
ppml_ddd,no_h04,all,ppml_hdfe_policy_x_high,field_new_applicants_field,-.0583879166141959,.037091274,-1.5741686,.11544849,,9278,291,162.23015,1
ppml_ddd,no_h04,all,ppml_hdfe,field_new_patents_field,-.1379743317716258,.04771604,-2.8915713,.003833205,***,9278,291,411.42004,1
ppml_ddd,no_h04,all,ppml_hdfe_policy_x_high,field_new_patents_field,-.1100043953423165,.049557764,-2.2197206,.026437733,**,9278,291,411.42004,1
ppml_ddd,no_h04,no_individual,ppml_hdfe,city_new_applicants_field,-.1159250616399616,.035091292,-3.3035278,.00095476495,***,9150,289,99.507744,1
ppml_ddd,no_h04,no_individual,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0506278043699609,.042795524,-1.1830163,.23680267,,9150,289,99.507744,1
ppml_ddd,no_h04,no_individual,ppml_hdfe,city_new_patents_field,-.145674873789752,.062815502,-2.3190913,.020390091,**,9150,289,283.31268,1
ppml_ddd,no_h04,no_individual,ppml_hdfe_policy_x_high,city_new_patents_field,-.153908274338849,.058949556,-2.610847,.0090318266,***,9150,289,283.31268,1
ppml_ddd,no_h04,no_individual,ppml_hdfe,field_new_applicants_field,-.1423388906765854,.031864863,-4.4669542,7.9341116e-06,***,9210,291,106.36959,1
ppml_ddd,no_h04,no_individual,ppml_hdfe_policy_x_high,field_new_applicants_field,-.0828295843189127,.039850459,-2.0785103,.037662387,**,9210,291,106.36959,1
ppml_ddd,no_h04,no_individual,ppml_hdfe,field_new_patents_field,-.1675957844672808,.05710879,-2.9346759,.003338963,***,9210,291,298.05347,1
ppml_ddd,no_h04,no_individual,ppml_hdfe_policy_x_high,field_new_patents_field,-.1580126311928625,.053015176,-2.9805171,.0028776224,***,9210,291,298.05347,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe,city_new_applicants_field,-.1129786992498138,.035189547,-3.2105758,.0013246937,***,9210,290,92.893913,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0408557621203534,.041682627,-.98016286,.32700574,,9210,290,92.893913,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe,city_new_patents_field,-.1163666858977438,.060641408,-1.9189311,.054993048,*,9210,290,333.70657,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.1164510626065836,.063742422,-1.8269005,.067714736,*,9210,290,333.70657,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe,field_new_applicants_field,-.1648672493033924,.03188898,-5.1700382,2.3404641e-07,***,9240,291,100.68797,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.092497143134203,.03545507,-2.608855,.0090845712,***,9240,291,100.68797,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe,field_new_patents_field,-.152903099757733,.055237044,-2.768126,.0056379656,***,9240,291,349.87787,1
ppml_ddd,no_h04,no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.1307235150861804,.05409991,-2.4163351,.015677623,**,9240,291,349.87787,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe,city_new_applicants_field,-.1190100175001669,.036976654,-3.2185178,.0012885493,***,9006,287,68.829567,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0610533339951622,.044468153,-1.3729676,.1697624,,9006,287,68.829567,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe,city_new_patents_field,-.1417102191200628,.069411866,-2.041585,.041192725,**,9006,287,252.63449,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.1616156700716818,.065131269,-2.4813836,.013087345,**,9006,287,252.63449,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe,field_new_applicants_field,-.1687736901934943,.033467066,-5.0429783,4.5834108e-07,***,9124,291,75.691414,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1110605509331647,.038257431,-2.9029799,.0036963045,***,9124,291,75.691414,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe,field_new_patents_field,-.1746501544349017,.062209286,-2.8074613,.0049933693,***,9124,291,267.37531,1
ppml_ddd,no_h04,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.1710882345288418,.057493407,-2.9757888,.0029223601,***,9124,291,267.37531,1
