table,sample,spec,outcome,xvar,coef,se,t,p,N,N_city,mean_y,controls
main_1985_warmup,all,policy_horserace,top10_share,ln1p_idc_scope_stock_l1,0.004806302569935901,0.012673088705624712,0.3792526574680025,0.7045002520403325,4647,291,0.45444435386996457,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
main_1985_warmup,all,policy_baseyr_fe,top10_share,ln1p_idc_scope_stock_l1,-0.0072939437792256265,0.012265647143834777,-0.5946644065080468,0.5520678185659451,4647,291,0.45444435386996457,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
entry_type_1985_warmup,all,province_year_fe,individual_new_share_total,ln1p_idc_scope_stock_l1,0.040649151302287516,0.009047845426841703,4.49268852247366,7.032961204752739e-06,4647,291,0.18944749451579243,
entry_type_1985_warmup,all,provyr_baseyr_fe,individual_new_share_total,ln1p_idc_scope_stock_l1,0.0264105757067766,0.01167237509336332,2.2626565283866804,0.023656870556236085,4647,291,0.18944749451579243,
entry_type_1985_warmup,all,province_year_fe,ln_individual_new_n,ln1p_idc_scope_stock_l1,0.0020931977916185257,0.058807643292527266,0.03559397510977132,0.9716061124452308,4647,291,3.8067899089735677,
entry_type_1985_warmup,all,provyr_baseyr_fe,ln_individual_new_n,ln1p_idc_scope_stock_l1,0.1309317671210149,0.06325686103428868,2.069842938460742,0.03846705491649559,4647,291,3.8067899089735677,
entry_type_1985_warmup,all,province_year_fe,org_new_share_total,ln1p_idc_scope_stock_l1,0.0007389573714949812,0.006772883310850613,0.10910528612107076,0.9131189822040043,4647,291,0.24046163479816354,
entry_type_1985_warmup,all,provyr_baseyr_fe,org_new_share_total,ln1p_idc_scope_stock_l1,-0.0042526032436588646,0.008013703386651033,-0.5306664145746538,0.5956499635679797,4647,291,0.24046163479816354,
entry_type_1985_warmup,all,province_year_fe,ln_org_new_n,ln1p_idc_scope_stock_l1,-0.0006974655249760292,0.03151589410158364,-0.02213059615976379,0.9823437802425597,4647,291,3.9313352096840464,
entry_type_1985_warmup,all,provyr_baseyr_fe,ln_org_new_n,ln1p_idc_scope_stock_l1,0.048522697260906765,0.038317923255004833,1.2663185564099968,0.2053990560183215,4647,291,3.9313352096840464,
entry_type_1985_warmup,all,province_year_fe,firm_new_share_total,ln1p_idc_scope_stock_l1,-0.0013931935377681853,0.007175401338538792,-0.1941624547585093,0.8460486801493414,4647,291,0.22001119400960711,
entry_type_1985_warmup,all,provyr_baseyr_fe,firm_new_share_total,ln1p_idc_scope_stock_l1,-0.007036769626560979,0.008727305142350261,-0.8062935249524207,0.4200736231174691,4647,291,0.22001119400960711,
entry_type_1985_warmup,all,province_year_fe,ln_firm_new_n,ln1p_idc_scope_stock_l1,0.012826379031843124,0.03295469297529696,0.3892125179699855,0.6971189441100685,4647,291,3.838551247990669,
entry_type_1985_warmup,all,provyr_baseyr_fe,ln_firm_new_n,ln1p_idc_scope_stock_l1,0.049452098692516155,0.0405362726180161,1.2199468648367404,0.2224850183618516,4647,291,3.838551247990669,
entry_type_1985_warmup,all,province_year_fe,knowledge_new_share_total,ln1p_idc_scope_stock_l1,-5.915487980076312e-05,0.0013613915772389695,-0.043451774485585404,0.96534140657311,4647,291,0.00925561533661663,
entry_type_1985_warmup,all,provyr_baseyr_fe,knowledge_new_share_total,ln1p_idc_scope_stock_l1,0.0016777440135279551,0.001870764785508246,0.8968225329685948,0.36981362219470604,4647,291,0.00925561533661663,
entry_type_1985_warmup,all,province_year_fe,ln_knowledge_new_n,ln1p_idc_scope_stock_l1,0.0412174630201307,0.03221808623907635,1.2793268574139973,0.2007819786988337,4647,291,0.9846834048291473,
entry_type_1985_warmup,all,provyr_baseyr_fe,ln_knowledge_new_n,ln1p_idc_scope_stock_l1,0.03386287401482318,0.037632678669568514,0.8998263002257724,0.3682126958144948,4647,291,0.9846834048291473,
firm_only_1985_warmup,all,province_year_fe,firm_new_share_total,ln1p_idc_scope_stock_l1,-0.0013637951362490087,0.00717153088341864,-0.19016792347673653,0.8491775457884005,4647,291,0.2199059023440298,
firm_only_1985_warmup,all,provyr_baseyr_fe,firm_new_share_total,ln1p_idc_scope_stock_l1,-0.007022255017603353,0.008722472966223537,-0.8050761572774118,0.42077573358816833,4647,291,0.2199059023440298,
firm_only_1985_warmup,all,province_year_fe,ln1p_new_firm_applicants,ln1p_idc_scope_stock_l1,0.012981082724535471,0.032954018994881866,0.39391501007969865,0.6936437880725783,4647,291,3.8378607275808276,
firm_only_1985_warmup,all,provyr_baseyr_fe,ln1p_new_firm_applicants,ln1p_idc_scope_stock_l1,0.049514828303784,0.04052602688773393,1.2218031745611542,0.22178206778388662,4647,291,3.8378607275808276,
firm_only_1985_warmup,all,province_year_fe,ln1p_new_firm_patents,ln1p_idc_scope_stock_l1,-0.035484775618246575,0.043661837100068795,-0.812718336539959,0.4163795656671326,4647,291,4.591086135403595,
firm_only_1985_warmup,all,provyr_baseyr_fe,ln1p_new_firm_patents,ln1p_idc_scope_stock_l1,0.05955372027405619,0.05142597497096014,1.158047471296086,0.24684466449802064,4647,291,4.591086135403595,
firm_only_1985_warmup,all,province_year_fe,ln1p_firm_incumbent_patents,ln1p_idc_scope_stock_l1,-0.16876254622930298,0.059085298080945745,-2.856252768634618,0.004286737103889569,4647,291,4.97502821374339,
firm_only_1985_warmup,all,provyr_baseyr_fe,ln1p_firm_incumbent_patents,ln1p_idc_scope_stock_l1,0.06853714700193486,0.06203141273589778,1.1048780606325317,0.2692124301312141,4647,291,4.97502821374339,
org_only_1985_warmup,all,province_year_fe,org_new_share,ln1p_idc_scope_stock_l1,0.06821933866127734,0.011071157224601896,6.161897738177087,7.187826632798046e-10,4647,291,0.36551292451832296,
org_only_1985_warmup,all,provyr_baseyr_fe,org_new_share,ln1p_idc_scope_stock_l1,0.0138108918968257,0.010551485255793547,1.308905008348706,0.19056652990412856,4647,291,0.36551292451832296,
org_only_1985_warmup,all,province_year_fe,ln1p_org_new_applicants,ln1p_idc_scope_stock_l1,-0.0006974655249760292,0.03151589410158364,-0.02213059615976379,0.9823437802425597,4647,291,3.9313352096840464,
org_only_1985_warmup,all,provyr_baseyr_fe,ln1p_org_new_applicants,ln1p_idc_scope_stock_l1,0.048522697260906765,0.038317923255004833,1.2663185564099968,0.2053990560183215,4647,291,3.9313352096840464,
org_only_1985_warmup,all,province_year_fe,org_hhi,ln1p_idc_scope_stock_l1,0.033176733606291656,0.008984551748716584,3.692642052067968,0.0002219362992616522,4647,291,0.10153452968180164,
org_only_1985_warmup,all,provyr_baseyr_fe,org_hhi,ln1p_idc_scope_stock_l1,0.010330264698156382,0.010617268285723165,0.9729682268693624,0.33056909373723936,4647,291,0.10153452968180164,
org_only_1985_warmup,all,province_year_fe,org_top10_share,ln1p_idc_scope_stock_l1,0.046284991768760886,0.012564144959507579,3.6838950774549892,0.0002296968203549348,4647,291,0.5700936971892645,
