license_no,license_year,company,city,source,idc_scope_raw,registered_address
鲁B1-20150069,2015,山东欧赛网络科技有限公司,淄博,scope_city,淄博市,山东省淄博市博山区城西街道颜山电子商务创业园A座七层
B1-20161651,2016,武汉宽路信息科技有限公司,兰州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
B1-20161651,2016,武汉宽路信息科技有限公司,鄂州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,上海,scope_city,上海市;福州市,中国(上海)自由贸易试验区杨高南路729号第41层
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,福州,scope_city,上海市;福州市,中国(上海)自由贸易试验区杨高南路729号第41层
粤B1.B2-20051038,2005,深圳市新生代投资发展有限公司,湛江,scope_city,湛江市,深圳市南山区南头街道大汪山社区桃园路8号田厦国际中心A座701
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,上海,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,中卫,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,深圳,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,西安,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,贵阳,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,银川,scope_city,银川市;深圳市;上海市;西安市;中卫市;贵阳市,深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷1栋A座1403
B1-20150773,2015,深圳市通网技术股份有限公司,深圳,scope_city,赣州市;深圳市,深圳市宝安区西乡街道宝源路深圳市名优工业产品展示采购中心B座七楼B711号(办公场所)
B1-20150773,2015,深圳市通网技术股份有限公司,赣州,scope_city,赣州市;深圳市,深圳市宝安区西乡街道宝源路深圳市名优工业产品展示采购中心B座七楼B711号(办公场所)
鲁B2-20120077,2012,济南海腾信息技术有限公司,泰安,scope_city,泰安市,山东省济南市高新区新泺大街1299号鑫盛大厦2号楼502
粤B2-20064001,2006,广东鸿波通信投资控股有限公司,深圳,scope_city,深圳市,深圳市福田区商报路奥林匹克大厦16楼
冀B1-20150190,2015,石家庄禾仁信息科技有限公司,石家庄,scope_city,石家庄市,石家庄市长安区建设北大街223号中浩商务楼19G号
冀B1-20170040,2017,石家庄方能通信技术有限公司,廊坊,scope_city,廊坊市;石家庄市,石家庄市新石中路377号物联网大厦北楼314室
冀B1-20170040,2017,石家庄方能通信技术有限公司,石家庄,scope_city,廊坊市;石家庄市,石家庄市新石中路377号物联网大厦北楼314室
B1-20172469,2017,北京盈骏科技有限公司,南昌,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,合肥,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,呼和浩特,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,太原,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,成都,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,杭州,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,武汉,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
