year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2013,七台河,王双,1,inv_app_appyear,likely_individual,15
2013,七台河,王新生,1,inv_app_appyear,likely_individual,16
2013,七台河,葛运清,1,inv_app_appyear,likely_individual,17
2013,七台河,赵瑞华,1,inv_app_appyear,likely_individual,18
2013,七台河,郝常富,1,inv_app_appyear,likely_individual,19
2013,七台河,马国辉,1,inv_app_appyear,likely_individual,20
2014,七台河,王安,7,inv_app_appyear,likely_individual,1
2014,七台河,杨荣,3,inv_app_appyear,likely_individual,2
2014,七台河,七台河宝泰隆煤化工股份有限公司,2,inv_app_appyear,firm,3
2014,七台河,黑龙江省勃农兴达机械有限公司,2,inv_app_appyear,firm,4
2014,七台河,刘孝君,1,inv_app_appyear,likely_individual,5
2014,七台河,刘少祥,1,inv_app_appyear,likely_individual,6
2014,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,7
2014,七台河,张万坤,1,inv_app_appyear,likely_individual,8
2014,七台河,王震,1,inv_app_appyear,likely_individual,9
2014,七台河,胡志佳,1,inv_app_appyear,likely_individual,10
2014,七台河,郭政操,1,inv_app_appyear,likely_individual,11
2014,七台河,魏熙臣,1,inv_app_appyear,likely_individual,12
2014,七台河,黑龙江恒益电气股份有限公司,1,inv_app_appyear,firm,13
2015,七台河,七台河宝泰隆煤化工股份有限公司,40,inv_app_appyear,firm,1
2015,七台河,张铁刚,6,inv_app_appyear,likely_individual,2
2015,七台河,张金荣,4,inv_app_appyear,likely_individual,3
2015,七台河,王安,3,inv_app_appyear,likely_individual,4
2015,七台河,李铁超,2,inv_app_appyear,likely_individual,5
2015,七台河,赵明珍,2,inv_app_appyear,likely_individual,6
2015,七台河,魏熙臣,2,inv_app_appyear,likely_individual,7
2015,七台河,黑龙江中瑯生物科技有限公司,2,inv_app_appyear,firm,8
2015,七台河,黑龙江恒益电气股份有限公司,2,inv_app_appyear,firm,9
2015,七台河,黑龙江泰安防火防爆设备有限公司,2,inv_app_appyear,firm,10
2015,七台河,七台河宝泰隆圣迈煤化工有限责任公司,1,inv_app_appyear,firm,11
2015,七台河,七台河市大航电子科技有限责任公司,1,inv_app_appyear,firm,12
2015,七台河,七台河广民环保科技有限公司,1,inv_app_appyear,firm,13
2015,七台河,刘伟生,1,inv_app_appyear,likely_individual,14
2015,七台河,勃利县利民锅炉厂,1,inv_app_appyear,firm,15
2015,七台河,勃利县民兴高蛋白大豆专业合作社,1,inv_app_appyear,other_org_or_unclear,16
2015,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,17
2015,七台河,孙玉梅,1,inv_app_appyear,likely_individual,18
2015,七台河,康明亮,1,inv_app_appyear,likely_individual,19
2015,七台河,张国林,1,inv_app_appyear,likely_individual,20
2016,七台河,张铁刚,6,inv_app_appyear,likely_individual,1
2016,七台河,戴振伟,6,inv_app_appyear,likely_individual,2
2016,七台河,刘国友,3,inv_app_appyear,likely_individual,3
