city,applicant,applicant_type_rough,patents,rank_baseline
安阳,汤阴县超贝工程设备有限公司,firm,5,20
安顺,贵州安大航空锻造有限责任公司,firm,28,1
安顺,贵州百灵企业集团制药股份有限公司,firm,18,2
安顺,贵州红星发展股份有限公司,firm,18,3
安顺,贵州新安航空机械有限责任公司,firm,11,4
安顺,贵州云马飞机制造厂,firm,8,5
安顺,贵州安吉航空精密铸造有限责任公司,firm,8,6
安顺,中航贵州飞机有限责任公司,firm,6,7
安顺,贵州双阳飞机制造厂,firm,6,8
安顺,贵州盖克无人机有限责任公司,firm,6,9
安顺,贵州贵航无人机有限责任公司,firm,5,10
安顺,贵州黎阳航空发动机公司,firm,4,11
安顺,王甲南,likely_individual,3,12
安顺,肖富洲,likely_individual,3,13
安顺,贵州平坝宏大铝化工有限公司,firm,3,14
安顺,贵州柳江畜禽有限公司,firm,3,15
安顺,贵州红湖机械厂,firm,3,16
安顺,贵州航空发动机研究所,research_institute,3,17
安顺,贵州黎阳航空动力有限公司,firm,3,18
安顺,安顺开发区福远蜡染艺术有限公司,firm,2,19
安顺,尹博功,likely_individual,2,20
定安县,定安翰林绿果槟榔专业合作社,other_org_or_unclear,2,1
定安县,海南椰国热带水果食品加工有限公司,firm,1,2
定西,常华,likely_individual,8,1
定西,苟宪福,likely_individual,5,2
定西,景履元,likely_individual,4,3
定西,陇西中天药业有限责任公司,firm,4,4
定西,张银川,likely_individual,3,5
定西,杜林东,likely_individual,3,6
定西,甘肃甘强医药发展有限责任公司,firm,3,7
定西,苟永平,likely_individual,3,8
定西,董义斌,likely_individual,3,9
定西,侯兆乾,likely_individual,2,10
定西,定西市旱农科研推广中心实验农场,other_org_or_unclear,2,11
定西,甘肃圣大方舟马铃薯变性淀粉有限公司,firm,2,12
定西,甘肃大鑫铜业有限责任公司,firm,2,13
定西,甘肃岷归中药材科技有限公司,firm,2,14
定西,甘肃效灵生物开发有限责任公司,firm,2,15
