applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
刘方旭,individual,刘方旭,99,4,1,27
林群祥,individual,林群祥,98,1,1,98
魏忠,individual,魏忠,98,1,1,98
王建生,individual,王建生,98,6,2,61
唐翔,individual,唐翔,98,3,1,49
刘影,individual,刘影,98,3,1,34
赵静,individual,赵静,98,4,2,34
程长青,individual,程长青,97,6,1,53
李新民,individual,李新民,97,5,2,39
中科院嘉兴中心微系统所分中心,other,中科院嘉兴中心微系统所分中心,96,1,1,96
敖云霞,individual,敖云霞,96,2,1,52
李德伟,individual,李德伟,96,7,1,37
刘建平,individual,刘建平,96,15,3,31
冯政,individual,冯政,96,7,1,29
余虹仪,individual,余虹仪,96,5,4,28
刘泽法,individual,刘泽法,95,1,1,95
柳州市柳南区明达鸽业养殖协会,other,柳州市柳南区明达鸽业养殖协会,95,1,1,95
左招霞,individual,左招霞,95,2,1,60
谷昌德,individual,谷昌德,95,3,1,47
娄志,individual,娄志,94,2,1,53
王子忠,individual,王子忠,93,1,1,93
于法周,individual,于法周,93,3,1,52
陈际军,individual,陈际军,93,3,1,51
周忠新,individual,周忠新,93,4,1,49
张素平,individual,张素平,93,3,1,39
赵文志,individual,赵文志,93,5,1,35
魏世年,individual,魏世年,93,5,1,29
管存忠,individual,管存忠,93,5,1,25
钟贵洪,individual,钟贵洪,92,1,1,92
姚旺东,individual,姚旺东,92,2,1,59
蓝灿玉,individual,蓝灿玉,92,2,1,59
张莘蔓,individual,张莘蔓,92,2,1,52
佘峰,individual,佘峰,92,4,1,40
宋彦震,individual,宋彦震,92,4,2,40
张雪燕,individual,张雪燕,92,3,1,39
郁卫卫,individual,郁卫卫,91,1,1,91
张红旗,individual,张红旗,91,3,2,51
