applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
宜昌测试技术研究所,research,宜昌测试技术研究所,375,3,1,149
江苏省家禽科学研究所,research,江苏省家禽科学研究所,374,7,1,141
山东航天电子技术研究所,research,山东航天电子技术研究所,372,8,1,70
广西壮族自治区梧州食品药品检验所,other,广西壮族自治区梧州食品药品检验所,371,3,1,159
河南省肿瘤医院,hospital,河南省肿瘤医院,370,2,1,204
余启佳,individual,余启佳,369,2,1,186
青岛食之礼中草药研究所,research,青岛食之礼中草药研究所,361,1,1,361
河北医科大学第二医院,hospital,河北医科大学第二医院,361,3,1,145
泉州装备制造研究所,research,泉州装备制造研究所,361,8,1,84
中国人民解放军第三军医大学第一附属医院,hospital,中国人民解放军第三军医大学第一附属医院,358,6,1,82
中国人民解放军陆军军医大学第二附属医院,hospital,中国人民解放军陆军军医大学第二附属医院,349,1,1,349
九江精密测试技术研究所,research,九江精密测试技术研究所,340,14,1,64
南通蛇类治疗研究所,research,南通蛇类治疗研究所,337,5,1,91
水利部交通运输部国家能源局南京水利科学研究院,research,水利部交通运输部国家能源局南京水利科学研究院,336,1,1,336
华东光电集成器件研究所,research,华东光电集成器件研究所,336,9,1,88
廖树汉,individual,廖树汉,331,5,1,177
广西壮族自治区药用植物园,other,广西壮族自治区药用植物园,330,9,1,116
蚌埠玻璃工业设计研究院,research,蚌埠玻璃工业设计研究院,329,7,1,74
国网电力科学研究院,research,国网电力科学研究院,326,3,1,148
许庆华,individual,许庆华,326,7,1,116
华电电力科学研究院,research,华电电力科学研究院,322,2,1,186
东莞产权交易中心,other,东莞产权交易中心,319,2,1,246
李榕生,individual,李榕生,319,4,2,130
浙江省海洋开发研究院,research,浙江省海洋开发研究院,319,12,1,66
庄景阳,individual,庄景阳,318,7,1,115
肇庆市华师大光电产业研究院,research,肇庆市华师大光电产业研究院,317,5,1,97
陈勇,individual,陈勇,315,5,5,256
李良杰,individual,李良杰,311,4,1,100
中国空气动力研究与发展中心空天技术研究所,research,中国空气动力研究与发展中心空天技术研究所,309,3,1,112
李宏江,individual,李宏江,306,10,1,60
广西壮族自治区亚热带作物研究所(广西亚热带农产品加工研究所),research,广西壮族自治区亚热带作物研究所(广西亚热带农产品加工研究所),300,4,1,84
国家海洋局第三海洋研究所,research,国家海洋局第三海洋研究所,299,8,1,58
郭远军,individual,郭远军,297,4,2,207
