policy_name,batch_year,raw_region_name,mapping_level,coding,matched_city_count,matched_cities,rows_marked,source_name,source_url,note
broadband_china_pilot,2014,上饶市,city,city,1,上饶,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,青岛市,city,city,1,青岛,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,淄博市,city,city,1,淄博,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,威海市,city,city,1,威海,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,临沂市,city,city,1,临沂,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,郑州市,city,city,1,郑州,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,洛阳市,city,city,1,洛阳,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,武汉市,city,city,1,武汉,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,广州市,city,city,1,广州,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,深圳市,city,city,1,深圳,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,中山市,city,city,1,中山,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,成都市,city,city,1,成都,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,攀枝花市,city,city,1,攀枝花,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,阿坝藏族羌族自治州,city,city,1,阿坝藏族羌族自治州,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,贵阳市,city,city,1,贵阳,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,银川市,city,city,1,银川,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,吴忠市,city,city,1,吴忠,10,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2014,阿拉尔市,city,unmatched,0,,0,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,
broadband_china_pilot,2015,太原市,city,city,1,太原,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,呼和浩特市,city,city,1,呼和浩特,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,鄂尔多斯市,city,city,1,鄂尔多斯,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,鞍山市,city,city,1,鞍山,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,盘锦市,city,city,1,盘锦,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,白山市,city,city,1,白山,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
