policy_name,batch_year,raw_region_name,parent_city_for_t10,province_hint,mapping_level,source_name,source_url,confidence,note
broadband_china_pilot,2014,青岛市,青岛,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,淄博市,淄博,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,威海市,威海,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,临沂市,临沂,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,郑州市,郑州,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,洛阳市,洛阳,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,武汉市,武汉,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,广州市,广州,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,深圳市,深圳,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,中山市,中山,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,成都市,成都,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,攀枝花市,攀枝花,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,阿坝藏族羌族自治州,阿坝藏族羌族自治州,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,贵阳市,贵阳,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,银川市,银川,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,吴忠市,吴忠,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2014,阿拉尔市,阿拉尔,,city,MIIT/NDRC 2014 Broadband China demonstration cities,https://www.miit.gov.cn/ztzl/lszt/qltjkdzg/kdsfcscsq/gzdt/art/2014/art_b2f2d4385e1b43759576532409621f42.html,high,
broadband_china_pilot,2015,太原市,太原,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,呼和浩特市,呼和浩特,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,鄂尔多斯市,鄂尔多斯,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,鞍山市,鞍山,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,盘锦市,盘锦,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,白山市,白山,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,扬州市,扬州,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,嘉兴市,嘉兴,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,合肥市,合肥,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,铜陵市,铜陵,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,莆田市,莆田,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,新余市,新余,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,赣州市,赣州,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,东营市,东营,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,济宁市,济宁,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
broadband_china_pilot,2015,德州市,德州,,city,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,high,
