license_no,license_year,company,city,province,idc_scope,location_source
A2.B1-20080095,2008,北京中电飞华通信有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20182852,2018,广州数源畅联科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1-20170627,2017,丰泰云计算有限公司,上海市,上海市,深圳市;上海市,scope_city_or_fallback
B1-20170627,2017,丰泰云计算有限公司,深圳市,广东省,深圳市;上海市,scope_city_or_fallback
B1-20201449,2020,上海派维网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20241728,2024,深圳市艾格信息技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20160675,2016,山东骏网电信服务有限公司,青岛市,山东省,nan,scope_city_or_fallback
A2.B1-20203146,2020,上海易帆数据科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20170620,2017,北京来秀科技发展有限公司,北京市,北京市,衡水市;北京市,scope_city_or_fallback
B1-20170620,2017,北京来秀科技发展有限公司,衡水市,河北省,衡水市;北京市,scope_city_or_fallback
B1-20221812,2022,厦门琪珑网络科技有限公司,厦门市,福建省,nan,scope_city_or_fallback
A2.B1.B2-20140034,2014,交通运输通信信息集团有限公司,上海市,上海市,上海市;北京市,scope_city_or_fallback
A2.B1.B2-20140034,2014,交通运输通信信息集团有限公司,北京市,北京市,上海市;北京市,scope_city_or_fallback
A2.B1-20203384,2020,上海珅鑫信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20170005,2017,北京容大永业科技有限公司,北京市,北京市,北京市;武汉市,scope_city_or_fallback
B1-20170005,2017,北京容大永业科技有限公司,武汉市,湖北省,北京市;武汉市,scope_city_or_fallback
B1-20214515,2021,北京易通祥云科技发展有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20110295,2011,光明网传媒有限公司,北京市,北京市,北京市;鹰潭市,scope_city_or_fallback
B1.B2-20110295,2011,光明网传媒有限公司,鹰潭市,江西省,北京市;鹰潭市,scope_city_or_fallback
B1-20213459,2021,深圳市闳深科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20240772,2024,深圳市智安网络有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20160442,2016,北京三快云计算有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20231134,2023,深圳航旋科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20190889,2019,深圳市海晟信息技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20232294,2023,众云通信技术（深圳）有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20200966,2020,北京动态力量科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20203519,2020,上海秋念科技有限公司,上海市,上海市,nan,scope_city_or_fallback
京A2.B1.B2-20130025,2013,北京歌华有线电视网络股份有限公司,北京市,北京市,北京市,scope_city_or_fallback
B1-20170002,2017,上海岩憬信息科技有限公司,上海市,上海市,上海市;北京市,scope_city_or_fallback
B1-20170002,2017,上海岩憬信息科技有限公司,北京市,北京市,上海市;北京市,scope_city_or_fallback
B1-20173146,2017,广东志享信息科技有限公司,上海市,上海市,上海市;东莞市,scope_city_or_fallback
B1-20200235,2020,深圳市敏捷信息技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20242388,2024,盘古云（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20200507,2020,上海闪至通信科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1.B2-20201530,2020,上海原备网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
浙B1.B2-20150343,2015,杭州智御网络科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1.B2-20202587,2020,上海埃晓特曼智能科技发展有限公司,上海市,上海市,nan,scope_city_or_fallback
冀B1-20200397,2020,河北诚宽科技有限公司,廊坊市,河北省,nan,scope_city_or_fallback
B1-20170621,2017,北京纽网科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20214113,2021,中广（温州）有线信息网络有限公司,温州市,浙江省,nan,scope_city_or_fallback
B1-20241361,2024,北京新航城智慧生态技术研究院有限责任公司,北京市,北京市,nan,scope_city_or_fallback
A2-20195380,2019,富盛科技股份有限公司,北京市,北京市,nan,scope_city_or_fallback
豫B1-20170148,2017,河南丰合科技有限公司,郑州市,河南省,nan,scope_city_or_fallback
B1-20190877,2019,北京易信锐驰科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20203664,2020,万博智云软件科技（上海）有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20213234,2021,世联天下信息技术有限公司,北京市,北京市,nan,scope_city_or_fallback
沪B2-20140022,2014,上海源商数据通信有限公司,上海市,上海市,nan,scope_city_or_fallback
B1.B2-20201850,2020,深圳市诺域科技发展有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20210571,2021,上海淳纯网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20170404,2017,北京天添友网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20182755,2018,深圳市雷森投资有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20211857,2021,北京云网互科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20183089,2018,广东众合联云科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1.B2-20213655,2021,安徽连舟信息技术有限公司,合肥市,安徽省,nan,scope_city_or_fallback
B1.B2-20201371,2020,北京畅智云创信息科技有限公司,北京市,北京市,nan,scope_city_or_fallback
苏B1-20160245,2016,南京国图信息产业有限公司,南京市,江苏省,nan,scope_city_or_fallback
A2.B1.B2-20190917,2019,无锡联云世纪科技股份有限公司,无锡市,江苏省,nan,scope_city_or_fallback
陕B1.B2-20090101,2009,西安航天基地数据发展有限公司,西安市,陕西省,nan,scope_city_or_fallback
A2.B1-20192382,2019,敏捷云（北京）数据科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20172236,2017,北京钰峰科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20241372,2024,襄阳云谷投资管理有限公司,襄阳市,湖北省,nan,scope_city_or_fallback
B1-20180040,2018,北京中瑞云祥信息科技发展有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20183871,2018,北京纬度纵横科技有限公司,北京市,北京市,nan,scope_city_or_fallback
蒙B1.B2-20040025,2004,包头市万佳信息工程有限公司,包头市,内蒙古自治区,包头市,scope_city_or_fallback
B1-20201374,2020,深圳市星际无限朵云科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20232801,2023,深圳市新沃易充科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
合字B1.B2-20220041,2022,深信服科技股份有限公司,深圳市,广东省,nan,scope_city_or_fallback
浙B1-20181027,2018,杭州搜宝科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
辽B-1-4-20110003,2011,,盘锦市,辽宁省,辽宁省,scope_city_or_fallback
B1-20212833,2021,深圳市盘古数据有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20170645,2017,湖北南方亨通科技有限公司,武汉市,湖北省,nan,scope_city_or_fallback
B1-20241058,2024,安徽云宝商务信息咨询有限公司,芜湖市,安徽省,nan,scope_city_or_fallback
B1-20180006,2018,浙江挚云信息科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1-20241369,2024,福建华众意科技有限公司,福州市,福建省,nan,scope_city_or_fallback
B1.B2-20220736,2022,高天博宇（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20225027,2022,江西云剑数据科技有限公司,南昌市,江西省,nan,scope_city_or_fallback
B1-20233495,2023,东莞市宏易网络科技有限公司,东莞市,广东省,nan,scope_city_or_fallback
B1.B2-20195699,2019,山东多宝华大数据科技有限公司,济宁市,山东省,nan,scope_city_or_fallback
B1.B2-20233632,2023,深圳市环通世纪信息技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20195977,2019,灵科云（北京）数据科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20172618,2017,上海文广科技（集团）有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20210334,2021,陕西拓达信息技术有限公司,宝鸡市,陕西省,nan,scope_city_or_fallback
B1.B2-20140078,2014,茂名市群英网络有限公司,南宁市,广西壮族自治区,茂名市;南宁市,scope_city_or_fallback
B1.B2-20140078,2014,茂名市群英网络有限公司,茂名市,广东省,茂名市;南宁市,scope_city_or_fallback
B1.B2-20222087,2022,安康权数信息科技有限公司,安康市,陕西省,nan,scope_city_or_fallback
A2.B1-20202461,2020,上海昱珹网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1.B2-20181368,2018,上海品茹信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20234014,2023,深圳市智运互联大数据有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20183068,2018,上海驰联网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20180462,2018,深圳市互联时空科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20190002,2019,广州市快稳网络科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1.B2-20192978,2019,亚信（西安）通讯技术有限公司,西安市,陕西省,nan,scope_city_or_fallback
粤B1-20150523,2015,广州昊联信息技术有限公司,广州市,广东省,nan,scope_city_or_fallback
B1-20221690,2022,厦门影屏信息科技有限公司,厦门市,福建省,nan,scope_city_or_fallback
B1.B2-20221427,2022,上海睿纲科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20231198,2023,重庆云蕊科技有限公司,重庆市,重庆市,nan,scope_city_or_fallback
A2.B1-20236263,2023,钛信（上海）信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1.B2-20233511,2023,内蒙古玄道玄文化传媒有限公司,包头市,内蒙古自治区,nan,scope_city_or_fallback
B1-20203836,2020,上海宽娱数码科技有限公司,上海市,上海市,nan,scope_city_or_fallback
冀B1.B2-20060069,2006,华北石油通信有限公司,沧州市,河北省,nan,scope_city_or_fallback
B1.B2-20150403,2015,北京久其软件股份有限公司,北京市,北京市,nan,scope_city_or_fallback
川B1-20200282,2020,金川科迪科技有限公司,阿坝藏族羌族自治州,四川省,nan,scope_city_or_fallback
B1.B2-20183751,2018,广州天地华语网络科技有限公司,广州市,广东省,nan,scope_city_or_fallback
辽B1-20180281,2018,海城市凯诺网络科技有限公司,鞍山市,辽宁省,nan,scope_city_or_fallback
B1.B2-20160018,2016,广东网诚网络技术有限公司,东莞市,广东省,襄樊市;东莞市,scope_city_or_fallback
B1-20181941,2018,大连致远信息科技有限公司,大连市,辽宁省,nan,scope_city_or_fallback
A2.B1.B2-20240215,2024,上海鉴创科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B2-20100132,2010,北京德利迅达科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20240624,2024,陕西众合远大交通科技有限公司,西安市,陕西省,nan,scope_city_or_fallback
浙B1.B2-20080083,2008,温州稳网信息技术有限公司,温州市,浙江省,nan,scope_city_or_fallback
川B1.B2-20150185,2015,四川云滔信息技术有限公司,成都市,四川省,成都市,scope_city_or_fallback
B1-20203974,2020,北京弘睿德丰科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20214065,2021,深圳全网数通信息科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20201769,2020,上海东方网共享智能科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1.B2-20211921,2021,保定霖云汇大数据科技有限公司,保定市,河北省,nan,scope_city_or_fallback
B1.B2-20161752,2016,山东银澎云计算有限公司,潍坊市,山东省,nan,scope_city_or_fallback
辽B1.B2-20160001,2016,沈阳市城域网络工程有限公司,沈阳市,辽宁省,nan,scope_city_or_fallback
A2.B1.B2-20130096,2013,上海二六三通信有限公司,上海市,上海市,nan,scope_city_or_fallback
B1.B2-20220605,2022,上海芷韬科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20213035,2021,杭州玛莎科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1.B2-20140021,2014,北京二六三企业通信有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20224124,2022,湃舟云（重庆）网络科技有限公司,重庆市,重庆市,nan,scope_city_or_fallback
B1-20225405,2022,山东蛮荒数娱网络科技有限公司,济宁市,山东省,nan,scope_city_or_fallback
B1.B2-20160801,2016,北京圣菲科技有限公司,北京市,北京市,nan,scope_city_or_fallback
蒙B1-20130010,2013,内蒙古聚友网络信息服务有限公司,呼和浩特市,内蒙古自治区,nan,scope_city_or_fallback
A2.B1-20241749,2024,天津众和通电子有限公司,天津市,天津市,nan,scope_city_or_fallback
A2.B1-20232374,2023,上海青黎网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20203663,2020,深圳海玉无限网络科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
京B1-20150078,2015,北京中瑞云祥信息科技发展有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20220914,2022,广州睿方数据有限公司,广州市,广东省,nan,scope_city_or_fallback
豫B1-20221159,2022,河南飞鸟电子科技有限公司,平顶山市,河南省,nan,scope_city_or_fallback
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,中卫市,宁夏回族自治区,银川市;固原市;石嘴山市;吴忠市;中卫市,scope_city_or_fallback
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,吴忠市,宁夏回族自治区,银川市;固原市;石嘴山市;吴忠市;中卫市,scope_city_or_fallback
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,石嘴山市,宁夏回族自治区,银川市;固原市;石嘴山市;吴忠市;中卫市,scope_city_or_fallback
宁B1.B2-20080014,2008,宁夏恒盛友情网络科技有限公司,银川市,宁夏回族自治区,银川市;固原市;石嘴山市;吴忠市;中卫市,scope_city_or_fallback
B1-20224056,2022,广东云辰科技有限公司,珠海市,广东省,nan,scope_city_or_fallback
B1-20200918,2020,深圳市天乐云科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20224053,2022,天津金科英伟算力信息技术有限公司,天津市,天津市,nan,scope_city_or_fallback
B1-20191206,2019,江苏新视云科技股份有限公司,南京市,江苏省,nan,scope_city_or_fallback
B1-20241062,2024,山西浩远通信有限公司,太原市,山西省,nan,scope_city_or_fallback
B1-20213051,2021,万源市天眼信息科技有限公司,达州市,四川省,nan,scope_city_or_fallback
B1-20222763,2022,广东江湾时代电子商务有限公司,惠州市,广东省,nan,scope_city_or_fallback
B1.B2-20214224,2021,北京中创普惠互联网科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20181051,2018,成都市皓彩科技有限责任公司,成都市,四川省,nan,scope_city_or_fallback
B1-20203642,2020,河南智和通信技术有限公司,郑州市,河南省,nan,scope_city_or_fallback
B1-20202670,2020,浦惠祥云（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,兰州市,甘肃省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,南昌市,江西省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,哈尔滨市,黑龙江省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,天津市,天津市,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,忻州市,山西省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,成都市,四川省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,承德市,河北省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,无锡市,江苏省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,武汉市,湖北省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,永州市,湖南省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,淄博市,山东省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,长春市,吉林省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
A2.B1-20140185,2014,广东力通网络科技有限公司,阜新市,辽宁省,天津市;承德市;长春市;无锡市;淄博市;武汉市;永州市;成都市;忻州市;阜新市;哈尔滨市;南昌市;兰州市,scope_city_or_fallback
B1-20182865,2018,江苏悦达网络科技有限公司,盐城市,江苏省,nan,scope_city_or_fallback
京B2-20050093,2005,北京星缘新动力科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20222658,2022,北京佳利汇科技有限公司,北京市,北京市,nan,scope_city_or_fallback
蒙B1-20240380,2024,赤峰市腾云网络通讯科技有限公司,赤峰市,内蒙古自治区,nan,scope_city_or_fallback
湘B1-20220469,2022,长沙马栏山投资开发建设有限公司,长沙市,湖南省,nan,scope_city_or_fallback
浙B1-20201550,2020,杭州趣链科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
A2.B1.B2-20230956,2023,安徽鸠天云网络科技有限责任公司,芜湖市,安徽省,nan,scope_city_or_fallback
A2.B1.B2-20201356,2020,北京畅云数据科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20236259,2023,深圳市安讯计算机系统有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20190634,2019,广东奇智网络科技有限公司,东莞市,广东省,nan,scope_city_or_fallback
B1-20202828,2020,南通数港信息科技有限公司,南通市,江苏省,nan,scope_city_or_fallback
浙B1.B2-20140295,2014,浙江华通云数据科技有限公司,杭州市,浙江省,杭州市,scope_city_or_fallback
B1-20203256,2020,深圳市威斯顿网络科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20243319,2024,深圳市圣腾云计算有限公司,深圳市,广东省,nan,scope_city_or_fallback
京B1-20060139,2006,人民网股份有限公司,北京市,北京市,nan,scope_city_or_fallback
京B1-20070178,2007,北京中科新网网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20231991,2023,北京众联通科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20212102,2021,南宁市恒之道网络科技有限公司,南宁市,广西壮族自治区,nan,scope_city_or_fallback
B1.B2-20210438,2021,西安云创未来数据科技有限公司,西安市,陕西省,nan,scope_city_or_fallback
B1-20181245,2018,北京亿芃科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20224016,2022,绥江玮玮科技有限公司,昭通市,云南省,nan,scope_city_or_fallback
B1.B2-20200039,2020,深圳市正时代科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20190886,2019,广东懿云网络科技有限公司,东莞市,广东省,nan,scope_city_or_fallback
B1.B2-20224343,2022,广东亿迅科技有限公司,广州市,广东省,nan,scope_city_or_fallback
A2.B1.B2-20202255,2020,中广娱文传媒有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20180294,2018,北京光环时讯网络通讯技术有限责任公司,北京市,北京市,nan,scope_city_or_fallback
B1-20160973,2016,北京中鑫恒业网络技术有限公司,北京市,北京市,北京市;沈阳市,scope_city_or_fallback
B1-20160973,2016,北京中鑫恒业网络技术有限公司,沈阳市,辽宁省,北京市;沈阳市,scope_city_or_fallback
B1-20140495,2014,深圳市速必拓网络科技有限公司,上海市,上海市,上海市;宁波市;深圳市,scope_city_or_fallback
B1-20140495,2014,深圳市速必拓网络科技有限公司,宁波市,浙江省,上海市;宁波市;深圳市,scope_city_or_fallback
B1-20140495,2014,深圳市速必拓网络科技有限公司,深圳市,广东省,上海市;宁波市;深圳市,scope_city_or_fallback
B1-20196132,2019,广州明阳技术有限公司,广州市,广东省,nan,scope_city_or_fallback
冀B1-20170088,2017,河北招标集团网络科技有限公司,石家庄市,河北省,石家庄市,scope_city_or_fallback
B1-20183211,2018,宁德市亚信网络技术有限公司,宁德市,福建省,nan,scope_city_or_fallback
B1-20215295,2021,北京晋莱文化传媒有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20240315,2024,北京方安科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20220374,2022,江西省思极科技有限公司,南昌市,江西省,nan,scope_city_or_fallback
A2.B1.B2-20241594,2024,上海航蓝网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20214014,2021,江苏铄震云科技有限公司,淮安市,江苏省,nan,scope_city_or_fallback
B1-20171494,2017,北京亚信通科技有限公司,天津市,天津市,北京市;天津市,scope_city_or_fallback
B1-20192941,2019,深圳市斯柯得科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20120178,2012,北京天维信通科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20231254,2023,河北翼巽云科技有限公司,承德市,河北省,nan,scope_city_or_fallback
B1-20194434,2019,郴州市蓝冰计算机服务有限公司,郴州市,湖南省,nan,scope_city_or_fallback
京B1.B2-20150003,2015,北京华胜天成科技股份有限公司,北京市,北京市,nan,scope_city_or_fallback
京B1.B2-20150016,2015,北京维实嘉业网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20200997,2020,广东顺德宽原电子科技有限公司,佛山市,广东省,nan,scope_city_or_fallback
B1-20170723,2017,北京科瑞机电工程有限公司,北京市,北京市,石家庄市;北京市,scope_city_or_fallback
B1-20170723,2017,北京科瑞机电工程有限公司,石家庄市,河北省,石家庄市;北京市,scope_city_or_fallback
B1-20181633,2018,深圳市实地云网络科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20183889,2018,安徽欧拉网络科技有限公司,合肥市,安徽省,nan,scope_city_or_fallback
B1-20210512,2021,星联云（北京）计算技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20233614,2023,南通智选网络科技有限公司,南通市,江苏省,nan,scope_city_or_fallback
B1-20170405,2017,北京网盈互通信息科技有限公司,上海市,上海市,上海市;北京市,scope_city_or_fallback
B1-20170405,2017,北京网盈互通信息科技有限公司,北京市,北京市,上海市;北京市,scope_city_or_fallback
B1-20202732,2020,广州市乾洲信息技术有限公司,广州市,广东省,nan,scope_city_or_fallback
沪A2.B1.B2-20220244,2022,上海市新型互联网交换中心有限责任公司,上海市,上海市,nan,scope_city_or_fallback
B1.B2-20184457,2018,杭州可当科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1-20202413,2020,北京云联万维技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20212106,2021,北京方盛云采电子商务有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20212335,2021,北京微动征程信息技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20195369,2019,浙江捷创智能技术有限公司,宁波市,浙江省,nan,scope_city_or_fallback
B1-20184472,2018,广州高倬信息科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1.B2-20212685,2021,合肥鼎高科技有限公司,合肥市,安徽省,nan,scope_city_or_fallback
B1.B2-20214643,2021,北京岳起科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20243451,2024,浙江美仪智能传感技术有限公司,嘉兴市,浙江省,nan,scope_city_or_fallback
京B1-20140021,2014,北京网云无限科技有限公司,北京市,北京市,nan,scope_city_or_fallback
粤B1-20200293,2020,广东华叶云数据有限公司,广州市,广东省,nan,scope_city_or_fallback
B1.B2-20225287,2022,杭州和衍科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1-20173072,2017,杭州优云科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1-20212758,2021,厦门滨链云智科技有限公司,厦门市,福建省,nan,scope_city_or_fallback
B1-20212609,2021,广州聚宝盆科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1.B2-20190216,2019,天域云（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20182757,2018,北京华安普特网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20220752,2022,北京真源诚传科技有限责任公司,北京市,北京市,nan,scope_city_or_fallback
B1-20200268,2020,杭州字节方舟科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
豫B1-20221318,2022,河南国迪信息技术有限公司,郑州市,河南省,nan,scope_city_or_fallback
陕B1-20140046,2014,西安未来国际信息股份有限公司,西安市,陕西省,nan,scope_city_or_fallback
粤B1-20160429,2016,广东迅捷科技有限公司,珠海市,广东省,nan,scope_city_or_fallback
A2.B1.B2-20150408,2015,中国广播电视网络有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20211604,2021,安徽中云物联网科技有限公司,宿州市,安徽省,nan,scope_city_or_fallback
B1-20193259,2019,湖州德利迅达科技有限公司,湖州市,浙江省,nan,scope_city_or_fallback
A2.B1-20224233,2022,山西极速互通网络科技有限公司,太原市,山西省,nan,scope_city_or_fallback
鲁B1-20220621,2022,山东睿客信息技术有限公司,威海市,山东省,nan,scope_city_or_fallback
A2.B1.B2-20220090,2022,北京时代欢娱科技有限公司,北京市,北京市,nan,scope_city_or_fallback
京B2-20140075,2014,北京优能互通科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1.B2-20140310,2014,广西视虎科技有限公司,南宁市,广西壮族自治区,nan,scope_city_or_fallback
B1-20212992,2021,广东云群网络科技有限公司,湛江市,广东省,nan,scope_city_or_fallback
B1.B2-20233240,2023,深圳市腾龙信科有限公司,深圳市,广东省,nan,scope_city_or_fallback
冀B1.B2-20080080,2008,河北速联速通网络科技有限公司,石家庄市,河北省,石家庄市,scope_city_or_fallback
B1-20150403,2015,北京久其软件股份有限公司,北京市,北京市,北京市;海口市,scope_city_or_fallback
B1-20150403,2015,北京久其软件股份有限公司,海口市,海南省,北京市;海口市,scope_city_or_fallback
A2.B1-20151161,2015,北京优帆科技有限公司,上海市,上海市,上海市;广州市;北京市,scope_city_or_fallback
A2.B1-20151161,2015,北京优帆科技有限公司,北京市,北京市,上海市;广州市;北京市,scope_city_or_fallback
A2.B1-20151161,2015,北京优帆科技有限公司,广州市,广东省,上海市;广州市;北京市,scope_city_or_fallback
A2.B1-20191102,2019,北京光传神州网络技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20201076,2020,安徽呦呦鹿鸣网络科技有限公司,合肥市,安徽省,nan,scope_city_or_fallback
A2.B1-20160973,2016,北京中鑫恒业网络技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20170402,2017,北京迅安联创网络科技有限公司,北京市,北京市,济南市;北京市,scope_city_or_fallback
B1.B2-20170402,2017,北京迅安联创网络科技有限公司,济南市,山东省,济南市;北京市,scope_city_or_fallback
