province,city,year,province_code,city_code,city_apply,city_grant,city_invgrant,listed_apply,listed_grant,listed_invgrant,n_listed_firms,nonlisted_apply_proxy,nonlisted_grant_proxy,nonlisted_invgrant_proxy,listed_share_apply,listed_share_grant,listed_share_invgrant,bad_negative_nonlisted_apply,bad_negative_nonlisted_grant,bad_negative_nonlisted_invgrant,idc_new,idc_stock,ln1p_idc_new,ln1p_idc_stock,merge_idc,ln1p_city_apply,ln1p_listed_apply,ln1p_nonlisted_apply_proxy,listed_share_apply_clean,listed_share_apply_wins01,ln1p_city_grant,ln1p_listed_grant,ln1p_nonlisted_grant_proxy,listed_share_grant_clean,listed_share_grant_wins01,ln1p_city_invgrant,ln1p_listed_invgrant,ln1p_nonlisted_invgrant_proxy,listed_share_invgrant_clean,listed_share_invgrant_wins01,city_key,city_id,ln1p_idc_stock_l1,ln1p_idc_new_l1,total_words,ndi_kw_total,ndi_kw_per10k,ln1p_ndi_kw_per10k,ndi_entropy,ndi_entropy_mm,ndi_pca1,ndi_pca1_mm,merge_ndi,ln1p_ndi_kw_per10k_l1,ndi_entropy_mm_l1,ndi_pca1_mm_l1
安徽省,阜阳市,2013,340000,341200,2733,2036,139,11.0,5.0,0.0,1.0,2722.0,2031.0,139.0,0.0040248810830589,0.0024557956777996,0.0,0,0,0,0.0,0.0,0.0,0.0,both,7.913521017283895,2.4849066497880004,7.909489492673759,0.0040248810830589,0.0040248810830589,7.619233416226805,1.791759469228055,7.616775808698373,0.0024557956777996,0.0024557956777996,4.941642422609304,0.0,4.941642422609304,0.0,0.0,安徽省_阜阳市,65,0.0,0.0,5937.0,3.0,5.053057099545225,1.8005634501287653,0.0028330650015641673,0.029919275983639377,-1.1847798569868124,0.1154217342985578,both,1.7129785913749407,0.03904088439537525,0.0566611691677109
安徽省,阜阳市,2014,340000,341200,3495,1291,214,35.0,6.0,4.0,1.0,3460.0,1285.0,210.0,0.0100143061516452,0.0046475600309837,0.0186915887850467,0,0,0,0.0,0.0,0.0,0.0,both,8.159374736775426,3.58351893845611,8.149312843635345,0.0100143061516452,0.0100143061516452,7.163946684342547,1.9459101490553132,7.1592919047975645,0.0046475600309837,0.0046475600309837,5.3706380281276624,1.6094379124341003,5.351858133476067,0.0186915887850467,0.0186915887850467,安徽省_阜阳市,65,0.0,0.0,5621.0,7.0,12.453300124533,2.599224438370223,0.006172045841318422,0.06518139994789639,-0.16010557943707737,0.1874492865647339,both,1.8005634501287653,0.029919275983639377,0.1154217342985578
安徽省,阜阳市,2015,340000,341200,6042,2629,488,16.0,33.0,1.0,1.0,6026.0,2596.0,487.0,0.0026481297583581,0.0125523012552301,0.0020491803278688,0,0,0,0.0,0.0,0.0,0.0,both,8.706655856361559,2.833213344056216,8.704004653483045,0.0026481297583581,0.0026481297583581,7.874739125171811,3.5263605246161616,7.862112211662748,0.0125523012552301,0.0125523012552301,6.192362489474872,0.6931471805599453,6.1903154058531475,0.0020491803278688,0.0020491803278688,安徽省_阜阳市,65,0.0,0.0,5617.0,7.0,12.462168417304612,2.5998834120811023,0.0031858381690751513,0.033644823317104,-0.40894300610467593,0.16995772739537507,both,2.599224438370223,0.06518139994789639,0.1874492865647339
安徽省,阜阳市,2016,340000,341200,6965,3091,594,62.0,11.0,1.0,1.0,6903.0,3080.0,593.0,0.0089016511127063,0.0035587188612099,0.0016835016835016,0,0,0,0.0,0.0,0.0,0.0,both,8.848796450925947,4.143134726391533,8.839856232763264,0.0089016511127063,0.0089016511127063,8.036573409707312,2.4849066497880004,8.033009498596668,0.0035587188612099,0.0035587188612099,6.38856140554563,0.6931471805599453,6.386879319362645,0.0016835016835016,0.0016835016835016,安徽省_阜阳市,65,0.0,0.0,6827.0,8.0,11.71817782334847,2.5430322947688926,0.0030524549871152793,0.032236197594842524,1.926074482578016,0.334093392643754,both,2.5998834120811023,0.033644823317104,0.16995772739537507
安徽省,阜阳市,2017,340000,341200,10959,2659,264,39.0,52.0,1.0,1.0,10920.0,2607.0,263.0,0.0035587188612099,0.0195562241444151,0.0037878787878787,0,0,0,0.0,0.0,0.0,0.0,both,9.302007560502007,3.6888794541139363,9.298442820197728,0.0035587188612099,0.0035587188612099,7.886081401775745,3.970291913552122,7.866338923046544,0.0195562241444151,0.0195562241444151,5.579729825986222,0.6931471805599453,5.575949103146316,0.0037878787878787,0.0037878787878787,安徽省_阜阳市,65,0.0,0.0,6642.0,17.0,25.594700391448356,3.2807119625338452,0.005998854502062093,0.06335237044234167,3.4955914516092523,0.44441963777003574,both,2.5430322947688926,0.032236197594842524,0.334093392643754
安徽省,阜阳市,2018,340000,341200,11829,5278,523,55.0,32.0,2.0,1.0,11774.0,5246.0,521.0,0.0046495899907008,0.0060629026146267,0.0038240917782026,0,0,0,0.0,0.0,0.0,0.0,both,9.378393956972433,4.02535169073515,9.373733918884618,0.0046495899907008,0.0046495899907008,8.571491964823617,3.4965075614664802,8.565411763686711,0.0060629026146267,0.0060629026146267,6.261491684321042,1.0986122886681098,6.257667587882639,0.0038240917782026,0.0038240917782026,安徽省_阜阳市,65,0.0,0.0,6236.0,18.0,28.864656831302113,3.3966757354536643,0.014652381090354851,0.15474005486727876,1.2256890954798954,0.2848611183679637,both,3.2807119625338452,0.06335237044234167,0.44441963777003574
安徽省,阜阳市,2019,340000,341200,9142,5633,760,76.0,33.0,1.0,1.0,9066.0,5600.0,759.0,0.0083132793699409,0.0058583348127108,0.0013157894736842,0,0,0,0.0,0.0,0.0,0.0,both,9.120743838164426,4.343805421853684,9.112396727646056,0.0083132793699409,0.0083132793699409,8.636574948436317,3.5263605246161616,8.630700432209832,0.0058583348127108,0.0058583348127108,6.634633357861686,0.6931471805599453,6.633318433280377,0.0013157894736842,0.0013157894736842,安徽省_阜阳市,65,0.0,0.0,6359.0,13.0,20.443465953766314,3.065419981428647,0.008689916119810482,0.0917719849638439,2.4144706183098097,0.36842428096969104,both,3.3966757354536643,0.15474005486727876,0.2848611183679637
安徽省,阜阳市,2020,340000,341200,11863,7855,1650,55.0,48.0,1.0,1.0,11808.0,7807.0,1649.0,0.0046362640141616,0.0061107574793125,0.0006060606060606,0,0,0,0.0,0.0,0.0,0.0,both,9.381263883817768,4.02535169073515,9.376617231601282,0.0046362640141616,0.0046362640141616,8.969032850034301,3.8918202981106265,8.962904128092928,0.0061107574793125,0.0061107574793125,7.409136443920128,0.6931471805599453,7.408530566894626,0.0006060606060606,0.0006060606060606,安徽省_阜阳市,65,0.0,0.0,6664.0,12.0,18.007202881152455,2.9448180063345912,0.006820809877828713,0.07203283126088988,2.4677943671628553,0.3721725736629804,both,3.065419981428647,0.0917719849638439,0.36842428096969104
安徽省,阜阳市,2021,340000,341200,9763,8446,1367,32.0,47.0,4.0,1.0,9731.0,8399.0,1363.0,0.0032776810406637,0.0055647643855079,0.0029261155815654,0,0,0,0.0,0.0,0.0,0.0,both,9.186457431512851,3.4965075614664802,9.183174703903413,0.0032776810406637,0.0032776810406637,9.041566627727496,3.871201010907891,9.035986984831405,0.0055647643855079,0.0055647643855079,7.221105098182496,1.6094379124341003,7.218176838403408,0.0029261155815654,0.0029261155815654,安徽省_阜阳市,65,0.0,0.0,7807.0,15.0,19.21352632253106,3.0063520002390494,0.008125277039899884,0.0858089758342866,1.4015159920584128,0.2972205395621724,both,2.9448180063345912,0.07203283126088988,0.3721725736629804
安徽省,阜阳市,2022,340000,341200,9169,8249,1227,34.0,39.0,4.0,1.0,9135.0,8210.0,1223.0,0.0037081470171229,0.0047278457994908,0.0032599837000814,0,0,0,0.0,0.0,0.0,0.0,both,9.123692565250511,3.5553480614894135,9.119977931895791,0.0037081470171229,0.0037081470171229,9.017968479328726,3.6888794541139363,9.01322999770879,0.0047278457994908,0.0047278457994908,7.113142108707088,1.6094379124341003,7.1098794630722715,0.0032599837000814,0.0032599837000814,安徽省_阜阳市,65,0.0,0.0,8239.0,11.0,13.351134846461951,2.663829022455844,0.010125570772665992,0.10693356712571675,2.354167735712851,0.36418540318850984,both,3.0063520002390494,0.0858089758342866,0.2972205395621724
