city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,roll_top_patents,roll_top_share,base_top_patents,base_top_share,roll_top_n,base_top_n,province,idc_scope_new,idc_scope_stock,ln1p_idc_scope_new,ln1p_idc_scope_stock,ln1p_idc_scope_stock_l1,idc_registered_new,idc_registered_stock,ln1p_idc_registered_new,ln1p_idc_registered_stock,ln1p_idc_registered_stock_l1,idc_combined_new,idc_combined_stock,ln1p_idc_combined_new,ln1p_idc_combined_stock,ln1p_idc_combined_stock_l1,merge_idc_split,ln1p_total_patents,ln1p_active_applicants,ln1p_new_applicants,ln1p_new_patents,incumbent_patents,ln1p_incumbent_patents,incumbent_share,city_id,province_id,base_ln_patents,base_hhi,base_top10,base_active,base_ln_patents_q,base_hhi_q,base_top10_q,base_active_q
七台河,2008,inv_grant_appyear,3,3,0.3333333333333333,0.3333333333333333,1.0,1.0,3.0,2,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1,0.6931471805599453,0.3333333333333333,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2009,inv_grant_appyear,5,5,0.2,0.2,1.0,1.0,4.999999999999999,5,5,1.0,0,0.0,5,1.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.791759469228055,1.791759469228055,1.791759469228055,1.791759469228055,0,0.0,0.0,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2010,inv_grant_appyear,4,3,0.375,0.5,1.0,1.0,2.6666666666666665,3,4,1.0,0,0.0,4,1.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.6094379124341003,0,0.0,0.0,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2011,inv_grant_appyear,3,3,0.3333333333333333,0.3333333333333333,1.0,1.0,3.0,2,2,0.6666666666666666,0,0.0,0,0.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1,0.6931471805599453,0.3333333333333333,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2012,inv_grant_appyear,4,3,0.375,0.5,1.0,1.0,2.6666666666666665,1,1,0.25,1,0.25,1,0.25,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.6094379124341003,1.3862943611198906,0.6931471805599453,0.6931471805599453,3,1.3862943611198906,0.75,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2013,inv_grant_appyear,33,10,0.1606978879706152,0.2424242424242424,0.8181818181818183,1.0,6.222857142857143,6,27,0.8181818181818182,2,0.0606060606060606,4,0.1212121212121212,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,3.5263605246161616,2.3978952727983707,1.9459101490553132,3.332204510175204,6,1.9459101490553132,0.18181818181818182,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2014,inv_grant_appyear,4,4,0.25,0.25,1.0,1.0,4.0,1,1,0.25,2,0.5,1,0.25,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.6931471805599453,3,1.3862943611198906,0.75,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2015,inv_grant_appyear,25,14,0.1423999999999999,0.32,0.64,0.8400000000000001,7.022471910112363,11,15,0.6,9,0.36,1,0.04,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,3.258096538021482,2.70805020110221,2.4849066497880004,2.772588722239781,10,2.3978952727983707,0.4,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2016,inv_grant_appyear,6,6,0.1666666666666666,0.1666666666666666,0.8333333333333333,1.0,5.999999999999999,3,3,0.5,1,0.1666666666666666,0,0.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1.9459101490553132,1.9459101490553132,1.3862943611198906,1.3862943611198906,3,1.3862943611198906,0.5,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2017,inv_grant_appyear,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555556,1.0,9.0,6,6,0.6666666666666666,2,0.2222222222222222,0,0.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,2.302585092994046,2.302585092994046,1.9459101490553132,1.9459101490553132,3,1.3862943611198906,0.3333333333333333,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2018,inv_grant_appyear,8,7,0.15625,0.25,0.75,1.0,6.4,4,4,0.5,0,0.0,1,0.125,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,2.1972245773362196,2.0794415416798357,1.6094379124341003,1.6094379124341003,4,1.6094379124341003,0.5,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
七台河,2019,inv_grant_appyear,16,8,0.25,0.4375,0.8125,1.0,4.0,6,12,0.75,1,0.0625,0,0.0,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,2.833213344056216,2.1972245773362196,1.9459101490553132,2.5649493574615367,4,1.6094379124341003,0.25,1,32,1.5958305809273485,0.30277777777777776,1.0,1.5214493971559453,1,4,3,1
