city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,roll_top_patents,roll_top_share,roll_mid_inc_patents,roll_mid_inc_share,base_top_patents,base_top_share,base_mid_inc_patents,base_mid_inc_share,ln1p_total_patents,ln1p_active_applicants,ln1p_new_applicants,ln_effective_applicants,roll_top_n,base_top_n
七台河,2008,inv_app_appyear,10,10,0.1,0.1,0.5,1.0,10.0,5,5,0.5,1,0.1,4,0.4,3,0.3,3,0.3,2.3978952727983707,2.3978952727983707,1.791759469228055,2.302585092994046,10,10
七台河,2009,inv_app_appyear,18,16,0.07407407407407407,0.16666666666666666,0.3888888888888889,0.6666666666666666,13.5,12,12,0.6666666666666666,1,0.05555555555555555,5,0.2777777777777778,6,0.3333333333333333,3,0.16666666666666666,2.9444389791664403,2.833213344056216,2.5649493574615367,2.6026896854443837,10,10
七台河,2010,inv_app_appyear,14,12,0.10204081632653061,0.21428571428571427,0.5,0.8571428571428571,9.799999999999999,8,10,0.7142857142857143,0,0.0,4,0.2857142857142857,8,0.5714285714285714,1,0.07142857142857142,2.70805020110221,2.5649493574615367,2.1972245773362196,2.282382385676526,10,10
七台河,2011,inv_app_appyear,20,16,0.075,0.15,0.45,0.7,13.333333333333334,7,10,0.5,2,0.1,8,0.4,2,0.1,8,0.4,3.044522437723423,2.833213344056216,2.0794415416798357,2.5902671654458267,10,10
七台河,2012,inv_app_appyear,23,16,0.07372400756143667,0.13043478260869565,0.4782608695652174,0.7391304347826086,13.564102564102566,11,15,0.6521739130434783,4,0.17391304347826086,4,0.17391304347826086,4,0.17391304347826086,4,0.17391304347826086,3.1780538303479458,2.833213344056216,2.4849066497880004,2.607426785728653,10,10
七台河,2013,inv_app_appyear,76,22,0.12569252077562326,0.23684210526315788,0.6842105263157895,0.8421052631578947,7.9559228650137745,12,58,0.7631578947368421,7,0.09210526315789473,11,0.14473684210526316,4,0.05263157894736842,14,0.18421052631578946,4.343805421853684,3.1354942159291497,2.5649493574615367,2.0739166657478663,10,10
七台河,2014,inv_app_appyear,23,13,0.14177693761814744,0.30434782608695654,0.6521739130434783,0.8695652173913043,7.053333333333334,6,8,0.34782608695652173,11,0.4782608695652174,4,0.17391304347826086,8,0.34782608695652173,7,0.30434782608695654,3.1780538303479458,2.6390573296152584,1.9459101490553132,1.953500318321989,10,10
七台河,2015,inv_app_appyear,83,28,0.24720569023080272,0.4819277108433735,0.6626506024096386,0.7831325301204819,4.045214327657076,17,27,0.3253012048192771,46,0.5542168674698795,10,0.12048192771084337,5,0.060240963855421686,51,0.6144578313253012,4.430816798843313,3.367295829986474,2.8903717578961645,1.3975345349305077,10,10
七台河,2016,inv_app_appyear,34,18,0.09515570934256055,0.17647058823529413,0.5882352941176471,0.7647058823529411,10.50909090909091,11,16,0.47058823529411764,8,0.23529411764705882,10,0.29411764705882354,2,0.058823529411764705,16,0.47058823529411764,3.5553480614894135,2.9444389791664403,2.4849066497880004,2.3522406834399066,10,10
七台河,2017,inv_app_appyear,23,17,0.07372400756143667,0.13043478260869565,0.4782608695652174,0.6956521739130435,13.564102564102566,13,15,0.6521739130434783,1,0.043478260869565216,7,0.30434782608695654,0,0.0,8,0.34782608695652173,3.1780538303479458,2.8903717578961645,2.6390573296152584,2.607426785728653,10,10
七台河,2018,inv_app_appyear,45,19,0.14074074074074075,0.26666666666666666,0.6666666666666666,0.8,7.105263157894736,13,35,0.7777777777777778,5,0.1111111111111111,5,0.1111111111111111,0,0.0,10,0.2222222222222222,3.828641396489095,2.995732273553991,2.6390573296152584,1.960835799271989,10,10
七台河,2019,inv_app_appyear,56,25,0.1211734693877551,0.30357142857142855,0.5357142857142857,0.7142857142857143,8.25263157894737,17,39,0.6964285714285714,3,0.05357142857142857,14,0.25,0,0.0,17,0.30357142857142855,4.04305126783455,3.258096538021482,2.8903717578961645,2.1105321287498673,10,10
七台河,2020,inv_app_appyear,55,31,0.047933884297520664,0.10909090909090909,0.38181818181818183,0.5636363636363636,20.86206896551724,21,36,0.6545454545454545,9,0.16363636363636364,10,0.18181818181818182,0,0.0,19,0.34545454545454546,4.02535169073515,3.4657359027997265,3.091042453358316,3.0379326280443673,10,10
七台河,2021,inv_app_appyear,91,32,0.10832025117739404,0.27472527472527475,0.5494505494505495,0.7252747252747253,9.231884057971014,26,46,0.5054945054945055,36,0.3956043956043956,9,0.0989010989010989,0,0.0,45,0.4945054945054945,4.5217885770490405,3.4965075614664802,3.295836866004329,2.222663150974904,10,10
七台河,2022,inv_app_appyear,50,31,0.1088,0.3,0.48,0.58,9.191176470588236,19,20,0.4,21,0.42,9,0.18,0,0.0,30,0.6,3.9318256327243257,3.4657359027997265,2.995732273553991,2.2182439445602946,10,10
七台河,2023,inv_app_appyear,68,35,0.09039792387543252,0.2647058823529412,0.45588235294117646,0.6029411764705882,11.062200956937799,27,37,0.5441176470588235,25,0.36764705882352944,6,0.08823529411764706,0,0.0,31,0.45588235294117646,4.23410650459726,3.58351893845611,3.332204510175204,2.403533977827457,10,10
万宁,2008,inv_app_appyear,6,3,0.3888888888888889,0.5,1.0,1.0,2.571428571428571,1,2,0.3333333333333333,4,0.6666666666666666,0,0.0,6,1.0,0,0.0,1.9459101490553132,1.3862943611198906,0.6931471805599453,0.9444616088408513,10,10
万宁,2009,inv_app_appyear,5,4,0.28,0.4,1.0,1.0,3.571428571428571,2,3,0.6,1,0.2,1,0.2,5,1.0,0,0.0,1.791759469228055,1.6094379124341003,1.0986122886681098,1.2729656758128873,10,10
万宁,2010,inv_app_appyear,9,2,0.5555555555555556,0.6666666666666666,1.0,1.0,1.7999999999999998,0,0,0.0,9,1.0,0,0.0,9,1.0,0,0.0,2.302585092994046,1.0986122886681098,0.0,0.587786664902119,10,10
万宁,2011,inv_app_appyear,13,4,0.39644970414201186,0.5384615384615384,1.0,1.0,2.5223880597014925,1,1,0.07692307692307693,12,0.9230769230769231,0,0.0,12,0.9230769230769231,0,0.0,2.6390573296152584,1.6094379124341003,0.6931471805599453,0.9252060955321074,10,10
万宁,2012,inv_app_appyear,32,5,0.40625,0.53125,1.0,1.0,2.4615384615384617,2,2,0.0625,30,0.9375,0,0.0,13,0.40625,17,0.53125,3.4965075614664802,1.791759469228055,1.0986122886681098,0.9007865453381899,10,10
万宁,2013,inv_app_appyear,22,5,0.3512396694214876,0.45454545454545453,1.0,1.0,2.847058823529412,2,3,0.13636363636363635,19,0.8636363636363636,0,0.0,18,0.8181818181818182,1,0.045454545454545456,3.1354942159291497,1.791759469228055,1.0986122886681098,1.04628646966637,10,10
万宁,2014,inv_app_appyear,22,5,0.36363636363636365,0.5,1.0,1.0,2.75,2,3,0.13636363636363635,19,0.8636363636363636,0,0.0,18,0.8181818181818182,1,0.045454545454545456,3.1354942159291497,1.791759469228055,1.0986122886681098,1.0116009116784799,10,10
万宁,2015,inv_app_appyear,30,4,0.31333333333333335,0.3333333333333333,1.0,1.0,3.1914893617021276,1,1,0.03333333333333333,29,0.9666666666666667,0,0.0,20,0.6666666666666666,9,0.3,3.4339872044851463,1.6094379124341003,0.6931471805599453,1.160487692386197,10,10
万宁,2016,inv_app_appyear,21,6,0.46938775510204084,0.6666666666666666,0.9523809523809523,1.0,2.1304347826086953,2,2,0.09523809523809523,18,0.8571428571428571,1,0.047619047619047616,17,0.8095238095238095,2,0.09523809523809523,3.091042453358316,1.9459101490553132,1.0986122886681098,0.7563260821814768,10,10
万宁,2017,inv_app_appyear,11,4,0.3884297520661157,0.5454545454545454,1.0,1.0,2.5744680851063833,2,2,0.18181818181818182,9,0.8181818181818182,0,0.0,9,0.8181818181818182,0,0.0,2.4849066497880004,1.6094379124341003,1.0986122886681098,0.9456429438866826,10,10
万宁,2018,inv_app_appyear,21,12,0.1473922902494331,0.2857142857142857,0.6666666666666666,0.9047619047619048,6.784615384615385,7,8,0.38095238095238093,12,0.5714285714285714,1,0.047619047619047616,7,0.3333333333333333,6,0.2857142857142857,3.091042453358316,2.5649493574615367,2.0794415416798357,1.914657605551209,10,10
万宁,2019,inv_app_appyear,31,8,0.2757544224765869,0.45161290322580644,0.9032258064516129,1.0,3.626415094339623,3,12,0.3870967741935484,19,0.6129032258064516,0,0.0,14,0.45161290322580644,5,0.16129032258064516,3.4657359027997265,2.1972245773362196,1.3862943611198906,1.2882445829840703,10,10
万宁,2020,inv_app_appyear,35,11,0.3224489795918367,0.5428571428571428,0.8285714285714286,0.9714285714285714,3.1012658227848102,4,6,0.17142857142857143,25,0.7142857142857143,4,0.11428571428571428,19,0.5428571428571428,10,0.2857142857142857,3.58351893845611,2.4849066497880004,1.6094379124341003,1.1318103580777055,10,10
万宁,2021,inv_app_appyear,35,13,0.1493877551020408,0.2857142857142857,0.7428571428571429,0.9142857142857143,6.693989071038252,8,13,0.37142857142857144,20,0.5714285714285714,2,0.05714285714285714,11,0.3142857142857143,11,0.3142857142857143,3.58351893845611,2.6390573296152584,2.1972245773362196,1.9012099701374066,10,10
万宁,2022,inv_app_appyear,59,10,0.2823901177822465,0.4406779661016949,0.8983050847457628,1.0,3.541200406917599,6,14,0.23728813559322035,29,0.4915254237288136,16,0.2711864406779661,42,0.711864406779661,3,0.05084745762711865,4.0943445622221,2.3978952727983707,1.9459101490553132,1.2644657676642723,10,10
万宁,2023,inv_app_appyear,63,22,0.10506424792139078,0.2222222222222222,0.6190476190476191,0.8095238095238095,9.517985611510792,16,24,0.38095238095238093,34,0.5396825396825397,5,0.07936507936507936,24,0.38095238095238093,15,0.23809523809523808,4.1588830833596715,3.1354942159291497,2.833213344056216,2.253183230984264,10,10
三亚,2008,inv_app_appyear,4,4,0.25,0.25,1.0,1.0,4.0,3,3,0.75,1,0.25,0,0.0,1,0.25,1,0.25,1.6094379124341003,1.6094379124341003,1.3862943611198906,1.3862943611198906,10,10
三亚,2009,inv_app_appyear,11,6,0.2066115702479339,0.2727272727272727,0.9090909090909091,1.0,4.84,6,11,1.0,0,0.0,0,0.0,9,0.8181818181818182,0,0.0,2.4849066497880004,1.9459101490553132,1.9459101490553132,1.5769147207285403,10,10
三亚,2010,inv_app_appyear,14,7,0.17346938775510204,0.21428571428571427,0.8571428571428571,1.0,5.764705882352941,5,9,0.6428571428571429,5,0.35714285714285715,0,0.0,14,1.0,0,0.0,2.70805020110221,2.0794415416798357,1.791759469228055,1.751754134614356,10,10
三亚,2011,inv_app_appyear,7,6,0.1836734693877551,0.2857142857142857,0.8571428571428571,1.0,5.444444444444444,3,3,0.42857142857142855,4,0.5714285714285714,0,0.0,4,0.5714285714285714,0,0.0,2.0794415416798357,1.9459101490553132,1.3862943611198906,1.6945957207744071,10,10
三亚,2012,inv_app_appyear,27,12,0.20164609053497942,0.4074074074074074,0.7037037037037037,0.9259259259259259,4.959183673469388,9,23,0.8518518518518519,4,0.14814814814814814,0,0.0,4,0.14814814814814814,0,0.0,3.332204510175204,2.5649493574615367,2.302585092994046,1.601241145229922,10,10
三亚,2013,inv_app_appyear,44,19,0.18388429752066116,0.38636363636363635,0.6818181818181818,0.7954545454545454,5.438202247191011,15,19,0.4318181818181818,24,0.5454545454545454,1,0.022727272727272728,1,0.022727272727272728,24,0.5454545454545454,3.8066624897703196,2.995732273553991,2.772588722239781,1.6934485369844918,10,10
三亚,2014,inv_app_appyear,50,24,0.1936,0.42,0.6,0.72,5.1652892561983474,17,21,0.42,25,0.5,4,0.08,2,0.04,27,0.54,3.9318256327243257,3.2188758248682006,2.8903717578961645,1.6419611041396605,10,10
