city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,roll_top_patents,roll_top_share,roll_mid_inc_patents,roll_mid_inc_share,base_top_patents,base_top_share,base_mid_inc_patents,base_mid_inc_share,ln1p_total_patents,ln1p_active_applicants,ln1p_new_applicants,ln_effective_applicants,roll_top_n,base_top_n,idc_new,idc_stock,province,ln1p_idc_new,ln1p_idc_stock,ln1p_idc_stock_l1,ln1p_idc_new_l1,merge_idc,city_id,province_id,city_cluster,base_ln_patents,base_hhi,base_top10,base_active,base_ln_patents_q,base_hhi_q,base_top10_q,base_active_q
七台河,2008,inv_app_appyear,10,10,0.1,0.1,0.5,1.0,10.0,5,5,0.5,1,0.1,4,0.4,3,0.3,3,0.3,2.3978952727983707,2.3978952727983707,1.791759469228055,2.302585092994046,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2009,inv_app_appyear,18,16,0.074074074074074,0.1666666666666666,0.3888888888888889,0.6666666666666666,13.5,12,12,0.6666666666666666,1,0.0555555555555555,5,0.2777777777777778,6,0.3333333333333333,3,0.1666666666666666,2.9444389791664403,2.833213344056216,2.5649493574615367,2.6026896854443837,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2010,inv_app_appyear,14,12,0.1020408163265306,0.2142857142857142,0.5,0.8571428571428571,9.8,8,10,0.7142857142857143,0,0.0,4,0.2857142857142857,8,0.5714285714285714,1,0.0714285714285714,2.70805020110221,2.5649493574615367,2.1972245773362196,2.282382385676526,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2011,inv_app_appyear,20,16,0.075,0.15,0.45,0.7,13.333333333333334,8,11,0.55,2,0.1,7,0.35,2,0.1,7,0.35,3.044522437723423,2.833213344056216,2.1972245773362196,2.5902671654458267,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2012,inv_app_appyear,23,16,0.0737240075614366,0.1304347826086956,0.4782608695652174,0.7391304347826086,13.564102564102566,11,15,0.6521739130434783,4,0.1739130434782608,4,0.1739130434782608,4,0.1739130434782608,4,0.1739130434782608,3.1780538303479458,2.833213344056216,2.4849066497880004,2.607426785728653,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2013,inv_app_appyear,76,22,0.1256925207756232,0.2368421052631578,0.6842105263157895,0.8421052631578947,7.9559228650137745,12,58,0.7631578947368421,7,0.0921052631578947,11,0.1447368421052631,4,0.0526315789473684,14,0.1842105263157894,4.343805421853684,3.1354942159291497,2.5649493574615367,2.0739166657478663,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2014,inv_app_appyear,23,13,0.1417769376181474,0.3043478260869565,0.6521739130434783,0.8695652173913043,7.053333333333334,6,8,0.3478260869565217,11,0.4782608695652174,4,0.1739130434782608,8,0.3478260869565217,7,0.3043478260869565,3.1780538303479458,2.6390573296152584,1.9459101490553132,1.953500318321989,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2015,inv_app_appyear,83,28,0.2472056902308027,0.4819277108433735,0.6626506024096386,0.7831325301204819,4.045214327657076,17,27,0.3253012048192771,46,0.5542168674698795,10,0.1204819277108433,5,0.0602409638554216,51,0.6144578313253012,4.430816798843313,3.367295829986474,2.8903717578961645,1.3975345349305075,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2016,inv_app_appyear,34,18,0.0951557093425605,0.1764705882352941,0.5882352941176471,0.7647058823529411,10.50909090909091,11,16,0.4705882352941176,8,0.2352941176470588,10,0.2941176470588235,2,0.0588235294117647,16,0.4705882352941176,3.5553480614894135,2.9444389791664403,2.4849066497880004,2.3522406834399066,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
七台河,2017,inv_app_appyear,23,17,0.0737240075614366,0.1304347826086956,0.4782608695652174,0.6956521739130435,13.564102564102566,13,15,0.6521739130434783,1,0.0434782608695652,7,0.3043478260869565,0,0.0,8,0.3478260869565217,3.1780538303479458,2.8903717578961645,2.6390573296152584,2.607426785728653,10,10,0.0,0.0,黑龙江省,0.0,0.0,0.0,0.0,both,1,1,1,2.6834614843556737,0.09203829680020154,0.8412698412698413,2.598685991438708,1,3,4,1
