city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share
兴安盟,2008,all_pub,48,35,0.03819444444444445,0.10416666666666667,0.2916666666666667,0.47916666666666663,26.18181818181818,21,30,0.625
内江,2008,all_pub,157,86,0.022678404803440307,0.08280254777070063,0.24203821656050953,0.3694267515923567,44.0948121645796,55,89,0.5668789808917197
凉山彝族自治州,2008,all_pub,49,36,0.04123281965847564,0.12244897959183673,0.32653061224489793,0.46938775510204084,24.25252525252525,20,27,0.5510204081632653
包头,2008,all_pub,353,173,0.020793040631094065,0.1048158640226629,0.23229461756373937,0.33144475920679894,48.09301428020069,97,150,0.42492917847025496
北京,2008,all_pub,36489,7579,0.006651327612131283,0.04472580777768643,0.13757570774754035,0.19712790155937407,150.34592465060825,3838,8289,0.22716435090027132
北海,2008,all_pub,139,54,0.08627917809637184,0.20863309352517986,0.5323741007194245,0.6402877697841727,11.590281943611275,31,36,0.2589928057553957
十堰,2008,all_pub,322,203,0.012441649627714983,0.06832298136645963,0.17080745341614906,0.23602484472049687,80.37519379844959,145,192,0.5962732919254659
南京,2008,all_pub,8405,1663,0.025543604006142064,0.11838191552647234,0.2950624628197502,0.3710886377156455,39.148743449027236,846,1492,0.17751338488994647
南充,2008,all_pub,247,125,0.033486862594043515,0.15384615384615385,0.2793522267206478,0.3603238866396761,29.862457170827202,88,145,0.5870445344129555
南宁,2008,all_pub,783,428,0.014391059046892054,0.09450830140485313,0.194125159642401,0.2515964240102171,69.4875892553553,253,374,0.4776500638569604
南平,2008,all_pub,359,139,0.059659686066992026,0.1671309192200557,0.41504178272980496,0.4874651810584958,16.761737547145273,82,125,0.34818941504178275
南昌,2008,all_pub,1210,484,0.019879789631855747,0.1,0.25702479338842976,0.32892561983471075,50.30234315948602,262,378,0.31239669421487604
南通,2008,all_pub,5037,982,0.008161207225357054,0.03216200119118523,0.1359936470121104,0.2211633909072861,122.5308918627844,575,2490,0.49434187016081
南阳,2008,all_pub,697,356,0.014579803997044108,0.07747489239598278,0.2080344332855093,0.26972740315638455,68.58802767189043,208,289,0.4146341463414634
博尔塔拉蒙古自治州,2008,all_pub,53,27,0.06870772516909933,0.1509433962264151,0.49056603773584906,0.679245283018868,14.554404145077719,20,36,0.6792452830188679
厦门,2008,all_pub,3102,886,0.017487521829264285,0.11057382333978079,0.20470664087685364,0.26821405544809795,57.18363126366836,472,952,0.30689877498388135
双鸭山,2008,all_pub,105,80,0.02004535147392291,0.0761904761904762,0.20952380952380956,0.30476190476190473,49.88687782805428,45,62,0.5904761904761905
台州,2008,all_pub,5260,1515,0.0035257846723243066,0.026045627376425854,0.08384030418250951,0.1306083650190114,283.6248077908765,761,1880,0.3574144486692015
台湾省,2008,all_pub,28361,7323,0.007047831079717216,0.04788265575966997,0.14505835478297663,0.21878636155283665,141.88762311257372,3356,5068,0.17869609675258277
合肥,2008,all_pub,2095,675,0.02177681831386242,0.09260143198090692,0.2768496420047733,0.3761336515513127,45.92039046234005,354,539,0.2572792362768496
吉安,2008,all_pub,165,101,0.016565656565656558,0.05454545454545454,0.18787878787878787,0.3151515151515152,60.365853658536615,76,115,0.696969696969697
吉林,2008,all_pub,618,380,0.008656172432211643,0.059870550161812294,0.14886731391585759,0.2168284789644013,115.52450090744102,227,285,0.46116504854368934
吐鲁番,2008,all_pub,62,33,0.06971904266389177,0.1774193548387097,0.435483870967742,0.596774193548387,14.343283582089555,27,54,0.8709677419354839
吕梁,2008,all_pub,135,73,0.024417009602194787,0.07407407407407407,0.2444444444444444,0.37777777777777777,40.95505617977528,50,88,0.6518518518518519
吴忠,2008,all_pub,123,59,0.101460770705268,0.22764227642276422,0.5203252032520325,0.6016260162601625,9.856026058631924,47,83,0.6747967479674797
周口,2008,all_pub,204,146,0.009131103421760864,0.024509803921568627,0.10294117647058824,0.1764705882352941,109.51578947368418,108,141,0.6911764705882353
呼伦贝尔,2008,all_pub,111,77,0.025566106647187718,0.10810810810810811,0.25225225225225223,0.3423423423423423,39.11428571428573,53,78,0.7027027027027027
呼和浩特,2008,all_pub,767,256,0.10202978468065872,0.2242503259452412,0.499348109517601,0.5475880052151237,9.801059593822362,168,238,0.31029986962190353
和田地区,2008,all_pub,7,6,0.18367346938775508,0.2857142857142857,0.857142857142857,0.9999999999999998,5.444444444444445,5,5,0.7142857142857143
咸宁,2008,all_pub,136,80,0.049091695501730086,0.19117647058823528,0.33088235294117646,0.41911764705882354,20.370044052863445,50,88,0.6470588235294118
咸阳,2008,all_pub,575,193,0.07618601134215504,0.22260869565217392,0.48347826086956514,0.542608695652174,13.125769184961685,110,160,0.2782608695652174
哈密,2008,all_pub,53,34,0.06016375934496261,0.16981132075471697,0.4150943396226415,0.5471698113207547,16.62130177514793,18,22,0.41509433962264153
哈尔滨,2008,all_pub,4493,1428,0.06439004532064097,0.23992877809926552,0.36389939906521257,0.4195415090140219,15.530350926456617,798,1191,0.2650790117961273
唐山,2008,all_pub,887,437,0.016295761525937088,0.09131905298759865,0.23224351747463357,0.2965050732807215,61.36565010529601,232,307,0.3461104847801578
商丘,2008,all_pub,302,172,0.037454497609753966,0.17218543046357615,0.29470198675496695,0.347682119205298,26.69906323185011,114,159,0.5264900662251656
商洛,2008,all_pub,34,23,0.1107266435986159,0.29411764705882354,0.4705882352941177,0.6176470588235294,9.03125,12,22,0.6470588235294118
喀什地区,2008,all_pub,46,27,0.051039697542533076,0.13043478260869565,0.34782608695652173,0.5652173913043478,19.592592592592595,19,32,0.6956521739130435
嘉兴,2008,all_pub,3685,809,0.005080039545703086,0.027137042062415198,0.08955223880597016,0.1519674355495251,196.84886131365704,397,1533,0.416010854816825
嘉峪关,2008,all_pub,10,8,0.16000000000000003,0.3,0.7,1.0,6.249999999999999,6,6,0.6
四平,2008,all_pub,200,142,0.011,0.05,0.14,0.21500000000000002,90.90909090909092,84,113,0.565
固原,2008,all_pub,9,7,0.16049382716049382,0.2222222222222222,0.7777777777777779,1.0000000000000002,6.230769230769231,4,4,0.4444444444444444
塔城地区,2008,all_pub,33,24,0.06519742883379247,0.18181818181818182,0.42424242424242425,0.5757575757575757,15.338028169014086,14,17,0.5151515151515151
大兴安岭地区,2008,all_pub,27,17,0.08093278463648833,0.18518518518518517,0.48148148148148145,0.7407407407407407,12.355932203389832,11,16,0.5925925925925926
大同,2008,all_pub,169,82,0.05276425895451839,0.1834319526627219,0.40828402366863903,0.5029585798816568,18.952222959522235,50,61,0.3609467455621302
大庆,2008,all_pub,935,411,0.052468186107695394,0.18823529411764706,0.3711229946524064,0.4106951871657754,19.059168501602386,268,386,0.4128342245989305
大理白族自治州,2008,all_pub,67,46,0.035865448875027864,0.11940298507462686,0.29850746268656714,0.4477611940298507,27.881987577639737,32,46,0.6865671641791045
大连,2008,all_pub,4911,2502,0.012069738515189592,0.0777845652616575,0.192425167990226,0.23600081449806556,82.85183632947097,1894,2423,0.49338220321726733
天水,2008,all_pub,157,48,0.09440545255385616,0.22929936305732485,0.5605095541401274,0.6751592356687898,10.592608508809624,25,36,0.22929936305732485
天津,2008,all_pub,11544,2699,0.01769967232545195,0.101004851004851,0.22435897435897434,0.28811503811503814,56.49822107508793,1544,3206,0.27772002772002774
天门,2008,all_pub,62,36,0.062434963579604555,0.1935483870967742,0.41935483870967744,0.5806451612903225,16.016666666666673,26,44,0.7096774193548387
太原,2008,all_pub,1828,585,0.027722182054977514,0.09245076586433261,0.3490153172866521,0.42560175054704596,36.07219655425537,318,530,0.2899343544857768
威海,2008,all_pub,1413,566,0.008806607735570373,0.03750884642604388,0.15640481245576787,0.24345364472753006,113.55110049479609,362,733,0.5187544232130219
娄底,2008,all_pub,309,186,0.010609440621694369,0.042071197411003236,0.14563106796116504,0.23624595469255666,94.25567620927936,99,131,0.42394822006472493
孝感,2008,all_pub,230,122,0.015122873345935733,0.043478260869565216,0.19130434782608693,0.291304347826087,66.12499999999997,75,114,0.4956521739130435
宁德,2008,all_pub,295,166,0.010858948577994828,0.03389830508474576,0.1423728813559322,0.23728813559322037,92.0899470899471,90,131,0.4440677966101695
宁波,2008,all_pub,11732,3112,0.0016421410129091707,0.017303102625298328,0.05378452096829185,0.0804636890555745,608.9611014759495,1450,3512,0.2993521991135356
安庆,2008,all_pub,161,107,0.024034566567647846,0.11801242236024845,0.2236024844720497,0.3105590062111801,41.60674157303372,71,88,0.546583850931677
安康,2008,all_pub,38,29,0.04155124653739612,0.07894736842105263,0.3157894736842105,0.4999999999999999,24.066666666666666,16,17,0.4473684210526316
安阳,2008,all_pub,390,257,0.006745562130177515,0.028205128205128206,0.11025641025641025,0.17692307692307693,148.24561403508773,177,240,0.6153846153846154
安顺,2008,all_pub,121,53,0.043234751724608986,0.1322314049586777,0.36363636363636365,0.5289256198347108,23.129541864139014,26,42,0.34710743801652894
定安县,2008,all_pub,12,4,0.2777777777777778,0.3333333333333333,0.9999999999999999,0.9999999999999999,3.5999999999999996,3,8,0.6666666666666666
定西,2008,all_pub,29,19,0.07015457788347206,0.13793103448275862,0.48275862068965514,0.689655172413793,14.254237288135593,14,19,0.6551724137931034
宜宾,2008,all_pub,480,93,0.2605642361111113,0.5,0.6812499999999999,0.7479166666666667,3.837825232368322,53,79,0.16458333333333333
宜昌,2008,all_pub,701,314,0.015240099226497304,0.08701854493580599,0.19400855920114118,0.2838801711840228,65.61637067699291,224,420,0.5991440798858774
宜春,2008,all_pub,243,138,0.02589374925908991,0.12345679012345678,0.2551440329218107,0.3415637860082304,38.619359058207976,80,114,0.4691358024691358
宝鸡,2008,all_pub,430,219,0.023829096809085987,0.12325581395348838,0.24651162790697673,0.3325581395348837,41.96550158874263,135,195,0.45348837209302323
宣城,2008,all_pub,200,96,0.02775000000000001,0.11,0.27,0.385,36.03603603603602,65,103,0.515
宿州,2008,all_pub,116,85,0.016498216409036853,0.05172413793103448,0.18103448275862066,0.2758620689655172,60.612612612612644,59,74,0.6379310344827587
宿迁,2008,all_pub,268,135,0.023334818445087994,0.11567164179104478,0.23134328358208953,0.32835820895522383,42.854415274463,94,161,0.6007462686567164
山南,2008,all_pub,2,1,1.0,1.0,1.0,1.0,1.0,0,0,0.0
岳阳,2008,all_pub,307,200,0.00913537544164925,0.03908794788273615,0.13680781758957655,0.20521172638436483,109.46457607433216,125,177,0.5765472312703583
崇左,2008,all_pub,16,14,0.0859375,0.1875,0.4375,0.75,11.636363636363637,11,13,0.8125
巴中,2008,all_pub,37,24,0.070854638422206,0.16216216216216217,0.4864864864864865,0.6216216216216215,14.113402061855668,14,16,0.43243243243243246
巴彦淖尔,2008,all_pub,62,42,0.03433922996878251,0.08064516129032258,0.3064516129032258,0.4677419354838709,29.121212121212128,28,37,0.5967741935483871
巴音郭楞蒙古自治州,2008,all_pub,75,53,0.025066666666666664,0.05333333333333334,0.24000000000000002,0.37333333333333335,39.8936170212766,36,54,0.72
常州,2008,all_pub,3432,1190,0.003713506772947332,0.030885780885780884,0.08828671328671328,0.1346153846153846,269.28724279835393,617,1467,0.42744755244755245
常德,2008,all_pub,375,238,0.008327111111111113,0.05333333333333334,0.11466666666666667,0.17866666666666667,120.08966695132362,145,198,0.528
平凉,2008,all_pub,32,14,0.15625,0.3125,0.6875,0.875,6.4,10,17,0.53125
平顶山,2008,all_pub,277,162,0.017372831654263707,0.061371841155234655,0.23465703971119134,0.34657039711191334,57.56114028507127,97,119,0.4296028880866426
广元,2008,all_pub,112,76,0.028539540816326522,0.10714285714285714,0.28571428571428575,0.40178571428571425,35.03910614525141,52,57,0.5089285714285714
广安,2008,all_pub,54,40,0.03497942386831275,0.09259259259259259,0.2962962962962963,0.4444444444444444,28.588235294117652,27,36,0.6666666666666666
广州,2008,all_pub,11460,3483,0.007823494117181242,0.06605584642233857,0.1513089005235602,0.19973821989528798,127.82012551193608,1737,3273,0.2856020942408377
庆阳,2008,all_pub,14,11,0.11224489795918367,0.21428571428571427,0.5714285714285713,0.9285714285714284,8.909090909090908,5,5,0.35714285714285715
廊坊,2008,all_pub,533,285,0.010486150466931136,0.04878048780487805,0.1669793621013133,0.2607879924953096,95.36388049681103,191,267,0.50093808630394
延安,2008,all_pub,79,48,0.03060406986059926,0.0759493670886076,0.27848101265822783,0.4303797468354431,32.67539267015707,38,66,0.8354430379746836
延边朝鲜族自治州,2008,all_pub,250,189,0.008543999999999998,0.04,0.128,0.18800000000000003,117.04119850187269,115,133,0.532
开封,2008,all_pub,247,135,0.03329017030274223,0.15384615384615385,0.2793522267206478,0.3684210526315789,30.03889709502707,90,120,0.48582995951417
张家口,2008,all_pub,172,116,0.019875608436992973,0.09883720930232558,0.22093023255813954,0.29069767441860467,50.31292517006802,71,91,0.5290697674418605
张家界,2008,all_pub,61,44,0.03359312012899757,0.09836065573770492,0.29508196721311475,0.4426229508196721,29.76800000000001,31,39,0.639344262295082
张掖,2008,all_pub,70,36,0.05959183673469389,0.17142857142857143,0.41428571428571437,0.5857142857142857,16.780821917808215,18,35,0.5
徐州,2008,all_pub,2754,947,0.013533098222747503,0.07516339869281045,0.2153231663035585,0.2726942628903413,73.89290933535979,646,1660,0.6027596223674655
德宏傣族景颇族自治州,2008,all_pub,38,23,0.05678670360110803,0.10526315789473684,0.39473684210526316,0.6578947368421051,17.609756097560975,18,31,0.8157894736842105
德州,2008,all_pub,637,296,0.0375657085681755,0.17582417582417584,0.29356357927786497,0.37205651491365777,26.620022305320465,193,299,0.46938775510204084
德阳,2008,all_pub,408,172,0.02263552479815456,0.08088235294117647,0.2720588235294118,0.3823529411764706,44.178343949044574,96,181,0.44362745098039214
忻州,2008,all_pub,128,73,0.0216064453125,0.0546875,0.21875,0.3671875,46.282485875706215,49,86,0.671875
怀化,2008,all_pub,149,108,0.013287689743705242,0.040268456375838924,0.15436241610738255,0.25503355704697983,75.25762711864405,73,90,0.6040268456375839
怒江傈僳族自治州,2008,all_pub,6,5,0.22222222222222227,0.3333333333333333,0.9999999999999999,0.9999999999999999,4.499999999999999,2,2,0.3333333333333333
恩施土家族苗族自治州,2008,all_pub,59,46,0.026716460787130136,0.05084745762711865,0.23728813559322035,0.3898305084745763,37.43010752688172,27,33,0.559322033898305
惠州,2008,all_pub,1151,316,0.03586274466882197,0.17202432667245873,0.2571676802780191,0.34057341442224154,27.884090000210467,194,423,0.36750651607298
成都,2008,all_pub,12935,2457,0.007354288017052944,0.04321608040201005,0.13722458446076535,0.2108233475067646,135.97509339873886,1254,4170,0.3223811364514882
扬州,2008,all_pub,2465,760,0.006429814564141388,0.05314401622718053,0.12129817444219067,0.1711967545638945,155.5254805600348,413,1092,0.4430020283975659
承德,2008,all_pub,237,141,0.020954619095942602,0.11392405063291139,0.20253164556962022,0.27426160337552746,47.72217502124044,73,133,0.5611814345991561
抚州,2008,all_pub,130,88,0.028402366863905334,0.12307692307692308,0.27692307692307694,0.36153846153846153,35.20833333333332,47,57,0.43846153846153846
抚顺,2008,all_pub,277,164,0.01857185679469301,0.08303249097472924,0.25270758122743686,0.3212996389891697,53.844912280701756,111,152,0.5487364620938628
拉萨,2008,all_pub,95,53,0.030692520775623258,0.07368421052631578,0.27368421052631575,0.4526315789473684,32.58122743682312,34,49,0.5157894736842106
揭阳,2008,all_pub,463,231,0.00814016952077959,0.03023758099352052,0.10583153347732183,0.17926565874730022,122.84756446991403,126,202,0.43628509719222464
攀枝花,2008,all_pub,295,65,0.13123814995690894,0.2542372881355932,0.6305084745762711,0.711864406779661,7.619735574818317,23,55,0.1864406779661017
文山壮族苗族自治州,2008,all_pub,77,43,0.0406476640242874,0.09090909090909091,0.36363636363636365,0.5324675324675324,24.601659751037346,30,49,0.6363636363636364
文昌,2008,all_pub,15,9,0.15555555555555556,0.26666666666666666,0.7333333333333333,1.0,6.428571428571429,4,4,0.26666666666666666
新乡,2008,all_pub,847,359,0.013656087392268566,0.0755608028335301,0.18772136953955135,0.2715466351829988,73.2274165560886,221,348,0.41086186540731995
新余,2008,all_pub,86,60,0.02244456462952947,0.046511627906976744,0.20930232558139536,0.36046511627906974,44.55421686746989,33,42,0.4883720930232558
无锡,2008,all_pub,6816,1624,0.013593007821970949,0.09301643192488263,0.19204812206572772,0.2453051643192488,73.56723494145704,846,2292,0.3362676056338028
日喀则,2008,all_pub,4,2,0.625,0.75,1.0,1.0,1.6,2,4,1.0
日照,2008,all_pub,802,271,0.034309488125073846,0.12468827930174564,0.3341645885286783,0.4987531172069825,29.14645640746783,194,531,0.6620947630922693
昆明,2008,all_pub,2351,877,0.024918760870104046,0.1420672054444917,0.24457677584006804,0.30710336027222457,40.13040637184078,449,686,0.2917907273500638
昌吉回族自治州,2008,all_pub,209,120,0.022961928527277305,0.07177033492822966,0.27751196172248804,0.38755980861244016,43.55034895314058,71,102,0.4880382775119617
昌江黎族自治县,2008,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,0,0,0.0
昌都,2008,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,0,0,0.0
昭通,2008,all_pub,11,9,0.14049586776859505,0.2727272727272727,0.6363636363636365,1.0,7.117647058823529,7,7,0.6363636363636364
晋中,2008,all_pub,250,148,0.012671999999999998,0.036,0.16399999999999998,0.268,78.91414141414143,102,168,0.672
晋城,2008,all_pub,149,77,0.028422143146705114,0.087248322147651,0.30201342281879195,0.4295302013422818,35.183835182250384,42,79,0.5302013422818792
普洱,2008,all_pub,43,26,0.05570578691184424,0.13953488372093023,0.39534883720930236,0.6279069767441859,17.95145631067961,17,22,0.5116279069767442
景德镇,2008,all_pub,201,72,0.0724487017648078,0.22388059701492538,0.4726368159203981,0.5820895522388061,13.802869832593098,41,107,0.5323383084577115
曲靖,2008,all_pub,111,62,0.0370911451992533,0.13513513513513514,0.3153153153153153,0.44144144144144143,26.96061269146609,37,51,0.4594594594594595
朔州,2008,all_pub,53,39,0.03168387326450693,0.07547169811320754,0.2452830188679245,0.4339622641509434,31.561797752809,26,32,0.6037735849056604
朝阳,2008,all_pub,146,84,0.027960217676862444,0.11643835616438356,0.26712328767123283,0.3835616438356164,35.76510067114095,57,79,0.541095890410959
本溪,2008,all_pub,275,129,0.04692892561983471,0.18181818181818182,0.3563636363636363,0.44363636363636366,21.308819385742463,72,95,0.34545454545454546
来宾,2008,all_pub,24,17,0.08680555555555555,0.16666666666666666,0.5,0.7083333333333333,11.52,13,16,0.6666666666666666
杭州,2008,all_pub,14558,2853,0.039100845859778265,0.1785959609836516,0.32003022393185876,0.3701057837615057,25.574894302444402,1436,3200,0.21981041351834044
松原,2008,all_pub,110,56,0.05983471074380166,0.20909090909090908,0.37272727272727274,0.49090909090909085,16.71270718232044,39,61,0.5545454545454546
林芝,2008,all_pub,4,4,0.25,0.25,1.0,1.0,4.0,3,3,0.75
果洛藏族自治州,2008,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0
枣庄,2008,all_pub,778,430,0.004721750451027948,0.02056555269922879,0.07969151670951156,0.13367609254498714,211.78586424072776,299,496,0.6375321336760925
柳州,2008,all_pub,571,205,0.06009980339895902,0.22416812609457093,0.3730297723292469,0.45183887915936954,16.638989538147488,109,163,0.28546409807355516
株洲,2008,all_pub,1040,338,0.015589866863905327,0.07788461538461539,0.19615384615384615,0.29711538461538456,64.14422962875103,176,309,0.2971153846153846
桂林,2008,all_pub,971,342,0.01995988719200798,0.08135942327497425,0.25746652935118436,0.3759011328527291,50.100483553855156,185,311,0.32028836251287335
梅州,2008,all_pub,247,118,0.0457145667032733,0.1902834008097166,0.30364372469635625,0.40485829959514175,21.874865543205445,72,155,0.6275303643724697
梧州,2008,all_pub,123,64,0.0315288518738846,0.0975609756097561,0.30081300813008127,0.44715447154471544,31.716981132075464,41,70,0.5691056910569106
楚雄彝族自治州,2008,all_pub,129,57,0.049576347575265925,0.13178294573643412,0.4186046511627907,0.558139534883721,20.170909090909085,40,83,0.6434108527131783
榆林,2008,all_pub,63,43,0.04913076341647769,0.15873015873015872,0.38095238095238093,0.47619047619047616,20.35384615384616,26,42,0.6666666666666666
武威,2008,all_pub,38,16,0.1454293628808864,0.3157894736842105,0.6578947368421051,0.8421052631578946,6.8761904761904775,12,29,0.7631578947368421
武汉,2008,all_pub,7861,2538,0.016962821505531137,0.07645337743289658,0.2514947207734385,0.33138277572827884,58.95245668145042,1743,2532,0.3220964253911716
毕节,2008,all_pub,42,37,0.029478458049886618,0.047619047619047616,0.23809523809523808,0.3571428571428572,33.92307692307693,23,24,0.5714285714285714
永州,2008,all_pub,207,148,0.01047865761161287,0.043478260869565216,0.14009661835748793,0.21739130434782608,95.43207126948778,92,124,0.5990338164251208
汉中,2008,all_pub,149,79,0.02869240124318725,0.087248322147651,0.3020134228187919,0.4295302013422818,34.8524332810047,48,67,0.44966442953020136
汕头,2008,all_pub,3135,934,0.004487382004380241,0.029027113237639554,0.09537480063795853,0.15055821371610847,222.84708523229716,435,1252,0.39936204146730464
汕尾,2008,all_pub,157,77,0.027059921294981547,0.09554140127388536,0.267515923566879,0.39490445859872614,36.95502248875562,48,86,0.5477707006369427
江门,2008,all_pub,2728,818,0.012219859650329809,0.09200879765395895,0.16422287390029322,0.22104105571847504,81.83400043985043,420,1032,0.3782991202346041
池州,2008,all_pub,43,15,0.18442401297998914,0.3488372093023256,0.7441860465116279,0.8837209302325583,5.422287390029327,6,7,0.16279069767441862
