city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share
七台河,2024,all_pub,246,120,0.016788948377288657,0.04878048780487805,0.19918699186991873,0.3252032520325204,59.56299212598423,120,246,1.0
万宁,2024,all_pub,246,54,0.08106946923127772,0.23170731707317074,0.47967479674796754,0.6544715447154471,12.335099877700767,54,246,1.0
三亚,2024,all_pub,5300,638,0.01773620505517978,0.047735849056603774,0.22867924528301886,0.3667924528301887,56.38184701230405,638,5300,1.0
三明,2024,all_pub,3926,773,0.005920403677924435,0.05501782985226694,0.11003565970453388,0.14391237901171677,168.9074013193942,773,3926,1.0
三沙,2024,all_pub,35,10,0.29795918367346935,0.5142857142857142,0.8285714285714286,1.0,3.3561643835616444,10,35,1.0
三门峡,2024,all_pub,1808,441,0.0066695953089513675,0.03871681415929203,0.10840707964601767,0.1620575221238938,149.93413448307493,441,1808,1.0
上海,2024,all_pub,303411,33072,0.0012390745607700048,0.01697697183028961,0.05349179825385368,0.079400549090178,807.0539349775405,33072,303411,1.0
上饶,2024,all_pub,7282,1748,0.0032201767519826115,0.03240867893435869,0.08775061796209832,0.12469101895083767,310.5419599667366,1748,7282,1.0
东方,2024,all_pub,308,53,0.09139399561477483,0.25,0.5324675324675324,0.672077922077922,10.941637831603229,53,308,1.0
东莞,2024,all_pub,119354,18692,0.009597983329401339,0.07667945774754092,0.15484189888901922,0.16610251855823852,104.18855354090032,18692,119354,1.0
东营,2024,all_pub,11618,2119,0.009674811712173022,0.0771217076949561,0.16259252883456704,0.20012050266827336,103.36118466696173,2119,11618,1.0
中卫,2024,all_pub,1124,301,0.013294537809804838,0.07829181494661921,0.17615658362989325,0.24644128113879002,75.21886163372233,301,1124,1.0
中山,2024,all_pub,48262,8512,0.0015662097145657963,0.02840744270854917,0.05774729600928267,0.08091251916621774,638.4840999899124,8512,48262,1.0
临夏,2024,all_pub,424,166,0.011937077251690992,0.04009433962264151,0.1509433962264151,0.2452830188679245,83.7726001863933,166,424,1.0
临夏回族自治州,2024,all_pub,2,1,1.0,1.0,1.0,1.0,1.0,1,2,1.0
临汾,2024,all_pub,2339,570,0.011311989334154157,0.06412997007268063,0.1791363830696879,0.2663531423685335,88.40178066475997,570,2339,1.0
临沂,2024,all_pub,22258,5526,0.001934646922112511,0.027181238206487556,0.07664659897564921,0.10234522418905563,516.8901821672265,5526,22258,1.0
临沧,2024,all_pub,749,213,0.019217434550027536,0.10013351134846461,0.19359145527369825,0.28704939919893196,52.03608199610427,213,749,1.0
临高,2024,all_pub,138,37,0.05828607435412729,0.13768115942028986,0.4420289855072464,0.6594202898550725,17.156756756756756,37,138,1.0
临高县,2024,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0
丹东,2024,all_pub,2330,540,0.006340142570318112,0.03819742489270386,0.11974248927038625,0.18369098712446352,157.7251597908193,540,2330,1.0
丽水,2024,all_pub,12143,2728,0.001955091298619258,0.0249526476159104,0.06695215350407642,0.09132833731367866,511.4850650229116,2728,12143,1.0
丽江,2024,all_pub,684,196,0.013572552238295541,0.06725146198830409,0.15350877192982454,0.23976608187134502,73.67811023622049,196,684,1.0
乌兰察布,2024,all_pub,1623,456,0.006190661125556113,0.02279728897104128,0.09550215650030806,0.16327788046826863,161.5336358618998,456,1623,1.0
乌海,2024,all_pub,1025,231,0.02244473527662106,0.08585365853658537,0.28097560975609753,0.36487804878048785,44.553878122217036,231,1025,1.0
乌鲁木齐,2024,all_pub,12286,1806,0.016286415820418076,0.10174181995767541,0.21146019860003257,0.2915513592707146,61.400863825809516,1806,12286,1.0
乐东,2024,all_pub,138,42,0.042007981516488144,0.08695652173913043,0.3405797101449275,0.5579710144927537,23.804999999999993,42,138,1.0
乐山,2024,all_pub,2467,479,0.008994774805297786,0.038508309687880014,0.14673692744223754,0.2278070531009323,111.17565716164624,479,2467,1.0
九江,2024,all_pub,8272,1906,0.002069155483390637,0.013781431334622824,0.05911508704061895,0.0929642166344294,483.2889592044299,1906,8272,1.0
云林县,2024,all_pub,27,16,0.07270233196159122,0.1111111111111111,0.4444444444444444,0.7777777777777777,13.754716981132075,16,27,1.0
云浮,2024,all_pub,2106,525,0.006469554269490957,0.029439696106362774,0.1225071225071225,0.1842355175688509,154.570154039172,525,2106,1.0
五家渠,2024,all_pub,277,66,0.036791825776433945,0.09025270758122744,0.3429602888086643,0.49819494584837554,27.179950407368047,66,277,1.0
五指山,2024,all_pub,83,22,0.0933372042386413,0.1927710843373494,0.6024096385542169,0.8072289156626505,10.713841368584761,22,83,1.0
亳州,2024,all_pub,4313,1076,0.0025898871243146353,0.01878043125434732,0.05865986552283794,0.09390215627173662,386.11721360815335,1076,4313,1.0
仙桃,2024,all_pub,1147,260,0.007841995608117611,0.022667829119442023,0.09764603312990411,0.1769834350479512,127.51856159736354,260,1147,1.0
伊春,2024,all_pub,497,154,0.03585699306503002,0.10261569416498995,0.3822937625754528,0.4788732394366197,27.888562718753526,154,497,1.0
