pub_file_year,rows_seen,rows_clean,rows_missing_city_or_applicant,rows_inv_app_appyear,rows_inv_grant_appyear,rows_inv_grant_grantyear,inv_app_appyear_parts,scope,detail_rows,detail_cities,detail_year_min,detail_year_max
2024.0,6562583.0,6161991.0,400591.0,1366936.0,0.0,0.0,16.0,,,,,
,,,,,,,,inv_app_appyear,366478.0,417.0,2007.0,2023.0
